"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
421,kt65_Ylöjärvi,2020/03/01,1,"11 HA-PA",96,80,64,42,47,47,37,53,84,193,251,385,469,536,574,636,641,614,524,412,291,166,95,61
421,kt65_Ylöjärvi,2020/03/01,1,"12 KAIP",2,,,,,,,,1,1,1,4,6,4,3,1,1,,1,4,3,5,,
421,kt65_Ylöjärvi,2020/03/01,1,"13 Linja-autot",1,1,,,,,,,,1,,1,2,2,,1,,1,4,4,1,,2,1
421,kt65_Ylöjärvi,2020/03/01,1,"14 KAPP",,,,,,,,,,,1,,,1,1,,,1,,1,4,,,
421,kt65_Ylöjärvi,2020/03/01,1,"15 KATP",,,,2,2,2,2,1,1,4,3,4,,5,3,3,3,2,1,1,3,1,2,3
421,kt65_Ylöjärvi,2020/03/01,1,"16 HA + PK",,,,,,,,1,3,,6,5,11,5,5,2,5,3,7,2,1,3,,1
421,kt65_Ylöjärvi,2020/03/01,1,"17 HA + AV",1,,,,,,,,1,,,1,1,,,,,1,1,2,,1,,
421,kt65_Ylöjärvi,2020/03/01,2,"11 HA-PA",73,55,37,33,51,44,90,62,78,161,281,467,573,616,717,677,617,585,507,418,288,179,100,43
421,kt65_Ylöjärvi,2020/03/01,2,"12 KAIP",,1,,,,,,,,1,4,2,2,2,1,2,3,1,3,6,,1,2,1
421,kt65_Ylöjärvi,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,1,1,,1,1,,2,1,1,,,
421,kt65_Ylöjärvi,2020/03/01,2,"14 KAPP",1,,1,1,,,,1,,,1,,,,2,,,1,1,1,2,,,
421,kt65_Ylöjärvi,2020/03/01,2,"15 KATP",,1,1,2,2,1,1,,4,2,1,1,2,1,3,1,1,4,4,2,1,3,1,1
421,kt65_Ylöjärvi,2020/03/01,2,"16 HA + PK",1,,,,,,1,,1,5,6,10,8,10,4,9,6,4,1,5,2,1,1,
421,kt65_Ylöjärvi,2020/03/01,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,1,1,
421,kt65_Ylöjärvi,2020/03/02,1,"11 HA-PA",34,19,17,12,29,95,293,538,532,355,379,414,495,550,732,1156,1147,881,671,457,390,239,121,52
421,kt65_Ylöjärvi,2020/03/02,1,"12 KAIP",2,2,,1,2,4,6,19,13,12,7,17,14,18,22,13,13,5,7,4,3,,2,
421,kt65_Ylöjärvi,2020/03/02,1,"13 Linja-autot",,,,,,1,2,1,5,1,2,2,2,4,2,4,4,3,3,1,1,1,,1
421,kt65_Ylöjärvi,2020/03/02,1,"14 KAPP",,,,,,1,2,,2,1,2,1,2,1,1,3,1,1,1,2,,,,
421,kt65_Ylöjärvi,2020/03/02,1,"15 KATP",1,3,2,,1,2,3,1,3,1,6,7,5,8,4,4,7,4,5,4,6,4,3,1
421,kt65_Ylöjärvi,2020/03/02,1,"16 HA + PK",,,,,,1,1,3,,4,2,7,4,8,5,5,5,6,5,3,1,2,,
421,kt65_Ylöjärvi,2020/03/02,1,"17 HA + AV",,,,,,,1,,,1,1,2,2,2,1,1,,,2,,1,,,
421,kt65_Ylöjärvi,2020/03/02,2,"11 HA-PA",30,19,14,27,44,162,705,1083,895,572,419,504,552,473,586,691,763,621,481,358,320,174,82,52
421,kt65_Ylöjärvi,2020/03/02,2,"12 KAIP",1,,1,1,2,4,8,14,19,17,18,10,6,17,16,12,4,3,3,5,3,1,1,
421,kt65_Ylöjärvi,2020/03/02,2,"13 Linja-autot",,,,,,1,3,2,5,3,2,1,1,1,3,2,2,2,1,,,,,
421,kt65_Ylöjärvi,2020/03/02,2,"14 KAPP",,,,,,,1,1,3,3,1,2,3,1,2,3,2,1,2,1,,1,,
421,kt65_Ylöjärvi,2020/03/02,2,"15 KATP",2,2,,1,1,2,4,3,1,3,3,3,,2,4,5,4,2,2,5,4,,,6
421,kt65_Ylöjärvi,2020/03/02,2,"16 HA + PK",,,,,,1,3,3,1,3,4,5,3,3,6,4,3,10,3,5,1,,,
421,kt65_Ylöjärvi,2020/03/02,2,"17 HA + AV",,,,,,,,,1,1,,,3,1,,,,1,,1,,,,
421,kt65_Ylöjärvi,2020/03/03,1,"11 HA-PA",26,15,14,10,16,101,282,591,538,374,366,468,522,604,730,1112,1180,814,673,522,460,276,139,60
421,kt65_Ylöjärvi,2020/03/03,1,"12 KAIP",1,,1,1,5,1,9,15,12,13,13,8,9,19,19,19,14,4,2,5,5,3,,
421,kt65_Ylöjärvi,2020/03/03,1,"13 Linja-autot",,,,,,1,4,3,2,1,3,2,2,2,4,6,2,2,2,1,1,1,,
421,kt65_Ylöjärvi,2020/03/03,1,"14 KAPP",,,,,1,1,1,1,1,,2,,1,1,2,2,1,,2,,,,4,
421,kt65_Ylöjärvi,2020/03/03,1,"15 KATP",3,4,,1,,6,4,2,7,5,,7,3,2,4,2,9,4,2,5,3,7,4,5
421,kt65_Ylöjärvi,2020/03/03,1,"16 HA + PK",,,,,,,1,1,2,3,8,9,5,5,3,13,2,3,9,5,5,4,1,1
421,kt65_Ylöjärvi,2020/03/03,1,"17 HA + AV",,,1,,1,,2,,1,1,1,1,,,,3,1,,,1,2,1,,
421,kt65_Ylöjärvi,2020/03/03,2,"11 HA-PA",23,10,9,16,43,166,705,1091,904,583,474,522,547,541,589,797,801,656,522,410,326,173,115,49
421,kt65_Ylöjärvi,2020/03/03,2,"12 KAIP",,,1,1,4,4,9,13,13,13,15,13,11,10,12,12,5,5,2,1,3,1,3,2
421,kt65_Ylöjärvi,2020/03/03,2,"13 Linja-autot",,,,,,1,1,3,6,4,2,1,2,1,2,2,3,2,2,1,1,1,,
421,kt65_Ylöjärvi,2020/03/03,2,"14 KAPP",,,,,,,1,4,1,2,3,,5,4,3,4,2,3,3,2,1,1,,1
421,kt65_Ylöjärvi,2020/03/03,2,"15 KATP",2,,2,,2,1,3,2,3,2,4,1,7,2,2,2,8,2,4,3,3,4,3,4
421,kt65_Ylöjärvi,2020/03/03,2,"16 HA + PK",,,,,,,1,4,7,5,9,4,2,6,2,6,12,6,9,3,,,1,
421,kt65_Ylöjärvi,2020/03/03,2,"17 HA + AV",,,,,,,,,1,1,1,2,,,,2,1,,1,,,,,
421,kt65_Ylöjärvi,2020/03/04,1,"11 HA-PA",38,24,14,13,15,85,300,532,553,388,381,479,534,554,717,1047,1081,865,646,517,396,315,171,59
421,kt65_Ylöjärvi,2020/03/04,1,"12 KAIP",1,1,,,2,4,6,14,10,7,16,9,10,20,15,12,8,8,5,2,7,2,1,2
421,kt65_Ylöjärvi,2020/03/04,1,"13 Linja-autot",,,,,,,2,2,3,1,4,3,5,3,3,4,5,1,,2,1,,2,
421,kt65_Ylöjärvi,2020/03/04,1,"14 KAPP",1,,,,1,1,,1,3,1,2,2,,3,2,1,,1,,,,2,,1
421,kt65_Ylöjärvi,2020/03/04,1,"15 KATP",4,1,,3,4,2,2,5,5,4,4,1,8,1,5,4,3,3,7,3,3,2,2,1
421,kt65_Ylöjärvi,2020/03/04,1,"16 HA + PK",,,,,,1,2,2,2,7,3,2,7,5,8,10,7,3,2,4,1,1,,
421,kt65_Ylöjärvi,2020/03/04,1,"17 HA + AV",,,,,,,,1,,,,2,3,,1,2,,,1,,,,,
421,kt65_Ylöjärvi,2020/03/04,2,"11 HA-PA",17,21,10,20,38,177,677,1112,916,588,482,522,527,519,526,766,740,657,449,370,273,191,118,52
421,kt65_Ylöjärvi,2020/03/04,2,"12 KAIP",2,,1,,4,5,11,9,12,11,10,16,14,12,10,8,5,3,4,6,6,1,,4
421,kt65_Ylöjärvi,2020/03/04,2,"13 Linja-autot",,,,,,,,4,4,3,2,1,1,1,1,1,1,1,3,,,,,
421,kt65_Ylöjärvi,2020/03/04,2,"14 KAPP",,,,,1,,1,5,5,4,2,1,3,1,4,1,6,3,2,1,1,1,,
421,kt65_Ylöjärvi,2020/03/04,2,"15 KATP",1,,1,1,3,2,2,3,,1,3,3,1,2,3,2,5,1,5,,4,1,4,7
421,kt65_Ylöjärvi,2020/03/04,2,"16 HA + PK",,,,1,,,1,2,3,6,6,7,3,11,2,5,3,5,3,1,,1,,
421,kt65_Ylöjärvi,2020/03/04,2,"17 HA + AV",,,,,,,,1,1,1,1,,,,,,,1,,,,,,
421,kt65_Ylöjärvi,2020/03/05,1,"11 HA-PA",41,20,7,12,19,100,273,543,582,415,411,448,567,593,741,1171,1178,896,693,576,414,384,158,65
421,kt65_Ylöjärvi,2020/03/05,1,"12 KAIP",,2,,,4,1,12,8,11,12,12,16,13,12,9,15,12,4,7,4,1,3,2,2
421,kt65_Ylöjärvi,2020/03/05,1,"13 Linja-autot",,,,,,,2,4,3,,4,3,2,4,5,3,4,7,2,1,1,1,1,1
421,kt65_Ylöjärvi,2020/03/05,1,"14 KAPP",,,,,1,1,2,,,4,2,1,2,,,,1,2,,2,,,,
421,kt65_Ylöjärvi,2020/03/05,1,"15 KATP",4,4,2,3,3,5,3,4,5,3,8,6,4,10,9,8,6,4,3,6,1,2,3,6
421,kt65_Ylöjärvi,2020/03/05,1,"16 HA + PK",1,,,1,,1,2,3,4,4,7,7,2,9,5,7,4,7,7,8,2,1,,
421,kt65_Ylöjärvi,2020/03/05,1,"17 HA + AV",,,,,,,,2,1,1,1,1,1,1,,4,2,,1,3,,,,
421,kt65_Ylöjärvi,2020/03/05,2,"11 HA-PA",30,17,18,11,41,171,710,1075,880,561,496,522,594,564,637,804,841,725,541,424,314,192,106,48
421,kt65_Ylöjärvi,2020/03/05,2,"12 KAIP",1,,2,1,3,4,10,13,9,12,10,7,13,9,6,10,7,5,4,7,1,2,1,2
421,kt65_Ylöjärvi,2020/03/05,2,"13 Linja-autot",,,,,,,3,4,6,5,1,1,1,2,2,1,3,3,3,,,,1,
421,kt65_Ylöjärvi,2020/03/05,2,"14 KAPP",,,,1,2,,,3,,3,2,1,3,3,3,2,2,3,1,1,,1,1,
421,kt65_Ylöjärvi,2020/03/05,2,"15 KATP",2,1,,1,5,2,2,5,3,5,3,2,10,4,3,3,3,2,3,3,1,1,3,2
421,kt65_Ylöjärvi,2020/03/05,2,"16 HA + PK",,,,,,,1,1,9,2,5,7,6,3,2,10,3,3,7,1,2,2,,1
421,kt65_Ylöjärvi,2020/03/05,2,"17 HA + AV",,,,,,,,1,,1,,,1,,,2,1,,,,,,,
421,kt65_Ylöjärvi,2020/03/06,1,"11 HA-PA",46,21,13,25,23,97,262,532,536,403,425,555,652,727,906,1238,1234,953,764,568,421,319,236,186
421,kt65_Ylöjärvi,2020/03/06,1,"12 KAIP",,2,2,,,4,7,11,12,12,24,16,18,17,16,11,6,3,6,1,5,1,1,1
421,kt65_Ylöjärvi,2020/03/06,1,"13 Linja-autot",,,,,,,3,3,3,,3,4,2,4,7,4,3,3,2,2,2,1,,1
421,kt65_Ylöjärvi,2020/03/06,1,"14 KAPP",,,,,,,3,,2,,2,1,3,1,1,1,,1,,1,,,,
421,kt65_Ylöjärvi,2020/03/06,1,"15 KATP",3,1,1,3,2,6,4,1,4,6,6,3,3,5,7,7,3,5,3,9,2,5,4,2
421,kt65_Ylöjärvi,2020/03/06,1,"16 HA + PK",,,,,,,1,2,2,4,5,4,11,11,7,9,8,11,5,8,1,1,1,1
421,kt65_Ylöjärvi,2020/03/06,1,"17 HA + AV",,,,,,,1,2,,,1,,,2,1,,5,1,,,,,,1
421,kt65_Ylöjärvi,2020/03/06,2,"11 HA-PA",38,10,18,21,41,172,670,997,868,580,511,612,641,654,809,832,829,719,616,445,352,236,163,107
421,kt65_Ylöjärvi,2020/03/06,2,"12 KAIP",,1,2,2,3,8,16,10,14,20,15,16,20,9,10,6,9,2,3,2,2,,1,1
421,kt65_Ylöjärvi,2020/03/06,2,"13 Linja-autot",,,,,,,2,4,5,3,1,1,2,4,3,2,3,3,1,,,,,
421,kt65_Ylöjärvi,2020/03/06,2,"14 KAPP",,,1,,,,1,2,2,5,3,2,4,4,1,1,1,2,4,1,,1,,1
421,kt65_Ylöjärvi,2020/03/06,2,"15 KATP",1,1,,1,3,1,2,3,10,1,5,,3,1,2,3,3,,2,3,,2,1,2
421,kt65_Ylöjärvi,2020/03/06,2,"16 HA + PK",,,,,,,3,4,5,9,8,5,11,5,11,5,6,3,3,2,2,,,1
421,kt65_Ylöjärvi,2020/03/06,2,"17 HA + AV",,,,,,,1,,,,,,,,1,1,,1,1,,,,,
421,kt65_Ylöjärvi,2020/03/07,1,"11 HA-PA",119,56,61,37,43,53,49,124,259,422,567,666,702,748,830,753,709,662,538,408,424,301,225,138
421,kt65_Ylöjärvi,2020/03/07,1,"12 KAIP",,,,,1,1,2,4,1,2,1,5,7,3,2,4,4,5,1,1,1,,1,
421,kt65_Ylöjärvi,2020/03/07,1,"13 Linja-autot",1,,,,,2,,,1,1,2,3,,3,2,,2,2,,4,4,3,1,1
421,kt65_Ylöjärvi,2020/03/07,1,"14 KAPP",,,,,,,,,,,,,,,,1,,1,,,,1,,
421,kt65_Ylöjärvi,2020/03/07,1,"15 KATP",,2,1,3,1,,,3,2,2,3,1,2,,2,5,5,4,3,1,3,1,,
421,kt65_Ylöjärvi,2020/03/07,1,"16 HA + PK",,,1,1,,1,,2,8,5,8,10,5,11,5,8,3,5,4,4,4,1,,
421,kt65_Ylöjärvi,2020/03/07,1,"17 HA + AV",,,,,,,,,,,,1,1,1,1,,2,,,2,,,,
421,kt65_Ylöjärvi,2020/03/07,2,"11 HA-PA",72,47,39,39,40,42,108,116,243,459,673,756,795,830,755,725,682,560,446,378,362,225,163,147
421,kt65_Ylöjärvi,2020/03/07,2,"12 KAIP",1,1,,,,1,1,,1,4,7,4,5,3,4,6,3,2,,,,1,,1
421,kt65_Ylöjärvi,2020/03/07,2,"13 Linja-autot",,,,,2,,,1,,,,,1,2,2,,2,,,,,,,
421,kt65_Ylöjärvi,2020/03/07,2,"14 KAPP",1,1,,1,,,,,1,3,1,,,,1,1,1,,1,1,1,,,
421,kt65_Ylöjärvi,2020/03/07,2,"15 KATP",2,1,1,2,1,1,3,2,1,1,2,2,,1,3,2,,2,1,3,,,,1
421,kt65_Ylöjärvi,2020/03/07,2,"16 HA + PK",,,,,,1,1,2,3,4,7,8,6,5,8,6,7,3,,6,1,1,3,
421,kt65_Ylöjärvi,2020/03/07,2,"17 HA + AV",,,,,,,,,3,1,,,,,,1,,3,1,,,,,
421,kt65_Ylöjärvi,2020/03/08,1,"11 HA-PA",111,82,56,47,34,38,38,68,122,259,369,453,615,660,673,666,711,611,600,428,294,201,106,52
421,kt65_Ylöjärvi,2020/03/08,1,"12 KAIP",1,3,,,1,,,,,3,4,3,2,1,2,3,1,4,,4,1,2,2,
421,kt65_Ylöjärvi,2020/03/08,1,"13 Linja-autot",,,,,,,,,,,,4,,2,1,1,,1,3,3,3,1,1,1
421,kt65_Ylöjärvi,2020/03/08,1,"15 KATP",1,1,1,1,2,2,,,1,5,3,4,2,3,2,1,4,3,4,3,4,1,1,3
421,kt65_Ylöjärvi,2020/03/08,1,"16 HA + PK",,,,,,,,,,4,3,7,7,5,5,8,7,5,7,2,2,1,,1
421,kt65_Ylöjärvi,2020/03/08,1,"17 HA + AV",,,,,,,,,,,,,,,,1,1,,,,2,,,
421,kt65_Ylöjärvi,2020/03/08,2,"11 HA-PA",74,61,65,44,44,32,73,82,111,235,395,564,684,719,749,763,764,671,507,398,298,165,102,38
421,kt65_Ylöjärvi,2020/03/08,2,"12 KAIP",1,,1,,1,,,,3,3,2,,2,2,1,4,,2,,6,,1,,2
421,kt65_Ylöjärvi,2020/03/08,2,"13 Linja-autot",,,,,,,,,1,1,1,,1,,,2,,,,,,,,
421,kt65_Ylöjärvi,2020/03/08,2,"14 KAPP",1,,1,1,,,,,,,1,,1,,2,,1,,2,1,1,,,1
421,kt65_Ylöjärvi,2020/03/08,2,"15 KATP",1,1,1,2,1,2,,1,2,2,1,1,4,1,3,5,,2,2,3,1,,,3
421,kt65_Ylöjärvi,2020/03/08,2,"16 HA + PK",,,,,,,,1,2,4,7,5,2,10,9,7,4,7,5,1,3,1,,
421,kt65_Ylöjärvi,2020/03/08,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,1,,,
421,kt65_Ylöjärvi,2020/03/09,1,"11 HA-PA",22,12,12,8,29,105,295,546,504,373,393,484,518,579,723,1176,1203,806,651,488,399,244,121,56
421,kt65_Ylöjärvi,2020/03/09,1,"12 KAIP",1,,,,2,4,6,17,12,8,9,15,12,19,21,9,7,4,3,4,5,,1,
421,kt65_Ylöjärvi,2020/03/09,1,"13 Linja-autot",,,,,,,3,2,3,1,3,4,3,3,5,6,4,2,1,2,2,1,,
421,kt65_Ylöjärvi,2020/03/09,1,"14 KAPP",,,,,,,3,2,1,,2,1,,2,3,4,1,,,,,,,
421,kt65_Ylöjärvi,2020/03/09,1,"15 KATP",2,1,,2,2,3,4,5,4,3,4,3,6,8,6,4,1,3,2,2,3,3,1,3
421,kt65_Ylöjärvi,2020/03/09,1,"16 HA + PK",,,,,,1,,6,3,6,9,6,8,6,12,5,6,3,3,5,4,,1,1
421,kt65_Ylöjärvi,2020/03/09,1,"17 HA + AV",,,,,,,,1,,1,2,,1,1,1,3,1,,1,2,,,,
421,kt65_Ylöjärvi,2020/03/09,2,"11 HA-PA",19,15,7,19,42,168,713,1098,924,529,468,517,492,536,569,705,811,630,492,353,269,190,87,56
421,kt65_Ylöjärvi,2020/03/09,2,"12 KAIP",1,,,1,3,9,13,11,16,19,12,14,19,14,7,6,5,4,6,3,,1,,1
421,kt65_Ylöjärvi,2020/03/09,2,"13 Linja-autot",,,,,,,3,3,6,2,2,1,1,,3,2,3,2,3,,1,,,
421,kt65_Ylöjärvi,2020/03/09,2,"14 KAPP",,,,,,,2,5,2,3,1,1,3,4,4,4,1,1,2,1,1,1,,
421,kt65_Ylöjärvi,2020/03/09,2,"15 KATP",,,2,1,,4,4,2,2,2,4,2,8,1,,2,3,5,2,,3,3,4,1
421,kt65_Ylöjärvi,2020/03/09,2,"16 HA + PK",,,,,,,2,3,8,12,3,9,6,3,2,9,3,7,2,1,3,1,,
421,kt65_Ylöjärvi,2020/03/09,2,"17 HA + AV",,,1,,,,1,,,,,1,1,,,1,,1,,1,,,,
421,kt65_Ylöjärvi,2020/03/10,1,"11 HA-PA",23,18,13,18,16,111,291,555,559,357,402,458,480,539,697,1094,1128,842,664,508,433,397,131,62
421,kt65_Ylöjärvi,2020/03/10,1,"12 KAIP",,,2,,3,2,8,6,6,15,7,10,10,18,17,15,5,6,7,6,3,2,2,3
421,kt65_Ylöjärvi,2020/03/10,1,"13 Linja-autot",,,,1,,,3,3,4,3,3,3,2,4,2,5,4,5,1,2,1,3,,
421,kt65_Ylöjärvi,2020/03/10,1,"14 KAPP",,,,,2,2,2,,2,,2,1,1,2,,2,,1,2,,,,,
421,kt65_Ylöjärvi,2020/03/10,1,"15 KATP",3,3,3,2,2,2,5,4,5,4,3,5,5,6,5,8,5,3,3,1,4,2,3,6
421,kt65_Ylöjärvi,2020/03/10,1,"16 HA + PK",,,,,,,1,4,5,9,6,4,3,6,6,7,5,2,7,,2,4,2,
421,kt65_Ylöjärvi,2020/03/10,1,"17 HA + AV",,,,,1,,,1,,3,1,,1,3,2,4,,,,1,,,,
421,kt65_Ylöjärvi,2020/03/10,2,"11 HA-PA",22,7,9,20,38,177,713,1053,926,554,504,493,525,479,621,781,851,739,491,363,271,172,102,47
421,kt65_Ylöjärvi,2020/03/10,2,"12 KAIP",,,1,,6,3,12,12,4,16,14,9,15,12,11,11,8,2,6,1,1,,1,
421,kt65_Ylöjärvi,2020/03/10,2,"13 Linja-autot",,,,,1,,2,2,8,3,,1,1,,2,2,3,3,2,,,,,1
421,kt65_Ylöjärvi,2020/03/10,2,"14 KAPP",,,,,,1,2,3,2,6,1,,4,3,4,1,1,1,3,1,,2,,
421,kt65_Ylöjärvi,2020/03/10,2,"15 KATP",3,1,3,4,4,1,5,3,3,3,6,7,1,1,1,1,2,3,3,2,2,2,3,1
421,kt65_Ylöjärvi,2020/03/10,2,"16 HA + PK",,,,,,,4,6,2,5,6,3,6,7,4,5,4,6,7,3,1,,2,
421,kt65_Ylöjärvi,2020/03/10,2,"17 HA + AV",,,,,,,,2,1,,,1,1,,,,,1,1,,,,,
421,kt65_Ylöjärvi,2020/03/11,1,"11 HA-PA",33,13,4,11,24,103,308,528,560,390,379,465,506,570,734,1146,1175,829,628,511,438,317,137,54
421,kt65_Ylöjärvi,2020/03/11,1,"12 KAIP",,,1,,,3,12,10,9,7,12,15,12,14,18,12,8,8,5,3,2,1,2,1
421,kt65_Ylöjärvi,2020/03/11,1,"13 Linja-autot",,,,1,,,2,3,3,3,2,3,4,4,2,5,4,3,2,1,1,2,,
421,kt65_Ylöjärvi,2020/03/11,1,"14 KAPP",,,,,1,,2,1,1,3,2,3,1,3,1,2,5,1,,2,,,,
421,kt65_Ylöjärvi,2020/03/11,1,"15 KATP",6,,1,1,3,4,4,5,5,7,5,3,6,6,7,9,4,11,2,2,2,1,4,1
421,kt65_Ylöjärvi,2020/03/11,1,"16 HA + PK",,,1,,,,4,4,2,7,7,6,3,7,8,6,8,2,4,5,1,1,,
421,kt65_Ylöjärvi,2020/03/11,1,"17 HA + AV",1,,,,,1,,,1,1,,,,1,4,,,1,,,,,,
421,kt65_Ylöjärvi,2020/03/11,2,"11 HA-PA",27,15,13,19,45,160,695,1046,943,563,500,493,541,494,552,824,780,660,528,330,245,182,95,52
421,kt65_Ylöjärvi,2020/03/11,2,"12 KAIP",1,,1,,4,8,10,7,20,12,11,9,11,13,7,8,6,3,3,,2,1,1,
421,kt65_Ylöjärvi,2020/03/11,2,"13 Linja-autot",,,,,,,2,2,7,5,1,1,3,3,2,2,2,2,2,1,,,,
421,kt65_Ylöjärvi,2020/03/11,2,"14 KAPP",,,,,,1,1,3,3,1,3,,4,,6,3,3,3,2,,,2,,
421,kt65_Ylöjärvi,2020/03/11,2,"15 KATP",,1,1,,3,2,3,1,5,3,3,3,4,2,3,1,7,1,1,6,2,2,3,4
421,kt65_Ylöjärvi,2020/03/11,2,"16 HA + PK",,,,,,1,2,2,8,5,7,5,3,4,6,10,4,6,4,4,4,,,
421,kt65_Ylöjärvi,2020/03/11,2,"17 HA + AV",,,,,,,,1,,1,,,,2,,1,1,1,,,,,,
421,kt65_Ylöjärvi,2020/03/12,1,"11 HA-PA",34,18,11,9,23,103,284,536,534,425,421,453,466,594,711,1160,1159,879,625,491,379,280,179,63
421,kt65_Ylöjärvi,2020/03/12,1,"12 KAIP",1,1,,1,2,1,10,8,9,7,14,8,11,19,18,7,18,5,6,1,1,,1,
421,kt65_Ylöjärvi,2020/03/12,1,"13 Linja-autot",,,,1,,,2,3,2,5,2,4,3,6,2,5,3,3,1,3,1,1,,
421,kt65_Ylöjärvi,2020/03/12,1,"14 KAPP",1,,,,1,,1,1,1,,2,,4,3,1,,,,,,,,,
421,kt65_Ylöjärvi,2020/03/12,1,"15 KATP",6,2,,2,3,3,1,5,6,8,9,4,8,10,6,6,4,5,3,4,,3,4,6
421,kt65_Ylöjärvi,2020/03/12,1,"16 HA + PK",,1,,,,1,3,4,2,5,10,4,2,9,7,4,6,8,8,2,2,,2,
421,kt65_Ylöjärvi,2020/03/12,1,"17 HA + AV",,,,,,1,,,,,1,3,,1,4,,2,1,1,1,1,,1,
421,kt65_Ylöjärvi,2020/03/12,2,"11 HA-PA",24,18,12,15,36,165,707,1098,830,527,462,486,487,595,603,768,775,605,484,390,291,188,83,51
421,kt65_Ylöjärvi,2020/03/12,2,"12 KAIP",3,,1,,5,3,5,11,17,10,16,6,6,6,5,12,4,3,5,,1,,1,
421,kt65_Ylöjärvi,2020/03/12,2,"13 Linja-autot",,,,,,,3,2,7,3,1,1,2,1,2,2,3,2,2,,,,,
421,kt65_Ylöjärvi,2020/03/12,2,"14 KAPP",,,,,1,1,,2,1,6,2,2,3,2,1,2,2,1,2,1,,1,,
421,kt65_Ylöjärvi,2020/03/12,2,"15 KATP",1,,2,2,1,2,3,4,3,1,6,3,3,1,5,3,5,3,3,2,2,4,5,1
421,kt65_Ylöjärvi,2020/03/12,2,"16 HA + PK",,,,,,1,3,2,7,10,2,9,2,4,3,4,6,9,6,1,2,,,1
421,kt65_Ylöjärvi,2020/03/12,2,"17 HA + AV",,,,,,,,3,1,,2,,1,,,2,,,1,,,,1,
421,kt65_Ylöjärvi,2020/03/13,1,"11 HA-PA",28,20,13,19,21,102,264,507,479,437,441,548,611,735,864,1131,1120,892,633,473,330,214,187,116
421,kt65_Ylöjärvi,2020/03/13,1,"12 KAIP",,1,,,1,5,7,9,11,8,21,11,19,14,15,16,8,3,6,2,1,2,1,1
421,kt65_Ylöjärvi,2020/03/13,1,"13 Linja-autot",,,,1,,,3,2,2,2,2,5,2,4,4,2,4,1,2,2,3,1,,
421,kt65_Ylöjärvi,2020/03/13,1,"14 KAPP",,,,,1,,,4,2,3,3,3,,1,2,,3,3,2,1,,,1,
421,kt65_Ylöjärvi,2020/03/13,1,"15 KATP",4,4,1,2,3,4,1,7,5,6,7,10,11,4,9,6,5,7,2,4,2,2,1,6
421,kt65_Ylöjärvi,2020/03/13,1,"16 HA + PK",,1,1,,1,2,,5,3,7,2,6,7,5,15,9,17,7,12,3,2,1,,
421,kt65_Ylöjärvi,2020/03/13,1,"17 HA + AV",,,,,,1,,,,1,,2,1,,2,3,3,2,1,,,1,,
421,kt65_Ylöjärvi,2020/03/13,2,"11 HA-PA",31,19,15,18,43,150,638,949,751,585,492,531,601,658,697,802,761,599,487,366,295,187,126,91
421,kt65_Ylöjärvi,2020/03/13,2,"12 KAIP",1,,,,7,3,7,9,17,15,15,11,13,13,13,9,3,7,1,,1,1,2,1
421,kt65_Ylöjärvi,2020/03/13,2,"13 Linja-autot",,,,,,,1,6,6,4,1,1,2,4,2,2,3,2,3,,,,,
421,kt65_Ylöjärvi,2020/03/13,2,"14 KAPP",,,,,,,2,2,2,5,4,2,2,4,1,1,2,1,2,2,,1,,1
421,kt65_Ylöjärvi,2020/03/13,2,"15 KATP",,2,2,1,2,2,3,3,6,5,8,3,4,1,3,2,6,2,6,,2,3,3,1
421,kt65_Ylöjärvi,2020/03/13,2,"16 HA + PK",,,,,,,4,,6,2,4,8,8,4,13,10,10,8,4,,1,1,,
421,kt65_Ylöjärvi,2020/03/13,2,"17 HA + AV",,,,,,,2,1,,1,,,,,1,,,1,2,,,,,
421,kt65_Ylöjärvi,2020/03/14,1,"11 HA-PA",61,72,49,22,42,40,57,88,172,333,419,575,595,643,627,613,491,480,367,308,215,191,139,105
421,kt65_Ylöjärvi,2020/03/14,1,"12 KAIP",1,,1,1,1,2,1,3,2,3,4,3,4,6,3,1,,2,2,1,,,2,
