"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
424,vt4_Renkomäki,2020/03/01,1,"11 HA-PA",243,90,44,20,26,38,46,99,173,355,525,675,677,694,650,687,682,717,536,442,373,169,114,90
424,vt4_Renkomäki,2020/03/01,1,"12 KAIP",2,,2,,1,1,,1,1,1,3,11,3,5,4,6,4,9,5,8,5,2,5,4
424,vt4_Renkomäki,2020/03/01,1,"13 Linja-autot",1,2,,,,,1,,1,1,1,3,2,6,7,5,5,5,7,7,8,6,3,
424,vt4_Renkomäki,2020/03/01,1,"14 KAPP",,2,,1,,,,1,3,2,4,10,5,7,17,14,16,20,12,11,24,9,4,5
424,vt4_Renkomäki,2020/03/01,1,"15 KATP",1,,1,,,,,1,2,2,,3,14,6,16,9,12,21,23,12,10,10,9,8
424,vt4_Renkomäki,2020/03/01,1,"16 HA + PK",,2,,,1,,1,3,1,4,7,9,10,15,12,6,4,8,11,8,5,4,,1
424,vt4_Renkomäki,2020/03/01,1,"17 HA + AV",,,,,,1,,,,1,3,1,2,1,,2,1,1,,1,3,1,,
424,vt4_Renkomäki,2020/03/01,2,"11 HA-PA",60,73,47,37,41,51,74,80,172,277,484,630,889,1107,1331,1307,1330,1259,1057,808,486,373,151,83
424,vt4_Renkomäki,2020/03/01,2,"12 KAIP",2,1,,1,,1,1,4,4,7,3,3,9,7,11,3,8,12,13,8,6,7,1,5
424,vt4_Renkomäki,2020/03/01,2,"13 Linja-autot",,1,,,2,,2,1,1,2,5,2,5,5,9,6,6,5,4,4,3,1,2,1
424,vt4_Renkomäki,2020/03/01,2,"14 KAPP",1,1,,2,2,2,1,1,,2,4,2,1,5,1,3,6,4,6,2,7,2,2,
424,vt4_Renkomäki,2020/03/01,2,"15 KATP",,1,4,1,,2,1,4,2,10,5,6,11,10,9,10,10,12,20,22,14,14,14,6
424,vt4_Renkomäki,2020/03/01,2,"16 HA + PK",1,,1,,,,,2,8,3,6,15,14,29,28,26,19,31,13,14,11,8,1,1
424,vt4_Renkomäki,2020/03/01,2,"17 HA + AV",,,2,2,,,,,,1,2,3,2,1,6,8,5,6,5,1,,2,,1
424,vt4_Renkomäki,2020/03/02,1,"11 HA-PA",69,53,35,18,19,75,285,516,587,472,466,428,406,441,516,763,951,722,446,262,211,134,153,57
424,vt4_Renkomäki,2020/03/02,1,"12 KAIP",1,2,1,1,5,3,4,6,16,11,14,14,14,23,14,10,14,6,4,2,7,4,6,4
424,vt4_Renkomäki,2020/03/02,1,"13 Linja-autot",3,,,1,,,2,2,2,3,4,4,5,4,5,6,6,5,1,3,3,2,,1
424,vt4_Renkomäki,2020/03/02,1,"14 KAPP",4,2,3,2,4,3,4,15,17,35,42,55,38,38,33,26,32,33,18,16,21,12,8,7
424,vt4_Renkomäki,2020/03/02,1,"15 KATP",13,7,6,5,10,10,12,22,27,32,30,35,51,40,34,38,40,36,49,49,37,29,35,37
424,vt4_Renkomäki,2020/03/02,1,"16 HA + PK",,,,,1,3,1,7,9,5,5,9,2,8,7,10,10,4,1,5,2,1,3,1
424,vt4_Renkomäki,2020/03/02,1,"17 HA + AV",,1,,,1,,,2,,,1,1,1,1,2,2,3,1,1,,,,,
424,vt4_Renkomäki,2020/03/02,2,"11 HA-PA",52,19,21,46,136,550,780,839,647,402,411,413,438,533,550,663,680,448,311,270,232,143,81,37
424,vt4_Renkomäki,2020/03/02,2,"12 KAIP",4,4,2,3,2,8,25,17,18,21,17,14,16,18,14,15,21,4,10,5,8,3,2,1
424,vt4_Renkomäki,2020/03/02,2,"13 Linja-autot",3,1,2,1,4,3,2,3,3,4,2,4,5,4,6,2,4,4,2,3,1,,2,1
424,vt4_Renkomäki,2020/03/02,2,"14 KAPP",5,1,1,3,5,9,5,10,14,14,19,17,29,35,43,20,26,28,20,11,13,6,3,3
424,vt4_Renkomäki,2020/03/02,2,"15 KATP",14,14,12,7,16,30,25,24,22,31,25,33,30,40,34,34,42,17,32,21,27,25,14,19
424,vt4_Renkomäki,2020/03/02,2,"16 HA + PK",2,1,1,1,1,4,7,11,10,5,6,6,15,12,10,11,5,12,4,4,1,2,2,2
424,vt4_Renkomäki,2020/03/02,2,"17 HA + AV",,,1,,,2,2,3,3,4,2,3,4,2,1,5,3,,3,1,1,,,
424,vt4_Renkomäki,2020/03/03,1,"11 HA-PA",50,49,20,14,25,55,242,499,580,457,435,418,477,423,523,767,981,804,461,287,222,176,134,86
424,vt4_Renkomäki,2020/03/03,1,"12 KAIP",1,1,,1,7,4,8,9,16,11,14,10,14,10,14,17,13,7,7,5,1,2,4,3
424,vt4_Renkomäki,2020/03/03,1,"13 Linja-autot",2,,,1,,,,1,2,5,4,1,4,3,3,6,6,5,5,2,3,1,3,1
424,vt4_Renkomäki,2020/03/03,1,"14 KAPP",1,4,5,1,1,2,16,23,16,42,30,39,34,25,39,31,19,25,26,19,21,10,7,10
424,vt4_Renkomäki,2020/03/03,1,"15 KATP",19,11,8,15,13,13,16,22,21,34,37,29,37,38,31,46,34,44,45,35,27,34,42,28
424,vt4_Renkomäki,2020/03/03,1,"16 HA + PK",1,,,,,1,1,3,4,6,7,5,8,7,7,8,7,1,7,2,1,1,1,
424,vt4_Renkomäki,2020/03/03,1,"17 HA + AV",,,,,,,,1,1,4,3,3,2,2,1,3,2,3,1,2,,,1,
424,vt4_Renkomäki,2020/03/03,2,"11 HA-PA",14,14,20,19,108,496,688,812,522,352,322,361,402,472,497,707,719,458,356,254,209,126,79,54
424,vt4_Renkomäki,2020/03/03,2,"12 KAIP",4,1,1,,5,8,23,19,12,14,13,17,12,12,13,13,10,16,10,9,4,4,2,2
424,vt4_Renkomäki,2020/03/03,2,"13 Linja-autot",,,,,2,1,,3,3,1,5,2,5,3,4,5,4,1,1,1,1,,,
424,vt4_Renkomäki,2020/03/03,2,"14 KAPP",2,4,2,3,6,9,8,14,21,26,25,26,27,33,36,36,28,23,25,11,16,9,6,5
424,vt4_Renkomäki,2020/03/03,2,"15 KATP",21,15,17,11,15,24,24,37,36,29,28,29,44,50,28,28,30,30,39,35,32,24,13,12
424,vt4_Renkomäki,2020/03/03,2,"16 HA + PK",,2,,,1,3,5,7,10,5,6,5,11,12,4,10,3,4,2,1,3,,1,
424,vt4_Renkomäki,2020/03/03,2,"17 HA + AV",1,,1,1,,,2,3,3,3,1,5,4,4,3,,4,3,1,4,,2,,
424,vt4_Renkomäki,2020/03/04,1,"11 HA-PA",53,38,24,12,17,73,268,473,626,462,413,414,451,438,496,697,948,772,489,282,239,172,136,98
424,vt4_Renkomäki,2020/03/04,1,"12 KAIP",2,1,,1,5,6,8,11,14,7,10,17,11,20,11,12,12,13,5,6,6,4,4,2
424,vt4_Renkomäki,2020/03/04,1,"13 Linja-autot",2,,,,,,1,,1,2,3,2,2,5,3,7,5,4,8,1,1,2,4,
424,vt4_Renkomäki,2020/03/04,1,"14 KAPP",4,,2,3,3,5,9,14,33,26,45,35,36,23,34,29,30,30,25,12,21,14,9,7
424,vt4_Renkomäki,2020/03/04,1,"15 KATP",16,15,10,11,12,6,19,14,31,33,30,42,48,26,35,32,38,47,50,34,35,43,36,29
424,vt4_Renkomäki,2020/03/04,1,"16 HA + PK",,1,,,,,4,4,2,6,8,4,8,6,4,8,8,4,4,3,7,3,3,2
424,vt4_Renkomäki,2020/03/04,1,"17 HA + AV",,,,,,,1,1,3,2,1,3,4,1,1,3,4,1,4,1,,,2,1
424,vt4_Renkomäki,2020/03/04,2,"11 HA-PA",16,17,30,28,113,466,602,750,514,375,318,336,357,427,531,633,658,482,342,263,204,154,60,31
424,vt4_Renkomäki,2020/03/04,2,"12 KAIP",4,1,1,1,7,8,15,9,20,26,18,15,18,13,18,24,15,7,8,4,3,3,3,2
424,vt4_Renkomäki,2020/03/04,2,"13 Linja-autot",,,,,1,2,2,2,6,3,2,3,6,4,8,6,4,,2,2,3,1,,
424,vt4_Renkomäki,2020/03/04,2,"14 KAPP",1,1,1,4,5,15,9,21,18,21,23,22,40,31,34,31,27,24,27,11,11,6,3,3
424,vt4_Renkomäki,2020/03/04,2,"15 KATP",21,20,14,21,20,25,19,31,30,20,29,28,33,38,39,27,35,39,35,34,24,21,23,13
424,vt4_Renkomäki,2020/03/04,2,"16 HA + PK",,,,,,1,9,4,2,5,5,4,1,2,9,10,6,4,3,4,2,1,,1
424,vt4_Renkomäki,2020/03/04,2,"17 HA + AV",1,,,,,,3,1,2,3,4,2,2,6,3,1,2,6,1,1,,,,
424,vt4_Renkomäki,2020/03/05,1,"11 HA-PA",60,30,20,10,20,61,257,500,603,517,535,566,539,549,713,1006,1255,1036,584,419,265,219,165,95
424,vt4_Renkomäki,2020/03/05,1,"12 KAIP",4,2,,5,1,6,14,11,8,14,8,19,24,18,17,19,17,9,6,1,2,5,6,3
424,vt4_Renkomäki,2020/03/05,1,"13 Linja-autot",4,,2,,,,,8,1,3,2,1,4,3,7,5,7,8,3,2,4,6,4,
424,vt4_Renkomäki,2020/03/05,1,"14 KAPP",1,3,4,2,4,3,6,10,30,30,30,35,34,35,31,24,30,22,20,19,16,12,10,5
424,vt4_Renkomäki,2020/03/05,1,"15 KATP",16,14,10,10,12,13,18,19,27,34,30,38,39,36,39,35,43,50,52,44,31,39,39,28
424,vt4_Renkomäki,2020/03/05,1,"16 HA + PK",,,,,2,3,,3,8,4,12,11,11,11,6,13,11,5,9,8,2,3,1,2
424,vt4_Renkomäki,2020/03/05,1,"17 HA + AV",,,,,1,,1,2,3,4,5,5,4,,3,2,7,2,2,4,3,,,
424,vt4_Renkomäki,2020/03/05,2,"11 HA-PA",16,16,22,27,108,486,692,787,486,348,348,395,439,475,586,713,727,504,444,332,227,159,82,34
424,vt4_Renkomäki,2020/03/05,2,"12 KAIP",3,,2,1,2,8,21,13,20,13,16,13,13,17,24,26,13,14,8,6,6,3,2,2
424,vt4_Renkomäki,2020/03/05,2,"13 Linja-autot",,,,1,2,3,5,2,2,1,6,4,5,4,3,8,1,3,4,4,1,2,2,
424,vt4_Renkomäki,2020/03/05,2,"14 KAPP",5,6,1,1,14,13,8,13,15,34,33,28,25,25,25,26,40,27,35,20,14,7,4,3
424,vt4_Renkomäki,2020/03/05,2,"15 KATP",19,16,18,17,13,27,28,32,37,25,37,30,34,38,21,45,34,32,33,21,24,20,18,12
424,vt4_Renkomäki,2020/03/05,2,"16 HA + PK",,,2,,,3,7,7,8,1,8,3,7,4,13,7,5,8,2,5,2,2,1,1
424,vt4_Renkomäki,2020/03/05,2,"17 HA + AV",1,,,,1,1,5,2,2,3,5,3,4,7,1,2,2,2,2,1,,1,,
424,vt4_Renkomäki,2020/03/06,1,"11 HA-PA",51,40,12,12,22,70,260,469,618,646,686,712,752,949,1247,1611,1753,1515,991,554,357,215,211,160
424,vt4_Renkomäki,2020/03/06,1,"12 KAIP",2,1,1,3,3,7,6,11,13,13,13,10,21,14,13,16,14,9,7,8,1,3,3,5
424,vt4_Renkomäki,2020/03/06,1,"13 Linja-autot",2,,2,,,,1,2,1,3,2,5,7,5,3,13,6,8,7,3,1,3,1,1
424,vt4_Renkomäki,2020/03/06,1,"14 KAPP",4,1,3,5,2,4,12,14,31,27,33,37,25,33,12,11,16,16,9,8,4,4,6,5
424,vt4_Renkomäki,2020/03/06,1,"15 KATP",14,15,12,8,11,14,14,16,21,27,37,31,33,33,32,27,30,27,34,30,38,31,30,18
424,vt4_Renkomäki,2020/03/06,1,"16 HA + PK",,,,,2,1,5,6,6,7,9,18,16,18,20,21,15,16,8,11,2,6,3,1
424,vt4_Renkomäki,2020/03/06,1,"17 HA + AV",,,,,,1,1,3,2,4,1,6,3,5,3,6,5,4,4,3,2,,1,1
424,vt4_Renkomäki,2020/03/06,2,"11 HA-PA",21,12,11,28,88,407,571,571,437,352,377,432,539,658,764,880,924,678,549,446,291,193,137,64
424,vt4_Renkomäki,2020/03/06,2,"12 KAIP",5,4,3,,1,8,24,16,16,9,9,20,18,20,13,19,13,12,3,7,3,3,3,2
424,vt4_Renkomäki,2020/03/06,2,"13 Linja-autot",,,,,3,2,1,3,4,3,4,5,6,,4,3,7,5,2,3,4,2,2,
424,vt4_Renkomäki,2020/03/06,2,"14 KAPP",4,2,3,4,5,14,6,24,22,26,28,36,38,36,31,24,33,19,17,12,6,8,4,5
424,vt4_Renkomäki,2020/03/06,2,"15 KATP",25,13,13,18,20,19,16,33,27,35,23,31,29,27,33,30,33,29,16,17,5,10,14,7
424,vt4_Renkomäki,2020/03/06,2,"16 HA + PK",1,,,,,,6,5,5,6,8,8,13,16,10,6,11,7,4,3,4,2,,
424,vt4_Renkomäki,2020/03/06,2,"17 HA + AV",1,,,,,,4,2,2,3,2,4,5,4,3,2,7,2,1,,3,1,,1
424,vt4_Renkomäki,2020/03/07,1,"11 HA-PA",65,60,37,36,39,72,186,299,504,767,898,961,803,705,613,590,619,625,520,324,285,194,183,149
424,vt4_Renkomäki,2020/03/07,1,"12 KAIP",,,,3,,3,3,2,2,3,3,10,1,5,6,3,7,1,4,5,1,,1,
424,vt4_Renkomäki,2020/03/07,1,"13 Linja-autot",4,,1,,1,,,3,5,7,8,2,5,2,7,11,5,5,7,1,3,4,2,1
424,vt4_Renkomäki,2020/03/07,1,"14 KAPP",2,1,,1,1,1,3,1,4,6,11,5,6,5,1,5,5,5,1,2,5,1,4,1
424,vt4_Renkomäki,2020/03/07,1,"15 KATP",15,10,6,7,3,2,2,3,6,2,8,9,12,7,15,9,9,3,5,3,2,1,1,2
424,vt4_Renkomäki,2020/03/07,1,"16 HA + PK",3,4,1,1,2,4,6,11,16,16,21,18,6,17,8,15,12,6,9,7,5,1,,1
424,vt4_Renkomäki,2020/03/07,1,"17 HA + AV",,1,,1,4,2,3,4,2,2,2,3,3,1,3,1,2,,,1,1,,1,
424,vt4_Renkomäki,2020/03/07,2,"11 HA-PA",72,30,27,40,46,77,108,139,315,408,498,587,708,660,712,770,760,675,595,462,294,222,159,77
424,vt4_Renkomäki,2020/03/07,2,"12 KAIP",4,1,1,4,1,3,5,4,4,6,9,4,9,6,7,9,7,7,6,3,4,3,2,1
424,vt4_Renkomäki,2020/03/07,2,"13 Linja-autot",,,1,3,2,1,,5,3,1,5,5,7,4,10,10,,5,4,5,1,1,3,3
424,vt4_Renkomäki,2020/03/07,2,"14 KAPP",1,3,,3,2,3,4,5,7,3,9,4,3,4,6,2,7,5,1,4,1,1,,2
424,vt4_Renkomäki,2020/03/07,2,"15 KATP",11,4,9,13,9,6,7,13,5,6,7,5,5,4,4,2,3,10,1,7,7,3,5,2
424,vt4_Renkomäki,2020/03/07,2,"16 HA + PK",1,1,,2,1,1,1,4,2,10,7,14,16,10,20,18,6,9,15,12,6,5,1,
424,vt4_Renkomäki,2020/03/07,2,"17 HA + AV",1,,,,1,,,1,1,1,2,2,,2,2,1,,7,2,4,3,1,3,2
424,vt4_Renkomäki,2020/03/08,1,"11 HA-PA",119,81,33,24,34,47,54,88,194,402,628,738,668,728,671,690,648,728,609,423,320,178,118,88
424,vt4_Renkomäki,2020/03/08,1,"12 KAIP",1,,1,,1,,,2,4,2,2,5,3,4,2,7,2,3,4,4,2,1,4,2
424,vt4_Renkomäki,2020/03/08,1,"13 Linja-autot",2,1,1,2,,,,,,1,1,7,4,3,4,6,5,6,9,4,9,5,3,
424,vt4_Renkomäki,2020/03/08,1,"14 KAPP",,,,1,,,,1,3,9,7,3,5,6,20,15,14,22,12,7,20,15,10,10
424,vt4_Renkomäki,2020/03/08,1,"15 KATP",1,,1,,,,,1,,3,3,6,4,11,17,13,13,28,19,11,9,6,4,12
424,vt4_Renkomäki,2020/03/08,1,"16 HA + PK",1,1,,,,1,1,,2,4,8,5,10,7,9,11,9,6,2,3,2,1,2,
424,vt4_Renkomäki,2020/03/08,1,"17 HA + AV",,,,,,,1,,1,2,1,1,3,1,2,1,3,,1,3,,,,
424,vt4_Renkomäki,2020/03/08,2,"11 HA-PA",93,35,30,34,47,61,60,74,158,233,386,629,844,1056,1145,1372,1492,1453,1162,875,520,383,178,94
424,vt4_Renkomäki,2020/03/08,2,"12 KAIP",1,,1,,,,,1,4,3,5,8,12,5,12,10,18,12,12,12,11,13,6,4
