"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
451,vt9_Tre_Aitovuori,2020/03/01,1,"11 HA-PA",75,59,26,36,45,33,48,93,124,221,322,461,484,519,531,549,585,536,504,356,270,189,102,47
451,vt9_Tre_Aitovuori,2020/03/01,1,"12 KAIP",,3,,,,,,3,,3,2,6,3,4,2,4,7,3,5,3,4,1,1,1
451,vt9_Tre_Aitovuori,2020/03/01,1,"13 Linja-autot",,,,,,,1,1,,2,4,2,4,3,3,4,2,4,2,3,2,1,2,1
451,vt9_Tre_Aitovuori,2020/03/01,1,"14 KAPP",,,,,,,,,,1,2,2,3,2,,1,1,2,4,3,5,1,2,
451,vt9_Tre_Aitovuori,2020/03/01,1,"15 KATP",3,1,1,1,,,2,1,3,2,1,1,3,5,4,4,4,8,6,6,5,10,2,4
451,vt9_Tre_Aitovuori,2020/03/01,1,"16 HA + PK",2,,,1,,,2,2,2,4,10,7,8,11,9,8,14,8,7,5,3,2,3,
451,vt9_Tre_Aitovuori,2020/03/01,1,"17 HA + AV",,,,,,,1,,,,1,,,2,,,1,1,,2,1,,,
451,vt9_Tre_Aitovuori,2020/03/01,2,"11 HA-PA",78,55,29,27,40,44,66,56,86,208,389,488,636,849,863,873,803,824,683,556,456,243,114,82
451,vt9_Tre_Aitovuori,2020/03/01,2,"12 KAIP",2,1,,,,,1,2,1,3,10,6,9,4,6,3,9,3,6,3,4,1,2,1
451,vt9_Tre_Aitovuori,2020/03/01,2,"13 Linja-autot",2,2,1,1,,,1,,1,1,1,4,1,2,2,1,3,3,2,2,2,2,2,4
451,vt9_Tre_Aitovuori,2020/03/01,2,"14 KAPP",2,,,,,,,,1,,3,1,1,3,2,,2,2,4,2,1,,2,
451,vt9_Tre_Aitovuori,2020/03/01,2,"15 KATP",,,1,1,2,2,1,1,1,2,3,4,5,1,9,4,5,7,11,7,7,6,7,5
451,vt9_Tre_Aitovuori,2020/03/01,2,"16 HA + PK",1,2,1,2,,1,1,3,4,5,9,22,16,16,17,11,21,17,13,12,7,9,3,
451,vt9_Tre_Aitovuori,2020/03/01,2,"17 HA + AV",2,1,1,,,,,,,,,3,,3,,,3,1,,3,1,,1,
451,vt9_Tre_Aitovuori,2020/03/02,1,"11 HA-PA",33,18,16,16,29,110,243,415,462,347,333,327,401,427,595,1038,1160,718,513,393,312,217,106,55
451,vt9_Tre_Aitovuori,2020/03/02,1,"12 KAIP",2,,2,,5,4,14,20,25,18,17,13,19,27,23,23,16,16,11,6,13,4,1,1
451,vt9_Tre_Aitovuori,2020/03/02,1,"13 Linja-autot",,,,,1,1,2,4,4,3,4,1,2,2,5,4,4,5,1,1,1,1,1,1
451,vt9_Tre_Aitovuori,2020/03/02,1,"14 KAPP",1,,1,,,2,2,6,6,10,10,8,11,7,13,7,10,6,7,4,6,2,2,2
451,vt9_Tre_Aitovuori,2020/03/02,1,"15 KATP",3,3,1,2,5,5,12,14,29,32,22,26,18,15,17,20,26,17,14,17,21,24,14,10
