"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
558,vt6_Mattila,2020/03/01,1,"11 HA-PA",51,41,28,23,26,38,63,74,94,131,239,278,355,409,427,456,475,359,370,278,264,185,113,59
558,vt6_Mattila,2020/03/01,1,"12 KAIP",1,,,,,,,1,3,5,2,6,2,2,2,4,2,3,4,1,4,3,1,
558,vt6_Mattila,2020/03/01,1,"13 Linja-autot",2,1,,,,,,1,,1,2,1,,2,,1,1,,1,4,,2,3,2
558,vt6_Mattila,2020/03/01,1,"14 KAPP",4,3,2,2,3,3,,3,5,2,2,4,2,2,4,3,2,7,4,9,5,2,5,6
558,vt6_Mattila,2020/03/01,1,"15 KATP",1,1,2,1,1,3,8,3,3,7,3,3,1,8,6,6,5,9,7,8,10,5,9,3
558,vt6_Mattila,2020/03/01,1,"16 HA + PK",2,,,,,1,,,1,5,,7,11,9,6,7,5,7,4,3,1,2,1,1
558,vt6_Mattila,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,1,,,,3,,1,1,,1,,
558,vt6_Mattila,2020/03/01,2,"11 HA-PA",55,29,38,23,20,21,55,87,97,188,303,391,486,504,533,519,491,401,354,244,233,158,95,37
558,vt6_Mattila,2020/03/01,2,"12 KAIP",,,1,1,,,,1,5,4,2,7,5,2,4,5,2,6,3,6,1,,2,2
558,vt6_Mattila,2020/03/01,2,"13 Linja-autot",,2,,,,,,1,3,1,2,,,1,,,2,1,,3,1,3,,1
558,vt6_Mattila,2020/03/01,2,"14 KAPP",2,3,2,2,2,2,2,1,1,4,11,6,8,8,7,8,10,8,11,14,5,3,6,9
558,vt6_Mattila,2020/03/01,2,"15 KATP",1,1,4,,2,4,3,2,9,3,13,8,7,4,11,8,14,10,10,13,6,13,6,7
558,vt6_Mattila,2020/03/01,2,"16 HA + PK",,,,,,,1,1,1,3,11,4,6,10,9,11,4,4,7,6,2,,,
558,vt6_Mattila,2020/03/01,2,"17 HA + AV",1,,1,,,,,,1,1,,,,1,2,,,1,1,,1,,,
558,vt6_Mattila,2020/03/02,1,"11 HA-PA",28,28,13,17,36,139,495,765,477,460,379,412,405,391,428,531,591,418,326,249,176,128,49,31
558,vt6_Mattila,2020/03/02,1,"12 KAIP",2,1,4,,5,6,12,14,12,13,20,9,21,22,9,17,9,10,3,5,13,3,1,2
558,vt6_Mattila,2020/03/02,1,"13 Linja-autot",1,,,1,,,4,2,4,1,4,4,2,,2,,,3,,2,1,1,1,
558,vt6_Mattila,2020/03/02,1,"14 KAPP",1,3,3,3,5,2,5,6,10,8,14,18,24,29,26,14,8,22,10,9,9,9,4,5
558,vt6_Mattila,2020/03/02,1,"15 KATP",6,10,12,18,21,16,29,22,32,31,42,28,43,28,36,27,32,30,29,29,22,21,24,10
558,vt6_Mattila,2020/03/02,1,"16 HA + PK",,,,,1,1,1,3,6,8,3,3,6,7,8,4,7,3,3,4,6,3,,
558,vt6_Mattila,2020/03/02,1,"17 HA + AV",,,,,,,,1,1,1,1,2,,1,1,1,3,3,1,1,,2,,
558,vt6_Mattila,2020/03/02,2,"11 HA-PA",19,19,10,30,42,144,302,524,449,330,331,342,427,415,514,795,830,525,367,253,171,118,88,27
558,vt6_Mattila,2020/03/02,2,"12 KAIP",,1,,2,3,5,16,16,15,18,16,15,10,14,15,14,7,10,15,9,5,6,2,1
558,vt6_Mattila,2020/03/02,2,"13 Linja-autot",,2,,,2,2,4,1,1,3,1,1,4,2,2,2,2,2,1,1,,2,,
558,vt6_Mattila,2020/03/02,2,"14 KAPP",4,7,1,2,1,9,6,5,16,9,15,12,19,14,24,19,16,21,15,19,4,11,4,11
558,vt6_Mattila,2020/03/02,2,"15 KATP",3,6,3,9,16,32,28,37,36,32,41,38,33,35,44,36,24,42,29,27,18,21,15,11
558,vt6_Mattila,2020/03/02,2,"16 HA + PK",,1,,1,1,,2,8,4,2,6,5,6,7,5,9,9,5,5,5,2,,1,
558,vt6_Mattila,2020/03/02,2,"17 HA + AV",1,,1,,,,1,2,,,,2,2,1,,1,4,2,2,,1,,,
558,vt6_Mattila,2020/03/03,1,"11 HA-PA",27,14,5,10,31,133,487,835,548,453,314,347,376,436,433,590,620,462,341,203,170,149,57,27
558,vt6_Mattila,2020/03/03,1,"12 KAIP",,2,1,1,5,5,10,16,8,18,18,8,12,16,9,15,5,5,5,4,5,3,,3
558,vt6_Mattila,2020/03/03,1,"13 Linja-autot",,,,,,,2,1,6,1,3,3,3,,3,,1,2,1,1,,,2,
558,vt6_Mattila,2020/03/03,1,"14 KAPP",4,7,5,3,2,2,8,9,15,15,20,21,23,17,27,18,12,16,12,9,9,7,4,1
558,vt6_Mattila,2020/03/03,1,"15 KATP",17,19,21,20,26,22,26,31,35,34,26,39,36,27,44,36,44,33,27,24,28,20,27,12
558,vt6_Mattila,2020/03/03,1,"16 HA + PK",,,,,1,1,5,7,9,3,3,6,3,8,10,6,8,7,3,2,4,,1,
558,vt6_Mattila,2020/03/03,1,"17 HA + AV",,,,,,,1,3,,3,,2,1,1,1,,2,,1,,2,,1,
558,vt6_Mattila,2020/03/03,2,"11 HA-PA",23,13,10,12,25,96,294,573,445,306,329,386,380,429,533,824,902,546,401,268,221,109,79,35
558,vt6_Mattila,2020/03/03,2,"12 KAIP",1,,3,3,4,5,9,13,17,15,11,18,19,18,16,11,5,3,6,1,3,4,3,1
558,vt6_Mattila,2020/03/03,2,"13 Linja-autot",,1,,,2,,6,2,1,2,1,,3,2,4,4,,4,,,1,,,1
558,vt6_Mattila,2020/03/03,2,"14 KAPP",5,3,4,11,4,8,12,14,12,12,17,8,10,27,13,22,20,21,17,11,10,9,12,5
558,vt6_Mattila,2020/03/03,2,"15 KATP",13,12,14,10,22,18,34,30,39,44,37,40,34,39,34,41,39,41,29,34,23,27,14,18
558,vt6_Mattila,2020/03/03,2,"16 HA + PK",,,1,,,3,2,7,4,11,3,6,6,5,7,5,16,3,7,1,2,1,,
558,vt6_Mattila,2020/03/03,2,"17 HA + AV",,1,1,,,,1,1,,1,,,,2,1,1,,,,1,,1,,
558,vt6_Mattila,2020/03/04,1,"11 HA-PA",20,15,10,15,35,139,499,755,512,404,366,372,407,422,398,589,629,379,303,235,166,132,60,30
558,vt6_Mattila,2020/03/04,1,"12 KAIP",,1,,2,3,7,11,13,19,18,18,20,26,24,17,12,9,5,6,1,7,1,4,5
558,vt6_Mattila,2020/03/04,1,"13 Linja-autot",,,,1,,1,2,,5,2,2,3,3,,1,1,1,2,1,,1,1,,2
558,vt6_Mattila,2020/03/04,1,"14 KAPP",2,4,5,4,6,4,5,7,16,20,11,27,15,19,17,21,20,18,8,11,9,2,5,5
