"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
591,vt15_Kiehuva,2020/03/01,1,"11 HA-PA",24,35,12,18,15,17,48,41,55,81,135,163,210,196,189,219,199,205,162,107,77,77,39,17
591,vt15_Kiehuva,2020/03/01,1,"12 KAIP",,,1,,,,,,,,1,1,,,2,2,1,2,,1,,,1,
591,vt15_Kiehuva,2020/03/01,1,"14 KAPP",,,,,,1,,2,,4,3,5,5,2,4,7,3,7,1,1,1,2,,
591,vt15_Kiehuva,2020/03/01,1,"15 KATP",,1,,1,,,3,2,4,,4,2,2,4,4,4,2,2,5,2,2,5,1,1
591,vt15_Kiehuva,2020/03/01,1,"16 HA + PK",1,,,1,,,,,2,3,1,,4,,3,9,2,2,,1,1,,,
591,vt15_Kiehuva,2020/03/01,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,,,
591,vt15_Kiehuva,2020/03/01,2,"11 HA-PA",41,29,28,23,22,22,35,36,44,75,102,136,177,211,247,218,232,233,182,180,115,85,51,20
591,vt15_Kiehuva,2020/03/01,2,"12 KAIP",,1,,,1,,,,,2,,,1,4,,1,3,4,,2,1,1,1,
591,vt15_Kiehuva,2020/03/01,2,"13 Linja-autot",,,,,1,,,,,,,,,,,,,,,,,,,
591,vt15_Kiehuva,2020/03/01,2,"14 KAPP",,,,1,,,,,,,1,1,,,1,2,,,1,1,1,,2,1
591,vt15_Kiehuva,2020/03/01,2,"15 KATP",,1,1,,4,1,,2,3,5,3,2,5,1,5,2,3,3,2,7,7,9,9,2
591,vt15_Kiehuva,2020/03/01,2,"16 HA + PK",2,1,,,,,,1,,2,2,3,4,4,6,1,6,7,2,3,4,4,,
591,vt15_Kiehuva,2020/03/01,2,"17 HA + AV",1,,,,,,,,1,,2,,,,,,1,,1,,,,,
591,vt15_Kiehuva,2020/03/02,1,"11 HA-PA",12,13,6,12,16,86,254,390,268,206,172,177,201,215,287,385,431,241,154,121,64,68,39,19
