"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
629,vt23_Siikamäki,2020/03/01,1,"11 HA-PA",8,9,5,3,5,8,7,15,21,28,27,62,73,73,97,111,78,75,67,35,49,25,9,2
629,vt23_Siikamäki,2020/03/01,1,"12 KAIP",1,,,,,1,,,1,1,1,1,1,,,1,,,1,2,,3,,1
629,vt23_Siikamäki,2020/03/01,1,"13 Linja-autot",,,,,,1,,,,,,,,1,,,,1,1,,,,,
629,vt23_Siikamäki,2020/03/01,1,"14 KAPP",,,,,,,,1,,,,,1,,,,1,,,1,,1,,
629,vt23_Siikamäki,2020/03/01,1,"15 KATP",,,,,1,,,,,,,,1,2,2,1,,1,2,2,1,,,1
629,vt23_Siikamäki,2020/03/01,1,"16 HA + PK",,,,,,,,,,2,2,,1,2,4,,2,1,1,,,,,
629,vt23_Siikamäki,2020/03/01,1,"17 HA + AV",,,,,,,,,,1,,,,,,,1,,,,,,,
629,vt23_Siikamäki,2020/03/01,2,"11 HA-PA",14,3,4,4,1,1,7,17,24,31,65,96,120,120,131,129,94,105,75,56,17,9,9,3
629,vt23_Siikamäki,2020/03/01,2,"12 KAIP",,,,,,,,,1,,3,3,2,2,2,1,2,3,3,3,1,,1,
629,vt23_Siikamäki,2020/03/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,1,,,,,,
629,vt23_Siikamäki,2020/03/01,2,"14 KAPP",,,,,,,,,,,,1,2,1,2,1,1,,1,1,1,,,
629,vt23_Siikamäki,2020/03/01,2,"15 KATP",,,,,,,,1,,,4,,,2,1,1,2,4,1,2,2,,,1
629,vt23_Siikamäki,2020/03/01,2,"16 HA + PK",2,1,,,,1,,,,1,2,6,2,3,6,4,4,1,2,2,,1,,1
629,vt23_Siikamäki,2020/03/01,2,"17 HA + AV",1,,,,,1,,,1,1,2,1,1,,,,1,,,,,,,
629,vt23_Siikamäki,2020/03/02,1,"11 HA-PA",4,8,1,2,11,32,53,67,58,63,49,45,63,70,67,126,123,65,53,28,21,23,8,3
629,vt23_Siikamäki,2020/03/02,1,"12 KAIP",,1,,1,,2,,,,5,1,1,4,3,2,3,1,,1,,2,1,1,1
629,vt23_Siikamäki,2020/03/02,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,1,2,,,,,,
629,vt23_Siikamäki,2020/03/02,1,"14 KAPP",,,,,,,1,,,2,2,4,2,2,,2,1,2,1,2,,,1,
629,vt23_Siikamäki,2020/03/02,1,"15 KATP",2,1,1,,2,1,,6,4,6,6,2,2,4,9,2,4,1,1,5,3,3,2,2
629,vt23_Siikamäki,2020/03/02,1,"16 HA + PK",,,,,1,,,1,1,2,1,3,,3,3,3,1,2,1,1,,,,
629,vt23_Siikamäki,2020/03/02,1,"17 HA + AV",,,,,,,,1,,,,,,,,1,1,,,1,,,,
629,vt23_Siikamäki,2020/03/02,2,"11 HA-PA",7,3,7,7,5,21,83,109,70,61,58,68,57,71,73,94,102,57,26,23,17,15,9,3
629,vt23_Siikamäki,2020/03/02,2,"12 KAIP",1,,,1,1,,2,3,4,3,,4,2,2,3,4,2,2,2,1,1,,2,
629,vt23_Siikamäki,2020/03/02,2,"13 Linja-autot",,,1,,,,1,,,1,,1,1,1,,,1,,,,,,,
629,vt23_Siikamäki,2020/03/02,2,"14 KAPP",1,,,,,,,,1,,2,,2,3,1,1,1,1,,,,2,1,
629,vt23_Siikamäki,2020/03/02,2,"15 KATP",1,,1,1,2,1,5,4,8,4,6,4,,5,7,5,3,3,4,6,8,4,2,3
629,vt23_Siikamäki,2020/03/02,2,"16 HA + PK",1,1,,,,,3,,2,,2,1,3,3,2,2,5,,,1,,1,1,
629,vt23_Siikamäki,2020/03/02,2,"17 HA + AV",,,,,,,,1,,,2,,,1,,,,1,,1,,,,
629,vt23_Siikamäki,2020/03/03,1,"11 HA-PA",2,4,3,1,9,29,55,68,79,55,51,58,65,74,78,131,111,64,44,27,27,25,8,5
629,vt23_Siikamäki,2020/03/03,1,"12 KAIP",,,1,,,,3,3,1,3,,4,1,3,5,1,1,1,3,2,,,,
629,vt23_Siikamäki,2020/03/03,1,"13 Linja-autot",,,,,,,,,,,1,,,1,,,,1,,,,,,
629,vt23_Siikamäki,2020/03/03,1,"14 KAPP",1,,,,,,,1,1,1,1,,1,,2,,2,,1,1,2,1,,
629,vt23_Siikamäki,2020/03/03,1,"15 KATP",2,4,4,6,2,3,2,2,4,2,2,3,5,6,3,4,3,2,5,3,5,,1,1
629,vt23_Siikamäki,2020/03/03,1,"16 HA + PK",,,,,,,,3,1,1,1,,,,1,2,,1,1,1,1,1,,
629,vt23_Siikamäki,2020/03/03,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,,,
629,vt23_Siikamäki,2020/03/03,2,"11 HA-PA",3,4,1,3,3,13,72,108,49,60,55,77,73,58,81,76,118,67,30,34,19,8,10,1
629,vt23_Siikamäki,2020/03/03,2,"12 KAIP",1,,,,,1,1,2,2,1,2,,3,3,3,3,1,3,1,1,1,2,2,
629,vt23_Siikamäki,2020/03/03,2,"13 Linja-autot",,,,,,,2,1,1,,,,,,1,,2,,,,,,,
629,vt23_Siikamäki,2020/03/03,2,"14 KAPP",,,1,,1,,1,1,,2,1,2,1,,1,4,1,,,2,,,,
629,vt23_Siikamäki,2020/03/03,2,"15 KATP",1,1,,2,,6,1,4,4,6,8,5,5,5,8,8,6,8,3,2,9,4,2,1
629,vt23_Siikamäki,2020/03/03,2,"16 HA + PK",,1,1,,,,3,1,1,1,3,1,2,1,3,4,2,1,1,1,,,,
629,vt23_Siikamäki,2020/03/03,2,"17 HA + AV",,,,,,,1,,1,1,,,,1,1,1,1,,,1,,,,1
629,vt23_Siikamäki,2020/03/04,1,"11 HA-PA",3,5,4,4,10,25,42,73,65,54,41,69,66,74,88,144,127,78,47,35,24,20,12,8
629,vt23_Siikamäki,2020/03/04,1,"12 KAIP",,,,,,2,,3,2,6,5,2,3,5,1,3,,2,1,2,,1,1,1
629,vt23_Siikamäki,2020/03/04,1,"13 Linja-autot",,,,,,,1,,,,1,,,,,,,1,,,,,,
629,vt23_Siikamäki,2020/03/04,1,"14 KAPP",,1,,,,,1,2,3,3,2,,1,,1,2,4,2,1,1,,1,,
629,vt23_Siikamäki,2020/03/04,1,"15 KATP",,6,3,3,3,3,2,1,6,2,3,5,5,6,2,3,3,6,6,1,2,4,3,2
629,vt23_Siikamäki,2020/03/04,1,"16 HA + PK",,,,,,,,1,1,,,4,2,5,2,2,1,,2,,,,,
629,vt23_Siikamäki,2020/03/04,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,,
629,vt23_Siikamäki,2020/03/04,2,"11 HA-PA",4,5,1,2,9,14,78,101,72,63,60,73,62,72,99,101,104,61,49,22,23,17,8,2
629,vt23_Siikamäki,2020/03/04,2,"12 KAIP",,,,,1,,,,1,3,1,4,,4,2,3,2,3,1,3,,2,1,
629,vt23_Siikamäki,2020/03/04,2,"13 Linja-autot",,,,,,,1,,,,,2,,1,,,2,,,,,,1,
629,vt23_Siikamäki,2020/03/04,2,"14 KAPP",,,,,,,1,,1,,,1,1,,2,1,1,2,1,1,,,,1
629,vt23_Siikamäki,2020/03/04,2,"15 KATP",,,1,1,,1,3,5,6,7,8,5,7,6,5,7,7,6,4,3,11,5,3,2
629,vt23_Siikamäki,2020/03/04,2,"16 HA + PK",,1,,,1,,3,1,6,2,1,4,1,3,3,5,2,1,2,,,,1,1
629,vt23_Siikamäki,2020/03/04,2,"17 HA + AV",,,,,,1,,,,,,1,1,,1,,1,,,,,,1,
629,vt23_Siikamäki,2020/03/05,1,"11 HA-PA",2,4,4,4,7,28,42,64,59,57,54,56,59,73,105,133,98,85,58,35,41,27,20,6
629,vt23_Siikamäki,2020/03/05,1,"12 KAIP",,1,1,,,1,1,,5,3,4,2,,1,1,3,1,,2,3,1,1,,
629,vt23_Siikamäki,2020/03/05,1,"13 Linja-autot",,,,,,,,,1,,1,,,,1,2,,1,,1,,,,
629,vt23_Siikamäki,2020/03/05,1,"14 KAPP",,1,1,,,1,,,,4,1,,1,1,2,2,1,,4,2,1,2,,
629,vt23_Siikamäki,2020/03/05,1,"15 KATP",2,4,5,2,5,,2,2,5,9,4,6,4,6,3,3,5,3,3,3,3,2,1,2
629,vt23_Siikamäki,2020/03/05,1,"16 HA + PK",,,,,,,,,,4,3,1,5,2,1,2,2,,1,1,1,,,1
629,vt23_Siikamäki,2020/03/05,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,,,
629,vt23_Siikamäki,2020/03/05,2,"11 HA-PA",3,4,2,2,3,14,70,96,70,42,59,74,84,81,80,87,101,88,46,34,18,14,14,7
629,vt23_Siikamäki,2020/03/05,2,"12 KAIP",,1,,,,1,2,2,2,3,4,3,2,,5,1,2,2,1,,1,3,2,
629,vt23_Siikamäki,2020/03/05,2,"13 Linja-autot",,,,,,,1,,,,,,2,1,,,2,,1,,,,,
629,vt23_Siikamäki,2020/03/05,2,"14 KAPP",,1,,1,,1,,1,,,1,,2,1,2,2,1,2,,,,,,
629,vt23_Siikamäki,2020/03/05,2,"15 KATP",1,,3,2,2,1,4,4,4,7,7,,3,3,9,2,3,5,4,2,6,2,3,1
629,vt23_Siikamäki,2020/03/05,2,"16 HA + PK",,1,,,,,,2,4,1,2,5,2,2,,5,1,1,1,,1,,,
629,vt23_Siikamäki,2020/03/05,2,"17 HA + AV",,,,,,,,,,,2,,,1,1,2,,1,,,,,,
629,vt23_Siikamäki,2020/03/06,1,"11 HA-PA",3,2,2,1,8,26,40,61,53,59,62,77,99,119,134,142,127,121,97,73,54,32,19,9
629,vt23_Siikamäki,2020/03/06,1,"12 KAIP",,,1,2,2,,2,,,3,3,5,1,3,,3,3,1,3,5,,2,,1
629,vt23_Siikamäki,2020/03/06,1,"13 Linja-autot",,,,,,,,,,,,1,,,2,,1,,1,,,1,,
629,vt23_Siikamäki,2020/03/06,1,"14 KAPP",,,,,,,,,1,,2,1,2,,4,1,,,2,,2,,,
629,vt23_Siikamäki,2020/03/06,1,"15 KATP",4,3,6,3,4,3,3,3,4,6,4,4,2,7,3,1,9,3,1,2,3,,3,1
629,vt23_Siikamäki,2020/03/06,1,"16 HA + PK",,,,1,,,,2,1,2,1,1,3,3,1,2,1,2,2,,1,1,,
629,vt23_Siikamäki,2020/03/06,1,"17 HA + AV",,,,,,,,1,,,,,,,,1,,,1,,,,,
629,vt23_Siikamäki,2020/03/06,2,"11 HA-PA",4,1,1,1,1,28,69,78,69,65,82,94,85,79,130,112,108,90,59,54,25,19,8,8
629,vt23_Siikamäki,2020/03/06,2,"12 KAIP",,1,,1,,,1,1,3,1,3,1,1,7,3,,,5,3,,,1,1,1
629,vt23_Siikamäki,2020/03/06,2,"13 Linja-autot",,,,,,,1,1,,,1,,,1,,,1,1,,,,,,
629,vt23_Siikamäki,2020/03/06,2,"14 KAPP",,,,,,,,,2,1,3,1,2,1,,2,1,,1,,1,,,1
629,vt23_Siikamäki,2020/03/06,2,"15 KATP",6,,1,1,1,2,3,3,5,6,7,5,2,1,10,2,2,4,5,5,5,3,4,2
