"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
902,vt4_Äänekoski,2020/03/01,1,"11 HA-PA",20,19,9,11,13,18,14,38,74,80,101,124,154,152,173,173,160,127,122,97,67,48,24,11
902,vt4_Äänekoski,2020/03/01,1,"12 KAIP",,,,,,,,2,1,,,1,1,1,4,1,1,2,,1,,,1,
902,vt4_Äänekoski,2020/03/01,1,"13 Linja-autot",1,2,,,1,,2,,1,1,,,2,,2,,3,3,1,1,2,1,,1
902,vt4_Äänekoski,2020/03/01,1,"14 KAPP",,1,,,2,,,,1,6,2,1,2,5,4,2,7,6,5,5,3,7,5,1
902,vt4_Äänekoski,2020/03/01,1,"15 KATP",1,1,2,1,3,3,,2,4,7,4,13,1,4,5,3,5,10,12,4,11,8,7,3
902,vt4_Äänekoski,2020/03/01,1,"16 HA + PK",,,,,,1,3,3,3,3,8,5,5,2,2,3,2,5,3,1,3,3,,
902,vt4_Äänekoski,2020/03/01,1,"17 HA + AV",,,,,,,,2,,,1,,3,3,,2,1,,,,,,,
902,vt4_Äänekoski,2020/03/01,2,"11 HA-PA",26,21,24,17,15,13,11,13,33,79,129,186,230,311,384,465,373,337,243,191,136,88,66,24
902,vt4_Äänekoski,2020/03/01,2,"12 KAIP",2,,,,,,,,,,1,4,2,4,,3,,2,1,2,,2,,1
902,vt4_Äänekoski,2020/03/01,2,"13 Linja-autot",1,3,1,1,,,,,1,,1,1,,1,,1,1,,2,1,,3,2,2
902,vt4_Äänekoski,2020/03/01,2,"14 KAPP",3,1,,1,1,,,,,1,1,1,1,2,3,2,4,1,1,1,2,4,,
902,vt4_Äänekoski,2020/03/01,2,"15 KATP",,1,2,3,3,4,3,6,1,5,6,4,4,12,13,19,12,14,9,11,4,6,4,
902,vt4_Äänekoski,2020/03/01,2,"16 HA + PK",1,3,,,,2,,,2,2,7,5,12,14,17,18,17,17,8,12,8,1,4,
902,vt4_Äänekoski,2020/03/01,2,"17 HA + AV",,,,,1,,,,,,1,1,1,2,2,1,1,3,,,1,1,,
902,vt4_Äänekoski,2020/03/02,1,"11 HA-PA",16,8,11,6,15,29,51,73,80,104,99,121,157,156,167,189,176,115,71,51,51,30,22,13
902,vt4_Äänekoski,2020/03/02,1,"12 KAIP",3,1,,,1,,4,5,4,4,,4,1,6,3,2,4,3,,,1,2,1,2
902,vt4_Äänekoski,2020/03/02,1,"13 Linja-autot",,1,,,1,,1,1,1,3,2,,2,,1,4,3,,1,2,1,1,,
902,vt4_Äänekoski,2020/03/02,1,"14 KAPP",1,1,1,3,,1,3,2,2,3,5,2,6,5,8,2,10,9,9,8,1,3,1,
902,vt4_Äänekoski,2020/03/02,1,"15 KATP",1,5,4,4,4,8,5,14,7,19,7,17,18,24,17,20,18,25,20,17,20,27,18,18
902,vt4_Äänekoski,2020/03/02,1,"16 HA + PK",1,,,,,1,,,1,2,2,4,7,5,5,1,3,,3,2,,1,,1
902,vt4_Äänekoski,2020/03/02,1,"17 HA + AV",,,,,,,,1,,,,2,3,2,,,,1,,,,,1,
902,vt4_Äänekoski,2020/03/02,2,"11 HA-PA",15,17,2,12,23,73,97,139,114,119,134,114,137,143,138,157,134,114,90,55,49,41,21,22
902,vt4_Äänekoski,2020/03/02,2,"12 KAIP",,2,4,,1,1,,4,8,4,4,3,4,4,2,3,1,6,2,1,,,1,1
