"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1021,vt3_Koskue,2020/05/01,1,"11 HA-PA",10,5,3,4,3,5,8,8,10,24,59,86,100,111,107,113,99,79,87,60,47,50,22,17
1021,vt3_Koskue,2020/05/01,1,"12 KAIP",1,1,,2,,,,1,,1,1,2,,3,2,4,1,,,1,1,1,2,1
1021,vt3_Koskue,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,1,1,1
1021,vt3_Koskue,2020/05/01,1,"14 KAPP",1,1,1,,,,1,1,3,,1,1,2,1,1,,1,2,,,1,,1,1
1021,vt3_Koskue,2020/05/01,1,"15 KATP",12,14,12,2,1,2,2,3,1,4,2,3,3,3,4,5,4,8,3,3,4,3,4,2
1021,vt3_Koskue,2020/05/01,1,"16 HA + PK",1,,,,,,1,,1,4,3,3,5,3,4,6,7,4,5,8,1,2,,1
1021,vt3_Koskue,2020/05/01,1,"17 HA + AV",,,1,,,1,,,,,1,1,,2,,,2,,,1,,1,,
1021,vt3_Koskue,2020/05/01,2,"11 HA-PA",6,6,,5,2,4,10,18,37,74,82,99,99,96,80,82,97,69,53,46,28,23,19,6
1021,vt3_Koskue,2020/05/01,2,"12 KAIP",,1,,,,,,,,,4,,,5,,,,2,1,,,1,1,1
1021,vt3_Koskue,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,2,1,2,,,,,1,,,,,2,
1021,vt3_Koskue,2020/05/01,2,"14 KAPP",1,1,,1,,,,1,,,1,1,1,,2,1,1,2,1,2,1,,,
1021,vt3_Koskue,2020/05/01,2,"15 KATP",3,4,8,4,7,1,3,2,7,9,9,6,4,4,2,2,1,4,4,,3,3,4,2
1021,vt3_Koskue,2020/05/01,2,"16 HA + PK",,,,,1,1,1,1,4,8,1,6,6,4,8,5,7,1,1,4,,,,
1021,vt3_Koskue,2020/05/01,2,"17 HA + AV",,,,,1,,,1,,,2,2,,1,2,1,,1,1,1,,,,
1021,vt3_Koskue,2020/05/02,1,"11 HA-PA",5,7,8,4,5,3,12,16,41,36,77,92,91,74,100,80,103,100,103,91,48,40,13,13
1021,vt3_Koskue,2020/05/02,1,"12 KAIP",2,,,,,,,1,,2,2,3,2,2,1,,5,2,,3,,2,,1
1021,vt3_Koskue,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
1021,vt3_Koskue,2020/05/02,1,"14 KAPP",,,,,,,,,1,,,1,,,3,,1,1,4,,,1,,
1021,vt3_Koskue,2020/05/02,1,"15 KATP",7,2,1,,,,1,2,3,1,2,1,3,5,2,6,5,5,9,2,3,2,1,1
1021,vt3_Koskue,2020/05/02,1,"16 HA + PK",1,,,,,,,2,,2,2,6,5,7,10,10,4,13,9,7,3,2,2,3
1021,vt3_Koskue,2020/05/02,1,"17 HA + AV",,,,,,,1,1,1,,,,2,1,1,,2,1,1,2,,1,,
1021,vt3_Koskue,2020/05/02,2,"11 HA-PA",9,3,1,1,1,5,10,25,51,90,95,115,107,107,130,98,83,91,56,66,53,26,11,4
1021,vt3_Koskue,2020/05/02,2,"12 KAIP",,1,,,,,,,1,6,8,4,2,2,2,,2,,1,2,,,,
1021,vt3_Koskue,2020/05/02,2,"13 Linja-autot",,,1,,,,,,,,2,,,,,,,,,,,,,1
