"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1022,vt8_Närpiö,2020/05/01,1,"11 HA-PA",10,6,5,2,1,6,6,5,10,19,35,49,40,42,48,44,40,31,32,26,23,17,8,9
1022,vt8_Närpiö,2020/05/01,1,"12 KAIP",,,1,,,,,,3,2,,2,3,1,1,2,3,,1,,,,1,
1022,vt8_Närpiö,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,2,,,,2,,,,,,,,
1022,vt8_Närpiö,2020/05/01,1,"14 KAPP",,,,1,,,,,,1,2,3,1,,,,1,,,,,1,,1
1022,vt8_Närpiö,2020/05/01,1,"15 KATP",2,,1,,,1,,3,1,2,2,3,1,2,2,2,3,1,3,1,,1,2,1
1022,vt8_Närpiö,2020/05/01,1,"16 HA + PK",,,,,,1,,1,1,,5,3,2,2,1,1,5,2,4,2,3,,,1
1022,vt8_Närpiö,2020/05/01,1,"17 HA + AV",,,,,,,4,,,,,,,1,,,,,,,,,,
1022,vt8_Närpiö,2020/05/01,2,"11 HA-PA",6,5,3,3,1,3,8,10,20,15,36,42,39,35,35,56,43,39,37,25,24,13,5,4
1022,vt8_Närpiö,2020/05/01,2,"12 KAIP",,,,,,3,,,5,1,1,,1,4,,2,2,1,,,,1,,
1022,vt8_Närpiö,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1022,vt8_Närpiö,2020/05/01,2,"14 KAPP",1,,1,,,,,,1,,,,1,1,1,1,,,3,,,,,
1022,vt8_Närpiö,2020/05/01,2,"15 KATP",2,,,,,2,,5,3,2,4,,2,2,3,2,2,3,2,,2,,,
1022,vt8_Närpiö,2020/05/01,2,"16 HA + PK",,,,2,,,1,1,1,2,2,6,4,5,3,2,2,3,3,1,1,,,1
1022,vt8_Närpiö,2020/05/01,2,"17 HA + AV",1,,,,,,,1,,,,,,1,,,1,,,,,,,
1022,vt8_Närpiö,2020/05/02,1,"11 HA-PA",1,3,4,2,2,9,4,7,19,27,47,66,54,53,53,43,41,35,47,23,30,20,11,14
1022,vt8_Närpiö,2020/05/02,1,"12 KAIP",,,,1,1,,,1,1,1,2,1,1,1,2,2,1,1,2,,,,,
1022,vt8_Närpiö,2020/05/02,1,"13 Linja-autot",,,,,,,,,,1,,,1,,,1,1,,,,,,,
1022,vt8_Närpiö,2020/05/02,1,"14 KAPP",,,,,,,,,,,3,1,1,,,1,,1,,,,,,
1022,vt8_Närpiö,2020/05/02,1,"15 KATP",,,,,1,1,1,1,,3,1,2,3,1,,1,2,1,6,,1,,2,
1022,vt8_Närpiö,2020/05/02,1,"16 HA + PK",,,,,,,,,1,,3,1,4,1,6,3,4,2,4,4,2,,1,
1022,vt8_Närpiö,2020/05/02,1,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,,,
1022,vt8_Närpiö,2020/05/02,2,"11 HA-PA",8,3,1,2,1,2,12,13,16,26,47,55,68,56,59,62,45,43,33,47,23,22,13,5
1022,vt8_Närpiö,2020/05/02,2,"12 KAIP",,,,,,,2,1,,2,3,,1,1,3,1,,1,2,,1,,,
1022,vt8_Närpiö,2020/05/02,2,"14 KAPP",1,,,,,,,,,2,,,2,,,2,,2,1,,,,,
1022,vt8_Närpiö,2020/05/02,2,"15 KATP",,,1,,,,,1,1,4,1,2,1,5,6,3,,,1,2,4,,1,1
1022,vt8_Närpiö,2020/05/02,2,"16 HA + PK",,,,,,,,,3,1,1,5,6,4,3,,5,4,,1,,1,,1
1022,vt8_Närpiö,2020/05/02,2,"17 HA + AV",,,,,,,,,,2,,,,,,,1,,,,,1,,
1022,vt8_Närpiö,2020/05/03,1,"11 HA-PA",5,,1,3,,5,,3,8,17,26,33,52,54,55,70,90,60,66,68,43,34,14,11
1022,vt8_Närpiö,2020/05/03,1,"12 KAIP",,,,,,,,,1,,2,1,,,,4,1,1,,1,3,1,,
1022,vt8_Närpiö,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,1,1,,,1,,1,,1,,,,
1022,vt8_Närpiö,2020/05/03,1,"14 KAPP",,,,,,,,,,,1,1,1,2,1,,1,,1,3,2,2,,
