"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1024,kt66_Alavus_Sampsalampi,2020/05/01,1,"11 HA-PA",2,1,6,3,2,,2,6,16,35,46,64,85,78,88,71,57,44,39,25,23,14,10,7
1024,kt66_Alavus_Sampsalampi,2020/05/01,1,"12 KAIP",,,,,,,1,1,1,,1,,,3,,,1,,1,1,2,,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,1,"15 KATP",2,2,4,2,1,,2,,,2,4,1,1,3,2,2,2,2,2,1,,,,1
1024,kt66_Alavus_Sampsalampi,2020/05/01,1,"16 HA + PK",,,,,,,,1,,2,3,3,4,2,8,3,3,4,1,2,2,1,1,
1024,kt66_Alavus_Sampsalampi,2020/05/01,1,"17 HA + AV",,,,,,,,,,,1,1,,3,1,1,2,1,1,,1,1,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"11 HA-PA",1,2,,4,,2,6,12,20,28,40,54,52,54,53,58,62,49,36,40,21,19,4,9
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"12 KAIP",,1,1,,,,,,1,1,2,1,1,1,,,,,,1,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"13 Linja-autot",,,,,,,1,,1,,,,,1,,,,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"14 KAPP",,,,,,,,,,,1,,1,,,,1,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"15 KATP",1,,,,,,3,1,,,3,,3,2,,1,1,,,1,1,,,
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"16 HA + PK",,,,,,,,1,1,4,3,1,2,,2,4,1,,1,4,2,,,1
1024,kt66_Alavus_Sampsalampi,2020/05/01,2,"17 HA + AV",,,,,,,,,,1,,2,,,2,1,1,,2,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,1,"11 HA-PA",8,1,,5,2,1,3,6,20,42,43,60,61,70,65,55,57,58,30,34,18,20,9,3
1024,kt66_Alavus_Sampsalampi,2020/05/02,1,"12 KAIP",,,,,,,,,,,,,1,,,1,1,,,,,1,1,
1024,kt66_Alavus_Sampsalampi,2020/05/02,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,,1,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,1,"15 KATP",,1,2,,2,,,,,,3,,,,2,2,3,1,1,,,,,1
1024,kt66_Alavus_Sampsalampi,2020/05/02,1,"16 HA + PK",,,,,,,,,1,3,1,1,4,3,3,2,5,3,1,3,2,3,,1
1024,kt66_Alavus_Sampsalampi,2020/05/02,1,"17 HA + AV",,,,,,,,,,,1,,1,1,,,1,,1,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"11 HA-PA",4,,1,,,1,7,10,18,22,51,72,60,54,66,71,66,65,49,40,23,17,6,6
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"12 KAIP",,,,,,,,1,,1,,,1,2,,2,1,,1,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"13 Linja-autot",,1,,,,,1,,,,,,,1,1,,,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"14 KAPP",,,,1,,,,,,,,,,,,,,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"15 KATP",,,,,,1,,1,,1,1,,1,1,1,,1,,1,2,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"16 HA + PK",,,,,,,,3,2,3,6,3,5,3,4,4,3,1,3,3,1,1,,
1024,kt66_Alavus_Sampsalampi,2020/05/02,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,1,2,1,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"11 HA-PA",6,,2,2,,1,1,4,13,23,30,63,61,67,81,79,79,73,63,48,35,23,12,3
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"12 KAIP",,,,,,,,,1,2,1,1,3,,,1,1,2,1,,,,,1
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,1,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"14 KAPP",,,,,,,,,,,,1,,,,,2,,2,,,,1,
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"15 KATP",,,,,,,,,1,,1,2,1,1,1,,,3,2,1,2,3,,2
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"16 HA + PK",,,,,,,,,,1,1,3,3,7,4,,3,5,1,3,4,2,2,2
1024,kt66_Alavus_Sampsalampi,2020/05/03,1,"17 HA + AV",,,,,,,,,,,,,,,1,3,1,2,1,,,,,1
1024,kt66_Alavus_Sampsalampi,2020/05/03,2,"11 HA-PA",2,,2,1,1,2,7,3,15,29,50,62,82,111,117,149,113,113,71,67,41,20,8,5
1024,kt66_Alavus_Sampsalampi,2020/05/03,2,"12 KAIP",,,,,,,,,,,,2,3,2,1,2,,1,1,2,3,,,
1024,kt66_Alavus_Sampsalampi,2020/05/03,2,"14 KAPP",,,,,,,,,,2,,1,,,1,,1,,,1,,1,,
1024,kt66_Alavus_Sampsalampi,2020/05/03,2,"15 KATP",,,,,,1,,1,,1,2,1,2,4,4,2,,,5,1,3,1,,
1024,kt66_Alavus_Sampsalampi,2020/05/03,2,"16 HA + PK",,,,,,,,,1,2,4,4,5,6,4,8,1,5,4,4,1,,,
1024,kt66_Alavus_Sampsalampi,2020/05/03,2,"17 HA + AV",,,,,,,,,,1,,,,,,2,,,,,,2,1,
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"11 HA-PA",4,,,1,2,9,23,31,33,32,32,44,39,37,48,73,64,51,32,30,25,19,9,
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"12 KAIP",,,,,,2,2,1,,1,,1,,,3,4,7,5,3,2,,,,1
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"13 Linja-autot",,,,,,,,1,,,,,1,,,,1,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"14 KAPP",,,,,,1,1,1,1,,1,1,,1,,2,3,,3,,1,,3,
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"15 KATP",,,1,1,,,1,3,3,2,6,5,10,7,8,9,9,7,3,1,6,3,1,2
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"16 HA + PK",,,,,,1,,1,3,2,1,3,2,4,2,1,2,3,6,,1,1,,
1024,kt66_Alavus_Sampsalampi,2020/05/04,1,"17 HA + AV",,,,,,2,,1,1,1,,,,1,2,1,1,2,1,1,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"11 HA-PA",1,,2,3,9,11,32,33,35,25,28,42,44,49,39,8,11,26,12,12,17,20,10,2
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"12 KAIP",,,1,,,1,4,1,,,2,3,1,1,,,,1,1,,1,,1,
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"13 Linja-autot",,,,,1,,,,1,,,,,,,,,,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"14 KAPP",,,,,,1,,4,1,1,1,,5,3,2,,,1,1,,1,,,
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"15 KATP",,,,1,1,,7,2,3,5,4,3,8,3,7,,1,,,1,6,4,2,1
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"16 HA + PK",,,,,,,2,3,1,1,4,6,3,3,2,,,,2,,1,1,,
1024,kt66_Alavus_Sampsalampi,2020/05/04,2,"17 HA + AV",,,,,,1,1,,1,3,1,1,1,1,2,,,,,,,,1,
1024,kt66_Alavus_Sampsalampi,2020/05/05,1,"11 HA-PA",2,1,1,,1,7,19,29,32,32,33,34,51,37,43,57,55,37,32,29,17,24,4,8
1024,kt66_Alavus_Sampsalampi,2020/05/05,1,"12 KAIP",2,,,,,,,,1,2,,,2,,,2,2,,2,1,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/05,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,1,,,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/05,1,"14 KAPP",,,,,,,,,,,1,1,,1,1,,,1,,2,,,,
1024,kt66_Alavus_Sampsalampi,2020/05/05,1,"15 KATP",1,3,3,1,1,,1,3,3,4,1,6,3,6,4,7,8,9,2,8,1,3,4,5
1024,kt66_Alavus_Sampsalampi,2020/05/05,1,"16 HA + PK",2,,,,,,,1,2,,,4,4,1,2,4,1,2,4,,2,,,
