"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1032,vt18_Nurmo_Munakka,2020/05/01,1,"11 HA-PA",29,13,11,7,7,12,41,23,32,70,122,126,169,188,217,213,209,218,162,149,112,96,49,33
1032,vt18_Nurmo_Munakka,2020/05/01,1,"12 KAIP",1,,,1,1,,1,3,,1,,1,4,5,1,1,3,1,,,,2,,
1032,vt18_Nurmo_Munakka,2020/05/01,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,1,,,,,,
1032,vt18_Nurmo_Munakka,2020/05/01,1,"14 KAPP",,,,,1,,,1,1,,2,1,1,1,1,1,,1,,1,,,,
1032,vt18_Nurmo_Munakka,2020/05/01,1,"15 KATP",,,1,,,5,1,3,3,5,1,3,3,6,3,1,1,,1,,1,1,,
1032,vt18_Nurmo_Munakka,2020/05/01,1,"16 HA + PK",,,,,,1,,2,2,3,4,8,2,7,3,5,9,5,4,6,6,2,,
1032,vt18_Nurmo_Munakka,2020/05/01,1,"17 HA + AV",,,,,,,,,1,1,,,2,2,2,5,4,2,3,2,3,2,1,
1032,vt18_Nurmo_Munakka,2020/05/01,2,"11 HA-PA",33,22,19,15,8,11,29,35,57,62,98,169,195,230,211,229,201,175,154,143,86,71,65,35
1032,vt18_Nurmo_Munakka,2020/05/01,2,"12 KAIP",2,1,,,1,,,,,,3,1,2,3,2,3,2,,1,1,,1,1,
1032,vt18_Nurmo_Munakka,2020/05/01,2,"13 Linja-autot",,1,,,,,,,,1,,2,,,,,2,,,1,,,2,
1032,vt18_Nurmo_Munakka,2020/05/01,2,"14 KAPP",,,,,,,,,1,1,1,,2,,,5,1,2,,,,,,
1032,vt18_Nurmo_Munakka,2020/05/01,2,"15 KATP",1,2,1,5,1,1,1,1,3,,3,4,4,2,6,2,1,,1,3,,2,3,2
1032,vt18_Nurmo_Munakka,2020/05/01,2,"16 HA + PK",,,1,,,,1,1,3,2,9,8,7,5,9,4,4,6,4,1,,2,1,
1032,vt18_Nurmo_Munakka,2020/05/01,2,"17 HA + AV",,,,,,,,1,2,,,2,1,4,1,1,2,1,4,3,3,,2,
1032,vt18_Nurmo_Munakka,2020/05/02,1,"11 HA-PA",31,16,21,11,10,20,38,36,71,124,187,205,251,235,223,207,165,171,151,112,109,90,64,28
1032,vt18_Nurmo_Munakka,2020/05/02,1,"12 KAIP",,,,,,,1,2,3,2,5,4,7,,1,1,,2,,1,,2,1,
1032,vt18_Nurmo_Munakka,2020/05/02,1,"13 Linja-autot",1,,,,,1,,,,1,,,,1,,1,,,,,,,,
1032,vt18_Nurmo_Munakka,2020/05/02,1,"14 KAPP",1,,,,,,,,,1,2,,,,1,,,,,1,,,,
1032,vt18_Nurmo_Munakka,2020/05/02,1,"15 KATP",1,,,,2,4,1,1,,1,3,3,,1,5,,1,2,,,1,,,
1032,vt18_Nurmo_Munakka,2020/05/02,1,"16 HA + PK",,,,,,,,1,3,4,17,12,15,12,5,4,14,7,6,2,2,2,,1
1032,vt18_Nurmo_Munakka,2020/05/02,1,"17 HA + AV",,,,,,,,,,2,1,,,4,1,1,2,1,,,1,,,
