"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1039,kt68_Ähtäri,2020/05/01,1,"11 HA-PA",3,3,3,1,1,6,9,7,20,29,44,46,51,77,34,70,56,67,29,50,26,11,14,5
1039,kt68_Ähtäri,2020/05/01,1,"12 KAIP",,,,,1,,,,,,,,,1,1,1,,,1,1,1,,,
1039,kt68_Ähtäri,2020/05/01,1,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,,,,
1039,kt68_Ähtäri,2020/05/01,1,"15 KATP",,,,1,,,,,,,,,2,1,,,,,,,,,,
1039,kt68_Ähtäri,2020/05/01,1,"16 HA + PK",1,,,,,,,,,2,1,4,4,6,5,2,1,1,3,1,,,,
1039,kt68_Ähtäri,2020/05/01,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,1,,,,,
1039,kt68_Ähtäri,2020/05/01,2,"11 HA-PA",4,4,1,2,,3,4,12,23,21,34,52,62,72,62,59,50,43,39,41,18,20,13,6
1039,kt68_Ähtäri,2020/05/01,2,"12 KAIP",,,,,1,,,1,,1,,,,,,,,1,,1,,,,
1039,kt68_Ähtäri,2020/05/01,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,,
1039,kt68_Ähtäri,2020/05/01,2,"15 KATP",,1,,,,,,,1,,,,,1,,,,,,1,,,,1
1039,kt68_Ähtäri,2020/05/01,2,"16 HA + PK",,,,,,1,,2,3,3,6,4,,1,1,,4,1,2,,1,,,
1039,kt68_Ähtäri,2020/05/01,2,"17 HA + AV",,,1,,,,,,,,,,,,,,,,,,,,,
1039,kt68_Ähtäri,2020/05/02,1,"11 HA-PA",10,6,3,1,1,3,15,13,28,52,52,60,51,53,52,57,54,30,34,33,22,12,18,4
1039,kt68_Ähtäri,2020/05/02,1,"12 KAIP",,,,,,,,,,,,,1,,3,,,,1,,,,,
1039,kt68_Ähtäri,2020/05/02,1,"14 KAPP",,,,,,,,,1,,2,,,,,,,,,,,1,,
1039,kt68_Ähtäri,2020/05/02,1,"15 KATP",,,,,,,,,,,2,,,,1,,,1,,,,,,
1039,kt68_Ähtäri,2020/05/02,1,"16 HA + PK",,,,,,,,,1,4,2,3,4,3,1,5,7,2,2,1,1,,,
1039,kt68_Ähtäri,2020/05/02,2,"11 HA-PA",7,5,,,1,,5,11,22,44,58,52,47,63,73,62,42,38,26,39,32,14,5,4
1039,kt68_Ähtäri,2020/05/02,2,"12 KAIP",,,,,,,,,,,1,,1,,,,,3,,1,,,,
1039,kt68_Ähtäri,2020/05/02,2,"14 KAPP",,,,,,,,1,1,,1,1,,,,,,,,,,,,
1039,kt68_Ähtäri,2020/05/02,2,"15 KATP",,,,,,,,1,,,,,,,,,,,,1,,,,1
1039,kt68_Ähtäri,2020/05/02,2,"16 HA + PK",,,,,,,,1,1,3,5,4,2,3,5,5,2,1,,,,,,
1039,kt68_Ähtäri,2020/05/02,2,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,,
1039,kt68_Ähtäri,2020/05/03,1,"11 HA-PA",7,,,2,1,2,5,7,15,19,33,50,67,57,64,60,57,63,44,47,27,11,7,5
1039,kt68_Ähtäri,2020/05/03,1,"12 KAIP",,,,,,,,,,,2,,,1,,,,,,2,,,,1
1039,kt68_Ähtäri,2020/05/03,1,"14 KAPP",,,,,,,,,,,,,,,,1,1,,2,,1,1,,
