"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"11 HA-PA",37,29,13,11,8,5,20,41,65,121,202,268,277,259,263,225,222,182,164,126,93,80,57,39
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"12 KAIP",,,,,,,1,1,1,1,1,5,4,3,2,1,,1,1,,1,2,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"13 Linja-autot",,,,,,,1,,,,,,,,,1,,,1,,,,1,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"14 KAPP",,,,,,,,,,1,1,,,,1,,,,,,,,,1
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"15 KATP",5,1,2,1,1,1,,2,4,4,5,3,1,2,1,1,1,2,1,1,2,,1,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"16 HA + PK",1,,,,,,1,,6,14,20,18,13,23,9,6,7,5,7,4,3,,2,1
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,1,"17 HA + AV",,,,,,,,3,,1,,,1,1,1,,2,,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"11 HA-PA",25,17,4,11,10,5,32,20,35,49,112,143,186,211,204,242,207,203,203,163,118,88,49,50
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"12 KAIP",,1,,,1,1,,1,,,1,5,1,2,2,1,4,4,1,2,1,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"13 Linja-autot",,,,,,,1,,,,,3,,,1,,,1,,,1,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"14 KAPP",,,,,,,,,,,1,,,,,,,1,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"15 KATP",,,,,,,6,2,1,3,4,4,3,5,4,,4,4,4,2,3,2,1,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"16 HA + PK",1,1,1,,,1,2,2,3,7,7,11,9,13,5,11,9,14,6,6,2,3,2,
1066,vt8_Mustasaari_Lintuvuori,2020/05/01,2,"17 HA + AV",,,,,,,,,,,1,,1,,,2,2,,,1,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,1,"11 HA-PA",23,23,14,11,7,6,13,27,46,89,122,218,263,274,295,256,272,222,158,113,103,80,58,30
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,1,"12 KAIP",1,1,,,1,,,,3,2,2,2,3,1,7,6,1,3,,,1,1,2,2
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,1,"14 KAPP",,,,,,,,,,,,,1,,1,,,1,,,,,,2
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,1,"15 KATP",,,,,,,1,1,1,1,,2,4,1,4,2,1,4,,2,2,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,1,"16 HA + PK",,,,,,,1,,4,5,11,21,19,24,13,14,13,8,10,5,3,1,,3
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,1,"17 HA + AV",,,,,,,,1,,,,,,,,,1,1,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"11 HA-PA",28,15,16,14,5,7,43,34,57,112,179,204,248,219,223,207,199,201,185,169,129,105,63,43
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"12 KAIP",,,,,,,,1,,1,4,6,5,5,6,3,1,,1,,1,1,1,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"13 Linja-autot",,,,,,,,,1,,2,,2,1,,1,,,,1,1,1,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"14 KAPP",,,,,,,,,,,,,,,,,3,,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"15 KATP",,,,,,1,2,1,2,3,4,5,7,6,3,3,2,3,3,4,2,1,2,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"16 HA + PK",1,,,,,,,2,2,8,20,20,24,19,11,14,14,6,11,9,3,6,3,
1066,vt8_Mustasaari_Lintuvuori,2020/05/02,2,"17 HA + AV",,,,,,,,1,2,1,,1,,2,,3,,1,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/05/03,1,"11 HA-PA",30,20,24,16,5,11,12,32,32,92,143,189,263,251,247,240,233,213,195,150,100,77,31,11
1066,vt8_Mustasaari_Lintuvuori,2020/05/03,1,"12 KAIP",,1,,,,,,,1,1,1,3,2,,3,,2,,2,1,1,3,1,
1066,vt8_Mustasaari_Lintuvuori,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
