"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
108,vt3_Karhunkorpi,2020/05/01,1,"11 HA-PA",70,31,28,9,14,27,63,121,214,420,595,704,688,622,518,449,361,379,270,247,167,121,102,56
108,vt3_Karhunkorpi,2020/05/01,1,"12 KAIP",1,3,2,,,,2,1,4,5,1,5,4,6,2,2,4,6,1,4,3,3,1,1
108,vt3_Karhunkorpi,2020/05/01,1,"13 Linja-autot",,1,,,,,,,1,2,,1,4,,2,,,1,2,1,,,,
108,vt3_Karhunkorpi,2020/05/01,1,"14 KAPP",1,1,1,,1,,1,,2,3,5,2,3,5,1,3,2,,1,1,1,1,2,
108,vt3_Karhunkorpi,2020/05/01,1,"15 KATP",8,,2,4,4,2,7,5,3,6,12,8,6,6,6,6,4,5,10,10,5,4,2,3
108,vt3_Karhunkorpi,2020/05/01,1,"16 HA + PK",1,,,,,,,1,14,12,18,22,12,12,5,8,13,6,7,7,4,,1,
108,vt3_Karhunkorpi,2020/05/01,1,"17 HA + AV",,,1,,,,1,2,1,1,,1,2,,,,1,3,1,,,,1,
108,vt3_Karhunkorpi,2020/05/01,2,"11 HA-PA",45,29,26,13,20,47,96,73,80,138,172,262,327,402,369,407,399,400,353,283,262,177,124,88
108,vt3_Karhunkorpi,2020/05/01,2,"12 KAIP",,2,1,1,1,,2,5,2,2,4,1,2,,5,2,4,3,5,4,,,,
108,vt3_Karhunkorpi,2020/05/01,2,"13 Linja-autot",,,,,,,,,,1,1,,2,,1,1,1,,,,1,,,
108,vt3_Karhunkorpi,2020/05/01,2,"14 KAPP",,1,,,1,2,9,11,7,5,5,3,6,6,5,3,1,,2,3,3,3,1,1
108,vt3_Karhunkorpi,2020/05/01,2,"15 KATP",7,5,14,5,2,3,2,2,1,2,4,1,5,6,7,2,5,5,2,5,2,3,7,1
108,vt3_Karhunkorpi,2020/05/01,2,"16 HA + PK",,,,1,,,,,4,5,4,9,7,6,7,10,5,6,3,7,5,1,3,
108,vt3_Karhunkorpi,2020/05/01,2,"17 HA + AV",,,,,,,,,,1,1,,,,1,,,1,,,,,,1
108,vt3_Karhunkorpi,2020/05/02,1,"11 HA-PA",44,24,24,11,13,13,57,86,193,324,464,571,506,493,474,485,421,339,260,200,158,121,82,63
108,vt3_Karhunkorpi,2020/05/02,1,"12 KAIP",,,2,2,2,4,2,5,6,6,5,6,2,8,4,5,9,3,4,,2,1,3,1
108,vt3_Karhunkorpi,2020/05/02,1,"13 Linja-autot",1,,,,,,,1,2,1,2,,1,1,2,,,1,1,,1,,,
108,vt3_Karhunkorpi,2020/05/02,1,"14 KAPP",,,,2,1,2,3,,1,4,4,3,2,1,3,2,4,2,,,,,1,2
108,vt3_Karhunkorpi,2020/05/02,1,"15 KATP",3,3,3,2,,2,3,3,6,2,4,10,15,3,3,9,7,8,2,3,1,1,1,2
108,vt3_Karhunkorpi,2020/05/02,1,"16 HA + PK",1,1,1,1,1,3,2,2,6,11,10,18,17,16,17,11,6,15,10,4,7,1,1,
108,vt3_Karhunkorpi,2020/05/02,1,"17 HA + AV",,,,,,,,1,2,1,2,1,,,2,1,,1,,,,1,2,
108,vt3_Karhunkorpi,2020/05/02,2,"11 HA-PA",53,36,15,22,17,63,72,76,108,174,260,373,431,524,523,564,587,581,470,365,276,187,140,79
108,vt3_Karhunkorpi,2020/05/02,2,"12 KAIP",1,,3,2,2,1,2,2,2,8,6,4,7,5,3,1,5,1,2,1,2,3,2,2
108,vt3_Karhunkorpi,2020/05/02,2,"13 Linja-autot",,,,,,,,,,1,,,1,,,1,1,,,,,,,
108,vt3_Karhunkorpi,2020/05/02,2,"14 KAPP",2,1,,,1,1,1,,2,,2,8,1,2,2,2,1,,,,1,2,,
108,vt3_Karhunkorpi,2020/05/02,2,"15 KATP",5,,1,1,2,4,2,5,6,3,5,5,4,5,2,,,1,2,3,1,3,1,1
108,vt3_Karhunkorpi,2020/05/02,2,"16 HA + PK",,,,,,,,1,8,10,4,11,10,17,15,15,9,9,9,6,6,7,7,2
108,vt3_Karhunkorpi,2020/05/02,2,"17 HA + AV",,,,,,,,,1,,1,,,,,,1,,2,1,,,,
108,vt3_Karhunkorpi,2020/05/03,1,"11 HA-PA",38,25,18,16,17,12,35,82,165,254,383,472,487,496,449,450,437,453,360,302,202,136,77,43
108,vt3_Karhunkorpi,2020/05/03,1,"12 KAIP",,,2,,,,,3,5,2,5,1,5,9,4,7,3,5,4,2,,1,1,5
108,vt3_Karhunkorpi,2020/05/03,1,"13 Linja-autot",,1,,,,,,,,1,3,,1,,,3,,1,1,1,,1,1,
108,vt3_Karhunkorpi,2020/05/03,1,"14 KAPP",,,,,,,,,1,,5,6,7,6,4,10,19,7,1,10,12,6,14,13
108,vt3_Karhunkorpi,2020/05/03,1,"15 KATP",,,,,,,,,3,7,7,4,5,4,7,6,13,9,15,10,10,6,7,9
108,vt3_Karhunkorpi,2020/05/03,1,"16 HA + PK",,,,,,,2,5,1,7,6,12,13,10,14,7,13,21,12,9,6,5,3,2
108,vt3_Karhunkorpi,2020/05/03,1,"17 HA + AV",,,,,,1,,,,1,2,,2,1,1,2,1,,,1,1,,1,1
108,vt3_Karhunkorpi,2020/05/03,2,"11 HA-PA",36,30,23,22,11,38,89,49,79,144,245,418,592,791,919,1076,1210,1285,1140,931,666,424,213,107
108,vt3_Karhunkorpi,2020/05/03,2,"12 KAIP",,1,1,,,,,1,3,,3,5,2,2,8,8,3,1,2,10,9,3,7,1
108,vt3_Karhunkorpi,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,1,1,,1,,,,
108,vt3_Karhunkorpi,2020/05/03,2,"14 KAPP",,,,,,1,,,1,1,,3,3,3,3,2,1,2,4,8,6,3,1,3
108,vt3_Karhunkorpi,2020/05/03,2,"15 KATP",2,2,,,,,,2,3,2,,8,6,5,4,5,5,8,4,12,16,12,7,7
108,vt3_Karhunkorpi,2020/05/03,2,"16 HA + PK",1,,,,,,,1,2,4,9,13,20,17,26,40,42,41,42,29,27,18,6,7
108,vt3_Karhunkorpi,2020/05/03,2,"17 HA + AV",,,,,,,1,1,,,,,1,,3,1,1,2,,1,1,2,1,
108,vt3_Karhunkorpi,2020/05/04,1,"11 HA-PA",28,16,22,17,27,90,291,565,428,382,367,398,418,500,676,1220,1083,646,451,289,199,127,86,61
108,vt3_Karhunkorpi,2020/05/04,1,"12 KAIP",,3,2,4,8,8,21,18,33,21,22,35,26,35,30,36,30,26,10,5,5,4,5,5
108,vt3_Karhunkorpi,2020/05/04,1,"13 Linja-autot",,,,,,,,1,2,1,2,3,2,,3,1,1,2,,,,2,1,1
108,vt3_Karhunkorpi,2020/05/04,1,"14 KAPP",,2,,5,8,5,15,26,36,45,50,46,34,35,28,24,42,21,17,23,19,9,19,8
108,vt3_Karhunkorpi,2020/05/04,1,"15 KATP",2,10,3,7,8,12,15,43,59,54,39,50,41,60,57,48,52,36,30,23,33,23,29,18
108,vt3_Karhunkorpi,2020/05/04,1,"16 HA + PK",,,1,,4,2,5,6,15,12,16,10,18,18,7,13,10,10,13,11,5,1,2,
108,vt3_Karhunkorpi,2020/05/04,1,"17 HA + AV",,,,,,1,3,5,3,3,,3,5,3,3,5,1,1,,2,1,,1,
108,vt3_Karhunkorpi,2020/05/04,2,"11 HA-PA",40,18,25,31,98,617,1381,880,621,421,371,352,397,419,463,585,615,538,378,325,294,201,121,52
108,vt3_Karhunkorpi,2020/05/04,2,"12 KAIP",3,,3,7,5,21,37,35,38,37,29,22,18,32,25,26,17,10,14,7,,6,5,2
108,vt3_Karhunkorpi,2020/05/04,2,"13 Linja-autot",,,,,,,,1,1,2,,1,3,1,1,,1,1,1,,,1,1,
108,vt3_Karhunkorpi,2020/05/04,2,"14 KAPP",3,3,,,1,7,17,16,16,28,32,30,32,39,39,35,38,30,19,21,19,7,8,
108,vt3_Karhunkorpi,2020/05/04,2,"15 KATP",5,9,7,5,5,26,53,33,50,45,41,52,36,43,36,51,24,20,21,15,21,14,13,8
108,vt3_Karhunkorpi,2020/05/04,2,"16 HA + PK",4,1,,1,1,6,8,9,6,13,12,8,11,12,5,10,9,11,8,11,6,4,4,2
108,vt3_Karhunkorpi,2020/05/04,2,"17 HA + AV",,,,,,2,3,4,4,2,,4,2,1,,2,2,,1,,,,,1
108,vt3_Karhunkorpi,2020/05/05,1,"11 HA-PA",25,22,11,12,28,87,305,569,416,407,404,419,432,488,703,1214,1113,656,439,307,268,157,92,61
108,vt3_Karhunkorpi,2020/05/05,1,"12 KAIP",,6,2,7,11,7,21,23,19,32,33,21,33,40,24,28,31,20,10,4,12,4,5,6
108,vt3_Karhunkorpi,2020/05/05,1,"13 Linja-autot",,1,,,,,,,2,1,5,2,3,2,,3,2,3,4,1,,1,2,
108,vt3_Karhunkorpi,2020/05/05,1,"14 KAPP",2,2,3,2,4,3,11,18,42,36,44,30,34,33,27,20,50,16,15,14,19,3,23,13
108,vt3_Karhunkorpi,2020/05/05,1,"15 KATP",11,15,13,7,8,8,20,46,39,46,54,45,48,49,50,62,59,42,29,24,38,19,37,13
108,vt3_Karhunkorpi,2020/05/05,1,"16 HA + PK",,1,,,1,3,3,6,16,16,12,13,11,10,16,18,16,16,8,7,5,2,3,
108,vt3_Karhunkorpi,2020/05/05,1,"17 HA + AV",,,,1,,5,1,1,,1,1,2,3,,4,2,5,4,3,1,1,2,,2
108,vt3_Karhunkorpi,2020/05/05,2,"11 HA-PA",32,20,14,33,77,555,1266,818,547,367,363,372,338,433,453,618,667,541,374,346,296,218,127,49
108,vt3_Karhunkorpi,2020/05/05,2,"12 KAIP",2,1,6,6,8,23,32,44,24,22,30,27,21,17,36,19,16,20,14,10,4,4,7,2
108,vt3_Karhunkorpi,2020/05/05,2,"13 Linja-autot",,,,,,,,,1,3,2,,2,1,,,1,1,3,,,,1,1
108,vt3_Karhunkorpi,2020/05/05,2,"14 KAPP",3,1,,1,,9,25,18,25,34,31,30,43,47,42,36,47,30,20,25,20,12,10,4
108,vt3_Karhunkorpi,2020/05/05,2,"15 KATP",16,12,18,8,10,28,51,34,29,49,36,36,49,43,42,29,35,17,29,13,15,19,18,13
108,vt3_Karhunkorpi,2020/05/05,2,"16 HA + PK",1,1,,,1,2,8,7,7,10,8,9,12,6,7,11,10,10,6,11,8,5,1,2
108,vt3_Karhunkorpi,2020/05/05,2,"17 HA + AV",,,,,,,2,3,1,3,1,1,3,2,2,3,,2,,,2,,,1
108,vt3_Karhunkorpi,2020/05/06,1,"11 HA-PA",33,12,14,14,23,101,284,555,436,445,411,428,438,540,732,1318,1165,721,500,327,281,160,103,65
108,vt3_Karhunkorpi,2020/05/06,1,"12 KAIP",1,6,3,1,9,12,22,19,28,25,42,33,29,29,27,39,23,26,9,8,9,7,4,2
108,vt3_Karhunkorpi,2020/05/06,1,"13 Linja-autot",,,,,,,,2,3,1,5,1,6,,4,4,2,1,1,1,,1,,
108,vt3_Karhunkorpi,2020/05/06,1,"14 KAPP",3,2,2,3,5,8,8,17,49,36,34,44,39,30,34,34,48,18,21,18,16,7,15,16
108,vt3_Karhunkorpi,2020/05/06,1,"15 KATP",12,9,11,9,8,11,12,40,50,40,45,45,47,52,49,59,50,41,44,24,22,23,28,12
108,vt3_Karhunkorpi,2020/05/06,1,"16 HA + PK",,,,1,1,1,2,7,14,21,13,11,18,16,17,20,16,15,13,7,6,6,,
108,vt3_Karhunkorpi,2020/05/06,1,"17 HA + AV",,,,,1,,2,1,2,4,4,4,2,1,,8,1,6,1,1,1,2,2,
108,vt3_Karhunkorpi,2020/05/06,2,"11 HA-PA",40,17,18,21,88,527,1228,845,527,396,375,334,396,410,484,609,684,562,418,386,303,203,115,67
