"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
111,vt6_Liljendal,2020/05/01,1,"11 HA-PA",8,6,6,7,8,9,19,40,71,116,185,225,238,181,133,140,103,96,71,75,36,26,15,12
111,vt6_Liljendal,2020/05/01,1,"12 KAIP",1,,,,,1,,,,,1,2,,1,,2,2,,,1,,,,
111,vt6_Liljendal,2020/05/01,1,"14 KAPP",1,,1,,,1,,,1,5,1,3,,,2,1,,1,3,,,1,1,2
111,vt6_Liljendal,2020/05/01,1,"15 KATP",5,1,4,,4,2,2,,3,2,4,2,3,2,3,8,2,2,5,4,1,4,1,4
111,vt6_Liljendal,2020/05/01,1,"16 HA + PK",,,,,,1,,2,4,5,11,10,11,14,4,7,6,4,1,1,2,2,2,
111,vt6_Liljendal,2020/05/01,1,"17 HA + AV",,,,,,,,,,,1,1,,1,1,,,1,,1,,1,,
111,vt6_Liljendal,2020/05/01,2,"11 HA-PA",7,7,3,1,5,10,24,9,27,39,53,73,88,98,100,101,86,86,97,78,58,39,24,16
111,vt6_Liljendal,2020/05/01,2,"12 KAIP",1,,1,,,,,1,,1,1,,2,2,1,,,,1,,1,1,1,
111,vt6_Liljendal,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,1,,,,,,
111,vt6_Liljendal,2020/05/01,2,"14 KAPP",,,,,2,1,3,1,,,4,,2,,3,1,1,,1,1,,4,,
111,vt6_Liljendal,2020/05/01,2,"15 KATP",2,4,,3,,3,2,3,2,6,3,4,4,3,4,5,2,2,8,3,1,2,1,
111,vt6_Liljendal,2020/05/01,2,"16 HA + PK",,,,,,1,2,,1,2,4,2,2,2,5,,3,3,5,4,2,,2,
111,vt6_Liljendal,2020/05/01,2,"17 HA + AV",,,,,,,,,,,,2,1,,,,1,1,,,,1,,
111,vt6_Liljendal,2020/05/02,1,"11 HA-PA",8,8,8,1,2,5,16,38,48,102,163,179,192,138,125,110,98,82,71,74,29,26,20,16
111,vt6_Liljendal,2020/05/02,1,"12 KAIP",,,1,1,,,1,,2,1,1,1,,3,,1,2,,2,,,,,
111,vt6_Liljendal,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,1,,,,,
111,vt6_Liljendal,2020/05/02,1,"14 KAPP",,,,,,,,,1,3,,1,2,1,1,1,,,,1,1,1,1,
111,vt6_Liljendal,2020/05/02,1,"15 KATP",2,4,,4,3,3,4,1,4,6,6,5,2,1,4,5,4,4,4,1,,2,2,
111,vt6_Liljendal,2020/05/02,1,"16 HA + PK",,,,,,,1,1,3,10,10,14,6,10,5,1,4,4,1,8,1,1,,
111,vt6_Liljendal,2020/05/02,1,"17 HA + AV",,,,,,,,,,1,,,,,1,,,,,,,,,
111,vt6_Liljendal,2020/05/02,2,"11 HA-PA",6,8,7,4,2,11,28,18,38,68,76,117,136,163,133,162,160,157,159,126,98,48,40,21
111,vt6_Liljendal,2020/05/02,2,"12 KAIP",1,,,,,1,3,,,1,1,2,1,1,1,,,2,,,,,,
111,vt6_Liljendal,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,1,,,,,
111,vt6_Liljendal,2020/05/02,2,"14 KAPP",,,,,,,,,1,,,,2,1,,2,1,3,5,1,2,,2,
111,vt6_Liljendal,2020/05/02,2,"15 KATP",2,,1,3,2,6,2,5,6,4,5,4,5,7,5,1,1,4,3,5,1,1,,
111,vt6_Liljendal,2020/05/02,2,"16 HA + PK",1,,,,,,1,2,3,2,5,5,10,6,4,9,8,7,5,4,9,2,2,
111,vt6_Liljendal,2020/05/02,2,"17 HA + AV",,,,,,1,,,,,,1,,1,,,,,1,,1,,,
111,vt6_Liljendal,2020/05/03,1,"11 HA-PA",6,4,6,2,3,4,11,25,28,59,92,117,113,104,109,123,76,120,111,79,52,35,22,15
111,vt6_Liljendal,2020/05/03,1,"12 KAIP",,1,,,,1,,,,,,1,1,1,1,3,,,1,3,,1,,
111,vt6_Liljendal,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,1,,,,,
111,vt6_Liljendal,2020/05/03,1,"14 KAPP",1,1,,,,,1,1,,,2,,,1,,,3,4,2,1,1,2,2,4
111,vt6_Liljendal,2020/05/03,1,"15 KATP",,,,,1,,2,1,3,4,2,1,1,2,2,3,7,4,8,4,10,6,5,4
111,vt6_Liljendal,2020/05/03,1,"16 HA + PK",,,,,,,,1,,5,2,6,6,6,4,3,3,4,5,3,1,2,,
111,vt6_Liljendal,2020/05/03,1,"17 HA + AV",,,,,,,,,,,1,,,,,1,,,,,,,,
111,vt6_Liljendal,2020/05/03,2,"11 HA-PA",15,7,5,,5,15,14,13,20,46,115,169,261,332,395,421,416,432,390,273,174,101,41,11
111,vt6_Liljendal,2020/05/03,2,"12 KAIP",,,,,,,,1,1,,1,1,2,2,1,3,,1,2,2,2,1,,2
111,vt6_Liljendal,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,1,,,,
111,vt6_Liljendal,2020/05/03,2,"14 KAPP",,,,,,,,,,1,1,1,2,,3,1,4,2,3,3,2,1,1,
111,vt6_Liljendal,2020/05/03,2,"15 KATP",,,,,,,2,2,1,6,2,3,5,5,1,2,3,8,11,10,4,2,2,2
111,vt6_Liljendal,2020/05/03,2,"16 HA + PK",1,,,,,1,1,,2,4,7,7,13,25,19,36,20,21,16,19,13,3,4,
111,vt6_Liljendal,2020/05/03,2,"17 HA + AV",,,,,,,,,,1,,,1,,1,5,1,1,1,1,1,,,
111,vt6_Liljendal,2020/05/04,1,"11 HA-PA",7,5,2,6,3,14,61,78,75,73,118,109,101,112,105,167,194,116,95,74,45,28,26,9
