"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1235,vt8_Lapinkangas,2020/05/01,1,"11 HA-PA",17,14,5,3,9,10,17,12,23,33,47,65,76,81,114,93,95,95,64,69,52,47,38,30
1235,vt8_Lapinkangas,2020/05/01,1,"12 KAIP",1,,,1,,,,1,1,,1,3,1,1,,,1,1,2,1,,1,,
1235,vt8_Lapinkangas,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1235,vt8_Lapinkangas,2020/05/01,1,"14 KAPP",,,,1,,,,,,2,,2,1,3,1,2,,1,1,1,,,,
1235,vt8_Lapinkangas,2020/05/01,1,"15 KATP",,3,,,1,3,3,3,5,,2,4,,4,4,1,1,1,1,,2,1,,1
1235,vt8_Lapinkangas,2020/05/01,1,"16 HA + PK",2,1,1,,,,1,2,2,2,5,6,7,4,6,5,9,4,8,4,1,3,1,
1235,vt8_Lapinkangas,2020/05/01,1,"17 HA + AV",,,,,,,,,,,1,3,1,,,1,,1,,1,,,,
1235,vt8_Lapinkangas,2020/05/01,2,"11 HA-PA",11,12,5,2,23,11,15,32,27,56,91,86,104,106,97,84,85,65,73,60,57,30,20,23
1235,vt8_Lapinkangas,2020/05/01,2,"12 KAIP",,1,,1,,1,,2,1,,2,1,4,1,,,,,,,1,1,1,
1235,vt8_Lapinkangas,2020/05/01,2,"13 Linja-autot",,1,,,,,,,,,2,,,,,,,,,,,,,
1235,vt8_Lapinkangas,2020/05/01,2,"14 KAPP",,2,,2,,,2,3,1,,3,1,1,,2,,1,,,1,1,,,
1235,vt8_Lapinkangas,2020/05/01,2,"15 KATP",1,,,,2,1,1,5,2,1,2,2,2,6,1,2,3,1,,2,1,1,2,2
1235,vt8_Lapinkangas,2020/05/01,2,"16 HA + PK",1,1,,,,1,,,5,4,5,11,5,5,7,8,2,3,4,4,6,2,1,1
1235,vt8_Lapinkangas,2020/05/01,2,"17 HA + AV",2,,,,,,,,2,,1,3,,,,1,1,,2,,1,,,
1235,vt8_Lapinkangas,2020/05/02,1,"11 HA-PA",14,9,3,5,3,20,12,7,22,51,71,92,111,112,106,93,89,74,71,67,54,40,35,21
1235,vt8_Lapinkangas,2020/05/02,1,"12 KAIP",2,,,,,,1,,,1,,,3,,1,2,,4,,,1,,,
1235,vt8_Lapinkangas,2020/05/02,1,"14 KAPP",,,1,,,1,1,,1,1,2,,3,1,,,2,1,,,,2,,
1235,vt8_Lapinkangas,2020/05/02,1,"15 KATP",,,1,,1,1,1,,3,2,1,2,1,5,,2,5,1,,1,3,2,1,
1235,vt8_Lapinkangas,2020/05/02,1,"16 HA + PK",,,,,,,1,1,1,5,4,2,11,4,7,12,10,4,5,4,2,1,1,
1235,vt8_Lapinkangas,2020/05/02,1,"17 HA + AV",,,,,,,,,1,1,,,1,,,,1,1,,1,2,1,,
1235,vt8_Lapinkangas,2020/05/02,2,"11 HA-PA",12,14,8,6,19,11,20,16,25,41,64,96,118,105,111,128,104,76,64,63,53,37,18,12
1235,vt8_Lapinkangas,2020/05/02,2,"12 KAIP",,,,,3,,,3,1,1,1,1,2,3,2,,,,1,,1,,1,
1235,vt8_Lapinkangas,2020/05/02,2,"14 KAPP",,,,1,,,,2,,2,,,1,2,2,1,1,,1,1,1,,1,
1235,vt8_Lapinkangas,2020/05/02,2,"15 KATP",2,,1,1,,3,,1,,3,4,3,1,7,2,4,3,1,1,3,,,1,
1235,vt8_Lapinkangas,2020/05/02,2,"16 HA + PK",,,,,,,,2,2,5,10,7,7,10,3,10,6,6,3,2,,6,2,1
1235,vt8_Lapinkangas,2020/05/02,2,"17 HA + AV",,,,,,,,,1,,,,2,1,2,1,,,1,1,1,,1,1
1235,vt8_Lapinkangas,2020/05/03,1,"11 HA-PA",12,7,6,1,,14,19,7,8,27,33,65,117,139,118,133,153,162,128,115,73,40,50,10
1235,vt8_Lapinkangas,2020/05/03,1,"12 KAIP",,,,,,,,,,,1,1,,2,3,3,3,1,,3,,1,,
1235,vt8_Lapinkangas,2020/05/03,1,"14 KAPP",,,,1,,,,,,1,2,,,1,2,,3,1,2,3,1,2,,
1235,vt8_Lapinkangas,2020/05/03,1,"15 KATP",3,,1,,,,,2,1,3,2,2,3,6,2,2,2,3,5,5,9,3,1,
1235,vt8_Lapinkangas,2020/05/03,1,"16 HA + PK",,,,,,,,1,,,3,4,5,8,2,10,10,9,11,6,2,,,1
1235,vt8_Lapinkangas,2020/05/03,1,"17 HA + AV",,,,,,,,1,,1,,,1,1,2,1,1,1,1,,,,,
1235,vt8_Lapinkangas,2020/05/03,2,"11 HA-PA",11,8,10,3,24,4,13,17,14,37,49,83,102,131,132,133,126,128,104,64,82,40,20,8
1235,vt8_Lapinkangas,2020/05/03,2,"12 KAIP",,,,,,,,1,1,3,,3,1,,2,1,,4,,1,1,,,
1235,vt8_Lapinkangas,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1235,vt8_Lapinkangas,2020/05/03,2,"14 KAPP",,,,,,1,,2,,1,,,3,1,2,,1,2,,1,,,,
1235,vt8_Lapinkangas,2020/05/03,2,"15 KATP",,,,,,,2,2,2,5,4,4,6,5,1,4,1,1,2,4,4,4,2,
1235,vt8_Lapinkangas,2020/05/03,2,"16 HA + PK",1,,,,,,,1,,3,6,6,6,6,7,8,13,10,13,4,5,,,
1235,vt8_Lapinkangas,2020/05/03,2,"17 HA + AV",,,,,,,,1,,,1,1,1,3,1,1,,3,1,2,,,,1
1235,vt8_Lapinkangas,2020/05/04,1,"11 HA-PA",11,3,,,5,31,107,109,70,61,68,86,99,107,133,210,260,113,85,76,55,26,44,20
1235,vt8_Lapinkangas,2020/05/04,1,"12 KAIP",,,,,,,6,3,3,5,4,8,6,7,8,4,,4,2,2,1,2,1,
1235,vt8_Lapinkangas,2020/05/04,1,"14 KAPP",,,,1,,,2,1,4,3,4,2,4,6,2,6,,5,3,4,3,2,1,1
1235,vt8_Lapinkangas,2020/05/04,1,"15 KATP",,,1,1,2,2,10,13,13,7,10,15,11,15,14,11,13,10,9,7,7,5,3,2
1235,vt8_Lapinkangas,2020/05/04,1,"16 HA + PK",,,,,,1,2,5,2,,4,6,4,6,2,5,3,5,8,3,10,1,1,1
1235,vt8_Lapinkangas,2020/05/04,1,"17 HA + AV",,,,,,,1,1,,1,1,,1,3,1,,3,3,1,,,1,,1
1235,vt8_Lapinkangas,2020/05/04,2,"11 HA-PA",7,4,4,7,39,114,202,187,128,79,72,91,107,97,110,134,134,94,78,54,64,16,21,4
1235,vt8_Lapinkangas,2020/05/04,2,"12 KAIP",,,,3,,7,5,4,5,6,5,,4,7,4,4,4,,1,2,1,,1,
1235,vt8_Lapinkangas,2020/05/04,2,"14 KAPP",1,,,,2,2,3,4,3,3,2,3,3,5,5,4,3,5,1,2,1,3,1,
1235,vt8_Lapinkangas,2020/05/04,2,"15 KATP",1,,1,1,4,8,10,14,21,11,32,15,16,6,15,6,7,9,5,7,11,3,5,3
1235,vt8_Lapinkangas,2020/05/04,2,"16 HA + PK",,,,,,1,7,7,6,6,7,5,3,4,7,6,7,7,5,3,2,2,2,
1235,vt8_Lapinkangas,2020/05/04,2,"17 HA + AV",,,,,,,2,2,1,1,1,1,,,4,5,,,,1,2,2,,
1235,vt8_Lapinkangas,2020/05/05,1,"11 HA-PA",8,8,1,1,3,25,86,92,77,66,69,88,84,85,145,209,245,131,87,86,53,47,44,12
1235,vt8_Lapinkangas,2020/05/05,1,"12 KAIP",,2,1,,,2,3,4,,1,6,4,1,3,3,1,5,1,,3,,,2,
1235,vt8_Lapinkangas,2020/05/05,1,"14 KAPP",,,,,1,2,1,1,5,1,5,5,3,1,3,3,,5,,4,1,3,2,
1235,vt8_Lapinkangas,2020/05/05,1,"15 KATP",1,1,3,1,1,7,9,8,9,7,7,8,9,8,9,20,8,8,10,5,8,9,4,1
1235,vt8_Lapinkangas,2020/05/05,1,"16 HA + PK",1,,,,,,3,2,3,3,2,7,6,3,6,8,6,3,4,6,1,3,,2
1235,vt8_Lapinkangas,2020/05/05,1,"17 HA + AV",,,,,,,2,,1,2,,1,,,1,1,1,4,2,1,2,3,,
1235,vt8_Lapinkangas,2020/05/05,2,"11 HA-PA",9,8,3,6,32,120,160,199,112,93,61,77,99,92,89,140,143,96,69,57,68,32,16,14
1235,vt8_Lapinkangas,2020/05/05,2,"12 KAIP",,,,1,,7,3,5,6,4,2,2,5,4,1,4,3,2,2,2,2,,1,1
1235,vt8_Lapinkangas,2020/05/05,2,"13 Linja-autot",,,3,,1,,,,,,,,,1,1,,,,,,,,,
1235,vt8_Lapinkangas,2020/05/05,2,"14 KAPP",,,,3,1,4,1,2,3,1,8,7,3,4,3,5,5,,1,1,4,,,
1235,vt8_Lapinkangas,2020/05/05,2,"15 KATP",1,2,1,3,5,6,8,9,7,12,13,8,8,7,12,5,8,7,7,8,8,2,9,1
1235,vt8_Lapinkangas,2020/05/05,2,"16 HA + PK",,,,,,1,4,3,2,7,3,6,5,3,4,6,6,1,7,4,2,,1,
1235,vt8_Lapinkangas,2020/05/05,2,"17 HA + AV",,,,2,,,1,,1,,1,,,,,1,2,2,1,3,,,,
1235,vt8_Lapinkangas,2020/05/06,1,"11 HA-PA",8,4,6,1,4,27,93,88,63,53,75,69,88,118,131,221,261,146,81,60,53,49,42,20
1235,vt8_Lapinkangas,2020/05/06,1,"12 KAIP",1,,,,,,,2,4,6,2,7,6,3,4,3,4,,1,1,2,2,,1
1235,vt8_Lapinkangas,2020/05/06,1,"13 Linja-autot",,,,,,,,,,,,,1,,1,,1,,,,,,,
1235,vt8_Lapinkangas,2020/05/06,1,"14 KAPP",,1,,,1,1,3,4,2,2,4,3,5,4,4,2,3,1,3,2,3,3,2,1
1235,vt8_Lapinkangas,2020/05/06,1,"15 KATP",,2,3,2,1,3,9,11,8,16,12,9,12,17,13,18,8,8,7,6,14,7,2,5
1235,vt8_Lapinkangas,2020/05/06,1,"16 HA + PK",,,,,,,3,,3,5,1,7,3,7,3,4,7,7,7,7,,,1,
1235,vt8_Lapinkangas,2020/05/06,1,"17 HA + AV",,,,,,,,,1,,1,3,1,,,,,,1,,,,,
1235,vt8_Lapinkangas,2020/05/06,2,"11 HA-PA",9,5,4,6,25,110,189,182,113,68,69,73,110,90,115,123,150,113,73,56,63,35,21,15
1235,vt8_Lapinkangas,2020/05/06,2,"12 KAIP",1,,,3,,6,5,3,9,4,5,4,3,4,,3,,2,,1,2,,1,1
1235,vt8_Lapinkangas,2020/05/06,2,"13 Linja-autot",,1,,,,,,,,,,,,1,,1,1,,,,,,,
1235,vt8_Lapinkangas,2020/05/06,2,"14 KAPP",1,,1,2,,2,4,,5,3,4,5,2,5,3,5,3,4,2,2,3,1,,1
1235,vt8_Lapinkangas,2020/05/06,2,"15 KATP",2,2,2,3,1,10,11,8,16,21,14,11,15,17,19,13,6,13,10,7,5,8,4,2
1235,vt8_Lapinkangas,2020/05/06,2,"16 HA + PK",,,,,,,2,2,4,3,7,3,4,2,5,2,11,3,7,2,1,1,3,
1235,vt8_Lapinkangas,2020/05/06,2,"17 HA + AV",1,,,,,,,1,,,,2,,2,,2,,,1,,2,,,1
1235,vt8_Lapinkangas,2020/05/07,1,"11 HA-PA",5,5,3,8,3,21,100,81,67,53,58,93,108,106,146,230,270,135,97,67,59,52,47,22
1235,vt8_Lapinkangas,2020/05/07,1,"12 KAIP",,1,,1,,,6,4,3,1,7,7,2,4,7,12,5,2,2,3,2,1,,
1235,vt8_Lapinkangas,2020/05/07,1,"13 Linja-autot",,,,,,,,,,1,,,,,,1,,,,,,,1,
1235,vt8_Lapinkangas,2020/05/07,1,"14 KAPP",,,2,,,,3,3,3,4,3,2,6,4,2,4,2,1,2,,1,3,,
1235,vt8_Lapinkangas,2020/05/07,1,"15 KATP",2,2,2,2,2,2,9,8,7,13,4,9,14,7,12,11,8,10,7,5,5,5,4,4
1235,vt8_Lapinkangas,2020/05/07,1,"16 HA + PK",,,,,2,1,2,3,2,3,12,6,4,2,4,5,8,3,4,2,2,4,1,
1235,vt8_Lapinkangas,2020/05/07,1,"17 HA + AV",,,,,,,1,2,2,5,1,,1,4,1,2,,1,2,,,,,
1235,vt8_Lapinkangas,2020/05/07,2,"11 HA-PA",7,4,3,3,28,126,164,171,107,88,87,80,101,114,124,125,148,128,80,60,74,34,21,9
1235,vt8_Lapinkangas,2020/05/07,2,"12 KAIP",,,1,1,,5,5,6,4,5,1,5,5,5,4,2,3,5,4,3,2,,2,
1235,vt8_Lapinkangas,2020/05/07,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
1235,vt8_Lapinkangas,2020/05/07,2,"14 KAPP",1,2,,2,1,3,1,4,4,1,3,1,7,1,7,3,,3,4,,,,,1
1235,vt8_Lapinkangas,2020/05/07,2,"15 KATP",2,1,3,2,,4,8,13,8,12,15,12,10,20,11,14,10,5,9,10,8,7,7,3
1235,vt8_Lapinkangas,2020/05/07,2,"16 HA + PK",,,,,,2,3,3,4,2,9,2,4,4,7,7,8,7,8,3,2,,1,
1235,vt8_Lapinkangas,2020/05/07,2,"17 HA + AV",,,,,,,,2,1,2,2,2,1,1,,1,2,,1,2,,1,,
1235,vt8_Lapinkangas,2020/05/08,1,"11 HA-PA",13,6,7,8,4,26,85,77,72,75,79,90,121,147,232,237,216,162,122,101,62,44,55,24
1235,vt8_Lapinkangas,2020/05/08,1,"12 KAIP",,1,,,1,,3,5,3,3,6,10,6,4,3,4,1,2,4,2,1,,,
1235,vt8_Lapinkangas,2020/05/08,1,"14 KAPP",,,,2,1,2,,3,3,5,3,4,1,2,2,3,2,3,1,1,1,2,,1
1235,vt8_Lapinkangas,2020/05/08,1,"15 KATP",1,1,1,4,5,3,9,3,7,13,8,6,14,12,21,14,7,6,6,2,4,7,,2
1235,vt8_Lapinkangas,2020/05/08,1,"16 HA + PK",,,,,,,1,3,2,3,5,5,8,6,9,7,6,7,5,4,4,2,1,
1235,vt8_Lapinkangas,2020/05/08,1,"17 HA + AV",,,,1,,,2,,2,1,1,2,,1,1,3,1,3,2,1,1,1,,
1235,vt8_Lapinkangas,2020/05/08,2,"11 HA-PA",13,3,,1,35,95,146,174,108,84,77,98,114,127,128,191,193,174,133,97,63,43,23,17
1235,vt8_Lapinkangas,2020/05/08,2,"12 KAIP",,,1,2,1,7,2,1,6,6,2,5,3,4,7,2,1,6,2,2,1,2,1,1
1235,vt8_Lapinkangas,2020/05/08,2,"13 Linja-autot",,,,,,,,,,,,,,,1,1,,,,1,,,,
1235,vt8_Lapinkangas,2020/05/08,2,"14 KAPP",,1,1,1,,3,4,1,7,4,2,3,2,3,1,3,2,,1,3,1,,1,
1235,vt8_Lapinkangas,2020/05/08,2,"15 KATP",3,1,1,2,7,5,5,7,16,6,13,19,11,9,10,12,10,5,3,7,4,2,5,2
1235,vt8_Lapinkangas,2020/05/08,2,"16 HA + PK",,,,,,1,3,7,6,7,7,5,7,6,9,6,10,10,4,5,4,1,,1
1235,vt8_Lapinkangas,2020/05/08,2,"17 HA + AV",,1,,,,1,,,2,,1,2,1,4,2,2,3,1,,,,,,
1235,vt8_Lapinkangas,2020/05/09,1,"11 HA-PA",17,8,8,6,4,16,27,17,40,51,67,83,117,122,158,122,131,102,106,94,79,63,50,29
1235,vt8_Lapinkangas,2020/05/09,1,"12 KAIP",3,1,,,,,,,3,2,2,1,,1,,,2,3,2,,1,1,,1
1235,vt8_Lapinkangas,2020/05/09,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,1,,,,,,,
1235,vt8_Lapinkangas,2020/05/09,1,"14 KAPP",,1,1,2,,,,,2,1,1,3,1,1,2,2,,1,,,1,,2,
1235,vt8_Lapinkangas,2020/05/09,1,"15 KATP",2,,1,1,2,2,1,1,,2,3,3,7,2,2,3,2,1,2,2,3,1,,1
1235,vt8_Lapinkangas,2020/05/09,1,"16 HA + PK",1,,2,,,,,1,3,7,8,9,7,7,8,10,6,9,9,5,4,3,2,1
1235,vt8_Lapinkangas,2020/05/09,1,"17 HA + AV",,,,,,,,,,1,1,1,,,1,,3,,2,,1,,,1
1235,vt8_Lapinkangas,2020/05/09,2,"11 HA-PA",14,9,5,5,22,18,17,28,41,74,80,127,155,140,137,149,120,124,123,74,74,46,39,14
1235,vt8_Lapinkangas,2020/05/09,2,"12 KAIP",,1,,1,1,,2,3,,3,2,3,2,1,1,3,,,1,,,,1,
1235,vt8_Lapinkangas,2020/05/09,2,"14 KAPP",2,,,,,,,,2,4,2,1,1,,2,,,2,,2,1,,1,
1235,vt8_Lapinkangas,2020/05/09,2,"15 KATP",,,,1,3,,,3,3,4,2,3,4,2,2,3,3,3,3,2,1,1,,
1235,vt8_Lapinkangas,2020/05/09,2,"16 HA + PK",1,1,,1,,,1,2,2,7,10,14,13,10,10,9,5,7,5,7,2,3,1,1
1235,vt8_Lapinkangas,2020/05/09,2,"17 HA + AV",,,,,,,,,1,,2,,,3,,,,2,1,,,3,,
1235,vt8_Lapinkangas,2020/05/10,1,"11 HA-PA",18,10,4,3,9,12,22,15,15,18,47,74,103,144,153,179,198,206,181,145,117,82,50,16
1235,vt8_Lapinkangas,2020/05/10,1,"12 KAIP",,1,,,,,,,,1,1,1,1,,2,,1,2,1,1,1,1,,
1235,vt8_Lapinkangas,2020/05/10,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
1235,vt8_Lapinkangas,2020/05/10,1,"14 KAPP",,,1,,,,,,,1,,1,,1,1,1,3,3,,3,1,,1,1
1235,vt8_Lapinkangas,2020/05/10,1,"15 KATP",,,,,1,,,,2,,1,1,3,3,6,,6,6,6,5,1,2,4,3
1235,vt8_Lapinkangas,2020/05/10,1,"16 HA + PK",1,1,,1,,,,,1,1,6,5,4,6,8,9,5,14,7,4,3,1,2,
1235,vt8_Lapinkangas,2020/05/10,1,"17 HA + AV",,,,1,,,,,,2,,,,,2,,1,1,,,,,,
1235,vt8_Lapinkangas,2020/05/10,2,"11 HA-PA",17,13,9,10,27,12,10,14,22,45,90,149,195,155,146,126,138,122,100,92,65,40,22,8
1235,vt8_Lapinkangas,2020/05/10,2,"12 KAIP",,,,,,,,1,,2,1,,1,,,2,2,,1,1,,,,
1235,vt8_Lapinkangas,2020/05/10,2,"14 KAPP",,,,,,,1,,,,,,1,,1,1,,1,,,,,,
1235,vt8_Lapinkangas,2020/05/10,2,"15 KATP",,,,,,,1,,3,2,3,2,3,,4,3,1,1,5,6,4,3,,2
1235,vt8_Lapinkangas,2020/05/10,2,"16 HA + PK",,,,,,1,,,,3,5,5,7,5,2,7,10,4,3,4,2,,,
1235,vt8_Lapinkangas,2020/05/10,2,"17 HA + AV",1,,,,,,,,,1,,1,2,1,,2,,,1,,,1,,
1235,vt8_Lapinkangas,2020/05/11,1,"11 HA-PA",3,5,2,2,8,28,130,96,99,66,53,92,78,103,144,181,272,128,82,63,49,35,42,12
1235,vt8_Lapinkangas,2020/05/11,1,"12 KAIP",,,,,,,3,2,2,4,3,4,8,7,4,3,3,6,1,5,2,,,
1235,vt8_Lapinkangas,2020/05/11,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1235,vt8_Lapinkangas,2020/05/11,1,"14 KAPP",,,1,,,1,1,1,4,3,2,2,2,8,2,2,3,2,3,3,1,2,1,
1235,vt8_Lapinkangas,2020/05/11,1,"15 KATP",2,3,2,1,2,1,9,9,7,10,10,15,9,16,14,13,12,12,9,7,7,6,6,6
1235,vt8_Lapinkangas,2020/05/11,1,"16 HA + PK",,,,,,,,3,2,1,3,1,5,5,6,5,3,5,2,1,4,3,,
