"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1302,vt5_Ristijärvi,2020/05/01,1,"11 HA-PA",6,4,3,1,3,4,8,15,27,32,59,61,72,66,54,70,48,47,23,36,18,6,12,5
1302,vt5_Ristijärvi,2020/05/01,1,"12 KAIP",1,,,,1,1,1,,1,,,1,1,,,,1,,1,,,,,
1302,vt5_Ristijärvi,2020/05/01,1,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,,,,
1302,vt5_Ristijärvi,2020/05/01,1,"15 KATP",,1,,,,1,,1,1,,,,2,1,,,1,,,,,,,
1302,vt5_Ristijärvi,2020/05/01,1,"16 HA + PK",,,,,,,,2,2,6,5,6,6,5,4,3,2,2,3,3,1,,,
1302,vt5_Ristijärvi,2020/05/01,1,"17 HA + AV",,1,,,,,,,,,,1,1,2,,,,,,1,,,,
1302,vt5_Ristijärvi,2020/05/01,2,"11 HA-PA",2,3,4,1,5,8,5,5,15,20,32,35,46,45,55,52,39,42,26,29,15,14,7,6
1302,vt5_Ristijärvi,2020/05/01,2,"12 KAIP",,,,,,,,1,2,,,,1,,1,,1,,,,,,,
1302,vt5_Ristijärvi,2020/05/01,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,1,,,,,,
1302,vt5_Ristijärvi,2020/05/01,2,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,,,,
1302,vt5_Ristijärvi,2020/05/01,2,"15 KATP",,,,,,,,,,2,,,,,,,,,1,,,,1,
1302,vt5_Ristijärvi,2020/05/01,2,"16 HA + PK",,,,,,,,1,1,1,3,1,1,2,3,3,4,7,3,,2,1,,
1302,vt5_Ristijärvi,2020/05/01,2,"17 HA + AV",,,,,,,,,,,1,,1,1,,,,,,,,,,
1302,vt5_Ristijärvi,2020/05/02,1,"11 HA-PA",8,,1,2,,4,10,7,24,34,37,49,50,52,57,67,36,32,26,21,18,8,10,1
1302,vt5_Ristijärvi,2020/05/02,1,"12 KAIP",,,,,,,,2,,1,3,,,,2,,,,1,1,1,,,
