"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1303,kt75_Kankivaara,2020/05/01,1,"11 HA-PA",3,1,,1,3,1,1,1,2,7,6,9,13,12,12,18,12,10,9,1,6,3,4,1
1303,kt75_Kankivaara,2020/05/01,1,"12 KAIP",,,,1,,,,,,,1,,,,1,,,,,,,1,,
1303,kt75_Kankivaara,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
1303,kt75_Kankivaara,2020/05/01,1,"14 KAPP",,,1,,,,,,1,,1,,,,4,2,,1,,1,,,,
1303,kt75_Kankivaara,2020/05/01,1,"15 KATP",,1,,,,,,1,2,,,1,2,,1,,1,,1,,,,,1
1303,kt75_Kankivaara,2020/05/01,1,"16 HA + PK",,,,,,,,,,,1,1,4,2,1,1,,,,1,,,,
1303,kt75_Kankivaara,2020/05/01,2,"11 HA-PA",,,,2,2,,6,5,8,8,14,9,20,8,8,6,4,5,3,5,1,1,,1
1303,kt75_Kankivaara,2020/05/01,2,"12 KAIP",,,,1,,1,1,1,,,,,,,,1,,,,1,,,,
1303,kt75_Kankivaara,2020/05/01,2,"14 KAPP",,,,,,,,,,2,4,,,1,2,1,,,2,1,1,,,
1303,kt75_Kankivaara,2020/05/01,2,"15 KATP",1,,,1,1,1,,1,5,,,2,,2,,,,,,2,,,,
1303,kt75_Kankivaara,2020/05/01,2,"16 HA + PK",,,,,,,,,,,3,1,2,,1,1,,,1,1,,,,
1303,kt75_Kankivaara,2020/05/02,1,"11 HA-PA",,,,,1,1,1,5,3,13,12,10,7,7,8,15,6,5,6,11,4,2,1,2
1303,kt75_Kankivaara,2020/05/02,1,"12 KAIP",,,,,,,,,1,,,,,,,1,,,,,,,,
1303,kt75_Kankivaara,2020/05/02,1,"14 KAPP",,,,,,,,2,,,1,1,,1,1,1,,,,,,,,
1303,kt75_Kankivaara,2020/05/02,1,"15 KATP",1,,,,,2,,,1,,,,,1,,,,,,,,,,
1303,kt75_Kankivaara,2020/05/02,1,"16 HA + PK",,,,,,,,,1,1,,1,1,,,1,,2,1,1,1,,,
1303,kt75_Kankivaara,2020/05/02,1,"17 HA + AV",,,,1,,,,1,,,,,,,,,,,,,,,,
1303,kt75_Kankivaara,2020/05/02,2,"11 HA-PA",,,,,,1,4,5,17,12,10,8,13,9,9,8,3,9,8,5,6,1,2,
1303,kt75_Kankivaara,2020/05/02,2,"12 KAIP",,,,,,,,,,1,,,,1,,,1,,,,,,,
1303,kt75_Kankivaara,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
1303,kt75_Kankivaara,2020/05/02,2,"14 KAPP",,,,,,,,,,1,,1,,1,2,,,1,,4,1,,,
1303,kt75_Kankivaara,2020/05/02,2,"15 KATP",,,,,1,1,,,,1,1,,,2,2,,,,,1,,,,
1303,kt75_Kankivaara,2020/05/02,2,"16 HA + PK",,,,,,,1,1,,1,,,,1,,,1,,,,,,,
1303,kt75_Kankivaara,2020/05/02,2,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,,,
1303,kt75_Kankivaara,2020/05/03,1,"11 HA-PA",,,,,,2,,3,3,1,3,9,8,12,18,11,11,7,10,8,9,2,1,
1303,kt75_Kankivaara,2020/05/03,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,,,,,
1303,kt75_Kankivaara,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
1303,kt75_Kankivaara,2020/05/03,1,"14 KAPP",,,,,,,1,,1,3,3,,1,1,1,1,1,,1,1,,,1,
1303,kt75_Kankivaara,2020/05/03,1,"15 KATP",1,,,,,,,,1,1,,,,,1,,,1,1,,1,2,,
1303,kt75_Kankivaara,2020/05/03,1,"16 HA + PK",,,,,,,1,,,1,,1,1,,1,,1,2,1,,,2,,
1303,kt75_Kankivaara,2020/05/03,2,"11 HA-PA",,,,,,1,1,1,8,8,12,15,14,22,20,15,6,13,6,6,3,,,
1303,kt75_Kankivaara,2020/05/03,2,"12 KAIP",,,,1,,,,,,,,1,2,,,,1,,,,1,,,
1303,kt75_Kankivaara,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,1,,,
1303,kt75_Kankivaara,2020/05/03,2,"14 KAPP",,,,,,,,,1,,,3,1,2,,1,,1,4,2,,1,,
1303,kt75_Kankivaara,2020/05/03,2,"15 KATP",,,,,1,,,,,,,1,,2,1,3,3,,1,2,,2,,
1303,kt75_Kankivaara,2020/05/03,2,"16 HA + PK",,,,,,1,1,,,1,1,1,1,2,2,,1,3,,,,,,
1303,kt75_Kankivaara,2020/05/03,2,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,,,
1303,kt75_Kankivaara,2020/05/04,1,"11 HA-PA",,,1,2,1,4,5,12,11,5,3,14,9,10,8,11,15,6,4,6,2,3,1,1
1303,kt75_Kankivaara,2020/05/04,1,"12 KAIP",,,,,1,1,,,,2,1,,,,,,,,1,,,,,
