"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1466,vt4_Syväsenvaara,2020/05/01,1,"11 HA-PA",53,40,24,33,23,17,42,63,62,111,159,189,259,260,234,213,205,206,168,173,127,114,79,68
1466,vt4_Syväsenvaara,2020/05/01,1,"12 KAIP",,1,,1,,,2,2,,,2,1,2,2,,1,1,1,1,2,2,2,,
1466,vt4_Syväsenvaara,2020/05/01,1,"13 Linja-autot",,,,,,,,,,1,,,,1,,,,,,,,,,
1466,vt4_Syväsenvaara,2020/05/01,1,"14 KAPP",,,,,,,,,1,,1,,,1,,1,,,1,1,1,,,
1466,vt4_Syväsenvaara,2020/05/01,1,"15 KATP",1,,,5,,1,4,2,1,1,2,2,3,4,2,2,1,2,1,2,1,1,,
1466,vt4_Syväsenvaara,2020/05/01,1,"16 HA + PK",,1,1,,1,4,3,2,5,9,9,13,11,8,4,9,4,4,4,4,1,,1,1
1466,vt4_Syväsenvaara,2020/05/01,1,"17 HA + AV",,,,1,1,1,1,1,1,2,,2,,,3,1,1,,,1,,,1,
1466,vt4_Syväsenvaara,2020/05/01,2,"11 HA-PA",60,40,35,21,18,13,30,45,54,81,120,186,206,260,243,262,233,212,203,180,151,107,77,60
1466,vt4_Syväsenvaara,2020/05/01,2,"12 KAIP",1,,,,1,,1,2,1,1,2,3,1,4,3,1,2,2,1,5,1,,1,1
1466,vt4_Syväsenvaara,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,1,,,,1,,,,,,,,,
1466,vt4_Syväsenvaara,2020/05/01,2,"14 KAPP",,,1,2,1,,,1,2,,,2,,2,2,3,,2,1,,,2,2,1
1466,vt4_Syväsenvaara,2020/05/01,2,"15 KATP",2,2,1,,,2,1,1,,2,4,2,3,4,2,1,3,2,5,2,1,1,,
1466,vt4_Syväsenvaara,2020/05/01,2,"16 HA + PK",,1,,1,2,1,2,1,4,7,7,4,5,8,5,9,10,7,11,6,4,4,2,
1466,vt4_Syväsenvaara,2020/05/01,2,"17 HA + AV",1,,,,,1,,1,1,,3,,,1,,2,2,,,2,1,,1,1
1466,vt4_Syväsenvaara,2020/05/02,1,"11 HA-PA",40,33,24,25,10,17,34,62,37,86,130,212,236,233,254,257,212,207,134,121,88,93,72,54
1466,vt4_Syväsenvaara,2020/05/02,1,"12 KAIP",,,,1,,1,,2,,2,,3,4,4,,5,1,2,1,1,,,,
1466,vt4_Syväsenvaara,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,1,1,1,,,,,,1,,,,,
1466,vt4_Syväsenvaara,2020/05/02,1,"14 KAPP",,,,,,,,1,,,,1,1,1,2,1,1,1,3,1,3,,2,
1466,vt4_Syväsenvaara,2020/05/02,1,"15 KATP",,2,,1,3,,,1,,1,1,,2,2,,,,1,,,,1,,1
1466,vt4_Syväsenvaara,2020/05/02,1,"16 HA + PK",1,,2,,,3,,1,4,4,8,7,11,9,4,8,5,4,3,2,2,1,,
1466,vt4_Syväsenvaara,2020/05/02,1,"17 HA + AV",,,,,,,2,,2,,,2,2,,2,,,1,,1,,,,1
1466,vt4_Syväsenvaara,2020/05/02,2,"11 HA-PA",47,40,25,24,20,15,46,44,67,147,163,231,262,282,266,269,223,220,163,147,123,108,64,44
1466,vt4_Syväsenvaara,2020/05/02,2,"12 KAIP",,,,1,,,1,,3,1,3,2,6,6,,5,2,2,3,1,2,1,,2
1466,vt4_Syväsenvaara,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,2,1,1,,,,,1,1,,,,
1466,vt4_Syväsenvaara,2020/05/02,2,"14 KAPP",,,1,1,,2,,,,,,2,2,,1,1,1,1,1,,,,1,
1466,vt4_Syväsenvaara,2020/05/02,2,"15 KATP",,,,1,1,,2,,1,1,2,1,3,,4,2,2,1,3,1,,,,
1466,vt4_Syväsenvaara,2020/05/02,2,"16 HA + PK",,,,1,,2,1,,7,5,13,15,14,9,9,12,12,14,5,8,3,3,3,1
1466,vt4_Syväsenvaara,2020/05/02,2,"17 HA + AV",,,,,,,,1,1,1,2,1,1,1,3,1,1,2,1,2,1,1,,
1466,vt4_Syväsenvaara,2020/05/03,1,"11 HA-PA",41,24,18,16,14,13,25,43,32,56,88,142,209,220,235,263,220,214,193,152,113,98,44,34
1466,vt4_Syväsenvaara,2020/05/03,1,"12 KAIP",,,1,,1,,1,1,2,1,,3,1,3,1,,1,2,2,3,2,2,,1
1466,vt4_Syväsenvaara,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,1,1,1,1,,,,1,,,,,
1466,vt4_Syväsenvaara,2020/05/03,1,"14 KAPP",,,,,,,,,1,,3,2,2,1,1,,,,2,2,,,,1
1466,vt4_Syväsenvaara,2020/05/03,1,"15 KATP",1,,,,1,,,2,2,2,,1,2,2,1,1,1,1,,3,,1,,
1466,vt4_Syväsenvaara,2020/05/03,1,"16 HA + PK",,,2,,,1,,,,5,5,4,4,8,8,13,7,2,6,2,3,,,
1466,vt4_Syväsenvaara,2020/05/03,1,"17 HA + AV",,,,1,,,,1,1,,,,,,1,1,2,2,1,,,1,,
1466,vt4_Syväsenvaara,2020/05/03,2,"11 HA-PA",47,20,20,13,14,9,40,36,39,78,122,178,265,333,314,316,308,256,249,204,167,92,62,25
1466,vt4_Syväsenvaara,2020/05/03,2,"12 KAIP",1,1,1,,,,1,1,,3,2,1,4,2,8,,5,2,2,6,1,2,,
1466,vt4_Syväsenvaara,2020/05/03,2,"13 Linja-autot",,,,,,,1,,,,,,3,1,,1,,2,1,,1,,,
1466,vt4_Syväsenvaara,2020/05/03,2,"14 KAPP",1,,,,1,,1,,,,,,1,,,,1,2,1,1,,,,
1466,vt4_Syväsenvaara,2020/05/03,2,"15 KATP",,,,,1,,1,,,,,,5,6,3,,3,1,1,1,2,1,1,1
1466,vt4_Syväsenvaara,2020/05/03,2,"16 HA + PK",2,,3,1,,2,2,3,2,5,3,11,23,21,25,20,22,11,13,11,6,1,1,2
1466,vt4_Syväsenvaara,2020/05/03,2,"17 HA + AV",,,,,,,,,1,,3,1,2,2,1,2,1,,3,6,1,1,1,
1466,vt4_Syväsenvaara,2020/05/04,1,"11 HA-PA",7,10,9,13,20,56,234,317,201,181,208,280,274,289,295,428,422,297,257,193,127,100,67,39
1466,vt4_Syväsenvaara,2020/05/04,1,"12 KAIP",,,1,2,1,2,11,11,11,14,10,13,9,10,7,13,11,13,3,2,2,,,
1466,vt4_Syväsenvaara,2020/05/04,1,"13 Linja-autot",,,,,,,1,1,1,1,1,3,2,1,,1,,1,,,,,,
1466,vt4_Syväsenvaara,2020/05/04,1,"14 KAPP",,,,,,,3,1,2,,3,3,,1,,1,2,1,,,,,1,1
1466,vt4_Syväsenvaara,2020/05/04,1,"15 KATP",2,1,4,2,15,4,4,11,13,7,6,14,11,7,11,6,5,7,3,2,3,1,3,1
1466,vt4_Syväsenvaara,2020/05/04,1,"16 HA + PK",2,,,,,2,5,8,8,10,7,6,16,9,12,8,13,15,10,11,4,2,,1
1466,vt4_Syväsenvaara,2020/05/04,1,"17 HA + AV",,,,,,,,2,1,2,1,1,,1,4,3,3,1,1,1,,,,
1466,vt4_Syväsenvaara,2020/05/04,2,"11 HA-PA",11,15,11,11,20,75,261,384,286,282,272,304,337,347,338,508,423,299,255,185,116,103,64,32
1466,vt4_Syväsenvaara,2020/05/04,2,"12 KAIP",1,,1,,2,1,9,14,11,15,15,9,13,12,11,11,13,5,2,6,3,2,,
1466,vt4_Syväsenvaara,2020/05/04,2,"13 Linja-autot",,,,,,,2,,,1,1,4,1,1,,,,1,,,,,,
1466,vt4_Syväsenvaara,2020/05/04,2,"14 KAPP",,,,,1,,1,1,2,,3,1,1,,1,2,1,1,4,1,3,2,,1
1466,vt4_Syväsenvaara,2020/05/04,2,"15 KATP",2,,,,,1,6,10,13,11,12,8,8,7,18,13,7,12,6,8,4,4,7,2
1466,vt4_Syväsenvaara,2020/05/04,2,"16 HA + PK",,,,,2,1,12,17,10,13,17,17,11,19,18,15,12,13,10,5,7,5,2,
1466,vt4_Syväsenvaara,2020/05/04,2,"17 HA + AV",,,,,1,1,2,1,2,3,2,2,1,3,2,1,1,,,,1,,,1
1466,vt4_Syväsenvaara,2020/05/05,1,"11 HA-PA",31,23,10,10,21,37,227,330,210,171,194,213,317,299,327,425,430,315,253,191,176,100,58,27
1466,vt4_Syväsenvaara,2020/05/05,1,"12 KAIP",,,,2,,1,7,14,7,25,6,15,9,12,9,10,9,6,7,5,2,,3,3
1466,vt4_Syväsenvaara,2020/05/05,1,"13 Linja-autot",,,,,,,,1,1,1,,,1,,,,,1,2,,,,,
1466,vt4_Syväsenvaara,2020/05/05,1,"14 KAPP",1,1,,,,,2,,2,,2,2,1,1,2,1,2,1,2,2,2,,,1
1466,vt4_Syväsenvaara,2020/05/05,1,"15 KATP",,6,1,2,14,6,6,6,12,9,9,16,12,6,11,11,3,5,10,4,2,2,9,3
1466,vt4_Syväsenvaara,2020/05/05,1,"16 HA + PK",1,,,2,,,3,14,9,6,13,9,6,9,8,11,13,14,6,3,3,4,,2
1466,vt4_Syväsenvaara,2020/05/05,1,"17 HA + AV",,,,,,,2,3,1,3,1,2,1,,,2,1,,1,,,,1,
1466,vt4_Syväsenvaara,2020/05/05,2,"11 HA-PA",24,18,13,16,16,74,244,321,257,245,253,297,349,330,351,523,433,333,289,197,150,99,67,30
1466,vt4_Syväsenvaara,2020/05/05,2,"12 KAIP",,,,,1,,7,7,14,15,12,10,14,11,12,10,7,7,6,,2,2,5,3
1466,vt4_Syväsenvaara,2020/05/05,2,"13 Linja-autot",,,,,1,,1,2,,,,2,1,2,,,2,,4,1,,,,
1466,vt4_Syväsenvaara,2020/05/05,2,"14 KAPP",,,,1,,1,1,2,4,1,2,2,,1,,3,2,4,3,2,,3,1,
1466,vt4_Syväsenvaara,2020/05/05,2,"15 KATP",1,1,1,,2,2,2,13,13,10,14,10,9,11,9,11,8,7,11,8,4,4,4,4
1466,vt4_Syväsenvaara,2020/05/05,2,"16 HA + PK",,,,,2,,5,7,11,11,11,13,10,8,16,12,15,15,6,5,3,,,
1466,vt4_Syväsenvaara,2020/05/05,2,"17 HA + AV",,,,,,,2,1,3,2,,2,1,1,1,1,3,4,3,1,,,1,
1466,vt4_Syväsenvaara,2020/05/06,1,"11 HA-PA",28,15,12,15,11,40,204,316,180,165,190,228,302,280,332,445,419,308,267,190,148,90,78,31
