"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
146,st101_Länsi-Pakila,2020/05/01,1,"11 HA-PA",413,299,217,170,140,228,424,464,568,885,1257,1689,1909,2102,2269,2134,1833,1705,1518,1277,1092,836,644,535
146,st101_Länsi-Pakila,2020/05/01,1,"12 KAIP",4,8,2,1,1,,6,2,4,12,15,17,9,12,9,13,11,5,6,7,5,5,6,7
146,st101_Länsi-Pakila,2020/05/01,1,"13 Linja-autot",,,1,,,2,3,2,2,2,2,2,1,2,,2,1,2,2,1,2,1,2,
146,st101_Länsi-Pakila,2020/05/01,1,"14 KAPP",2,2,1,,,2,3,3,6,3,10,4,2,3,6,7,8,6,1,,,1,3,9
146,st101_Länsi-Pakila,2020/05/01,1,"15 KATP",2,1,,,3,3,1,,5,3,5,1,4,,2,2,4,1,1,,1,,2,2
146,st101_Länsi-Pakila,2020/05/01,1,"16 HA + PK",1,1,,,,1,1,4,4,15,21,16,20,26,14,10,7,15,10,9,5,8,1,1
146,st101_Länsi-Pakila,2020/05/01,1,"17 HA + AV",,,,,,,,1,2,1,2,2,2,,1,3,,,,,,,,1
146,st101_Länsi-Pakila,2020/05/01,2,"11 HA-PA",388,284,224,164,135,229,595,473,542,808,1105,1585,1760,1969,2088,1872,1891,1730,1578,1360,1077,859,671,477
146,st101_Länsi-Pakila,2020/05/01,2,"12 KAIP",6,5,3,,1,3,9,17,17,7,8,8,11,18,11,13,9,6,6,6,12,6,5,8
146,st101_Länsi-Pakila,2020/05/01,2,"13 Linja-autot",,,,,,2,,1,,1,1,2,1,,,1,,1,,1,1,1,1,
146,st101_Länsi-Pakila,2020/05/01,2,"14 KAPP",6,1,1,,1,2,15,23,19,3,3,6,7,4,8,1,3,2,5,3,8,5,5,3
146,st101_Länsi-Pakila,2020/05/01,2,"15 KATP",2,2,1,1,2,,3,3,2,3,2,2,4,4,4,3,,,1,1,1,2,3,1
146,st101_Länsi-Pakila,2020/05/01,2,"16 HA + PK",,,,,,,3,2,6,11,12,23,19,15,16,19,11,11,9,11,3,2,3,2
146,st101_Länsi-Pakila,2020/05/01,2,"17 HA + AV",,,,,1,1,1,,1,3,,6,1,1,,1,,,1,,,,1,
146,st101_Länsi-Pakila,2020/05/02,1,"11 HA-PA",350,233,166,139,133,173,351,408,592,1040,1472,1938,2203,2357,2500,2420,2083,1765,1531,1147,990,719,567,430
146,st101_Länsi-Pakila,2020/05/02,1,"12 KAIP",4,4,3,6,5,4,8,15,14,18,17,13,12,14,25,12,8,6,2,4,2,3,,2
146,st101_Länsi-Pakila,2020/05/02,1,"13 Linja-autot",1,,,,,3,2,3,2,4,,1,2,2,,2,2,1,3,2,2,3,2,1
146,st101_Länsi-Pakila,2020/05/02,1,"14 KAPP",4,,3,1,1,1,3,2,10,1,2,2,2,3,3,6,13,3,1,2,,2,4,22
146,st101_Länsi-Pakila,2020/05/02,1,"15 KATP",2,1,,3,,1,2,2,2,2,,4,2,3,2,4,2,1,,,2,1,1,2
146,st101_Länsi-Pakila,2020/05/02,1,"16 HA + PK",,,,,,1,,4,10,7,26,29,29,21,24,18,14,18,8,11,4,5,3,1
146,st101_Länsi-Pakila,2020/05/02,1,"17 HA + AV",1,,1,,,,1,1,1,2,2,2,2,2,4,,4,,2,,,1,,
146,st101_Länsi-Pakila,2020/05/02,2,"11 HA-PA",385,216,163,110,113,189,457,448,569,950,1386,1682,1981,2278,2541,2463,2103,1919,1722,1304,1057,780,581,421
146,st101_Länsi-Pakila,2020/05/02,2,"12 KAIP",6,2,6,2,9,12,20,18,21,12,10,21,14,18,19,10,14,8,7,3,7,6,1,5
146,st101_Länsi-Pakila,2020/05/02,2,"13 Linja-autot",3,,,,,2,1,,,,,,1,,1,1,,1,1,1,1,2,1,3
146,st101_Länsi-Pakila,2020/05/02,2,"14 KAPP",2,2,,3,3,2,3,6,,,5,11,4,6,3,5,5,1,1,,2,,,
