"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
167,vt1_Sepänkylä,2020/05/01,1,"11 HA-PA",198,124,113,78,52,69,149,207,352,605,1046,1264,1386,1321,1280,1209,1007,851,711,569,488,420,304,210
167,vt1_Sepänkylä,2020/05/01,1,"12 KAIP",1,1,2,,,,,3,2,7,6,9,3,7,2,7,6,5,2,2,2,3,1,1
167,vt1_Sepänkylä,2020/05/01,1,"13 Linja-autot",,,,,1,1,5,5,3,4,6,2,3,3,4,3,4,4,3,4,3,,2,1
167,vt1_Sepänkylä,2020/05/01,1,"14 KAPP",1,,,1,3,,1,,1,1,,1,2,,1,1,1,,,2,,,3,3
167,vt1_Sepänkylä,2020/05/01,1,"15 KATP",1,1,,2,,,1,,2,3,1,4,4,5,2,2,3,,1,3,1,1,1,2
167,vt1_Sepänkylä,2020/05/01,1,"16 HA + PK",,1,,,,,1,,6,17,15,20,13,17,14,11,15,10,5,2,5,2,,2
167,vt1_Sepänkylä,2020/05/01,1,"17 HA + AV",,,,,,,,1,2,1,2,,,1,,,2,1,1,,1,,,
167,vt1_Sepänkylä,2020/05/01,2,"11 HA-PA",181,131,84,57,55,111,307,241,264,355,566,778,868,1039,1048,1081,1032,1046,900,763,626,471,329,223
167,vt1_Sepänkylä,2020/05/01,2,"12 KAIP",3,4,,1,1,1,1,,5,6,2,2,4,6,5,7,6,3,2,2,3,3,3,2
167,vt1_Sepänkylä,2020/05/01,2,"13 Linja-autot",4,2,,,,,2,1,1,2,2,1,4,2,3,1,2,5,2,3,4,2,3,8
167,vt1_Sepänkylä,2020/05/01,2,"14 KAPP",1,1,1,,1,,6,5,3,2,4,3,1,4,4,,1,1,1,4,5,,2,1
167,vt1_Sepänkylä,2020/05/01,2,"15 KATP",1,2,1,,,,,4,2,1,1,,1,3,3,1,2,1,1,2,2,1,2,
167,vt1_Sepänkylä,2020/05/01,2,"16 HA + PK",,,,,,,,1,4,6,6,5,13,7,13,9,5,3,9,6,3,1,1,
167,vt1_Sepänkylä,2020/05/01,2,"17 HA + AV",,,,,,,1,,1,1,,1,,,1,,1,,1,,1,,,
167,vt1_Sepänkylä,2020/05/02,1,"11 HA-PA",151,120,65,37,50,60,135,209,389,618,1001,1207,1321,1439,1436,1392,1201,1021,814,550,430,336,269,190
167,vt1_Sepänkylä,2020/05/02,1,"12 KAIP",2,2,,1,1,3,1,1,3,9,6,12,4,6,8,14,6,7,5,2,2,2,1,
167,vt1_Sepänkylä,2020/05/02,1,"13 Linja-autot",,,,,1,1,5,7,3,4,4,3,2,7,2,3,4,2,5,3,2,1,3,2
167,vt1_Sepänkylä,2020/05/02,1,"14 KAPP",,,,1,,1,3,1,2,2,2,4,,,2,,3,3,,,2,,2,3
167,vt1_Sepänkylä,2020/05/02,1,"15 KATP",,1,1,,,,,,1,2,1,1,3,4,5,7,3,2,3,,1,1,,1
167,vt1_Sepänkylä,2020/05/02,1,"16 HA + PK",,1,,,,1,1,2,4,14,13,15,18,10,18,18,16,17,9,9,1,6,,
167,vt1_Sepänkylä,2020/05/02,1,"17 HA + AV",,,,,,,1,,1,,,1,1,,,2,,2,1,,,,,
167,vt1_Sepänkylä,2020/05/02,2,"11 HA-PA",154,94,88,41,47,106,256,232,287,509,766,1016,1264,1476,1626,1550,1401,1152,1054,807,616,407,263,196
167,vt1_Sepänkylä,2020/05/02,2,"12 KAIP",2,1,,,1,,6,6,6,8,5,8,9,7,5,9,2,3,3,,1,2,,
167,vt1_Sepänkylä,2020/05/02,2,"13 Linja-autot",6,2,,,,,1,1,1,1,3,2,2,5,3,2,2,2,2,4,3,1,3,9
167,vt1_Sepänkylä,2020/05/02,2,"14 KAPP",,1,,,,,1,2,3,2,2,2,5,1,4,1,,,1,3,3,2,4,2
167,vt1_Sepänkylä,2020/05/02,2,"15 KATP",,,,1,1,,1,,,1,1,6,2,,2,1,2,1,1,2,,,,
167,vt1_Sepänkylä,2020/05/02,2,"16 HA + PK",,1,,,,,,4,3,9,15,21,17,9,19,15,16,18,10,4,8,3,,
167,vt1_Sepänkylä,2020/05/02,2,"17 HA + AV",,,,,,,,1,,,,1,,,,,2,1,,1,,,,
167,vt1_Sepänkylä,2020/05/03,1,"11 HA-PA",138,107,65,35,29,46,117,201,388,695,1105,1360,1455,1515,1453,1427,1379,1143,1022,826,633,422,260,160
167,vt1_Sepänkylä,2020/05/03,1,"12 KAIP",,,2,,,,2,1,1,3,2,6,3,2,8,3,7,4,3,6,3,5,4,2
167,vt1_Sepänkylä,2020/05/03,1,"13 Linja-autot",,,,,,1,5,5,4,4,7,2,6,4,3,4,3,2,6,3,4,1,2,1
167,vt1_Sepänkylä,2020/05/03,1,"14 KAPP",,,,,,,,,1,,2,1,1,2,1,7,12,1,1,2,5,,8,6
167,vt1_Sepänkylä,2020/05/03,1,"15 KATP",,1,,,,1,,,,3,2,4,3,2,4,4,9,7,2,1,2,1,6,4
167,vt1_Sepänkylä,2020/05/03,1,"16 HA + PK",,,,,1,,3,3,4,7,10,16,19,22,14,12,15,20,13,10,7,3,6,1
167,vt1_Sepänkylä,2020/05/03,1,"17 HA + AV",,,,,,1,,,1,1,1,1,,1,1,1,1,1,,1,,,,
167,vt1_Sepänkylä,2020/05/03,2,"11 HA-PA",145,72,46,41,32,59,167,162,223,336,552,929,1232,1514,1754,1928,2112,2170,2004,1678,1282,777,385,192
167,vt1_Sepänkylä,2020/05/03,2,"12 KAIP",1,,,,,1,,1,2,3,3,7,4,3,3,1,7,5,8,4,,4,3,1
167,vt1_Sepänkylä,2020/05/03,2,"13 Linja-autot",4,2,,,,,,1,1,2,1,3,2,3,4,3,3,4,4,3,3,2,2,5
167,vt1_Sepänkylä,2020/05/03,2,"14 KAPP",,,,,,,,,3,6,2,,1,4,3,,,,4,3,3,,8,3
167,vt1_Sepänkylä,2020/05/03,2,"15 KATP",,,,,,,1,,2,4,,1,,,,2,1,3,1,1,1,4,1,1
167,vt1_Sepänkylä,2020/05/03,2,"16 HA + PK",,,,,,,1,3,,5,13,11,18,18,22,22,27,21,20,22,20,9,9,3
167,vt1_Sepänkylä,2020/05/03,2,"17 HA + AV",,,,,,1,,,1,,,,,,,,2,,1,2,,,,
167,vt1_Sepänkylä,2020/05/04,1,"11 HA-PA",89,56,38,42,42,171,641,981,873,880,896,1084,1227,1359,1856,2829,2391,1812,1336,1005,712,474,270,192
167,vt1_Sepänkylä,2020/05/04,1,"12 KAIP",,2,2,2,2,8,24,62,81,78,82,81,98,81,96,63,40,30,14,13,7,3,4,5
167,vt1_Sepänkylä,2020/05/04,1,"13 Linja-autot",,,,,8,16,11,9,6,4,9,6,5,8,11,7,13,6,9,2,4,1,3,2
167,vt1_Sepänkylä,2020/05/04,1,"14 KAPP",1,,1,1,,3,8,13,20,20,21,19,11,12,10,20,12,3,4,2,7,3,10,4
167,vt1_Sepänkylä,2020/05/04,1,"15 KATP",1,2,1,2,2,6,14,24,18,21,22,25,32,28,20,28,29,8,5,4,8,2,3,3
167,vt1_Sepänkylä,2020/05/04,1,"16 HA + PK",,,,,,1,2,10,19,19,14,22,22,26,26,37,26,22,25,19,9,4,4,2
