"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"11 HA-PA",43,20,15,12,17,19,55,111,176,354,573,645,624,487,450,370,305,266,226,174,114,86,38,50
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"12 KAIP",3,,,1,,,2,3,1,4,5,5,4,2,6,4,6,3,4,1,1,,1,1
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"13 Linja-autot",,1,,,,,,,1,,,,1,2,1,,2,2,1,,1,,,
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"14 KAPP",4,,2,,,1,1,1,,7,3,5,1,4,1,1,3,1,1,,1,,18,14
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"15 KATP",8,4,6,6,2,1,3,7,2,9,10,10,3,8,10,14,7,5,6,4,4,2,11,6
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"16 HA + PK",,,,,,3,3,5,8,18,30,35,26,17,16,16,14,14,2,2,4,2,3,
184,vt7_Porvoo_Uusikrouvi,2020/05/01,1,"17 HA + AV",,,,,,,,,,,2,,2,1,,,1,1,,1,1,,,1
184,vt7_Porvoo_Uusikrouvi,2020/05/01,2,"11 HA-PA",29,23,17,6,9,31,87,50,56,98,145,214,230,272,289,309,293,305,326,230,182,131,94,56
184,vt7_Porvoo_Uusikrouvi,2020/05/01,2,"12 KAIP",3,2,,1,,,1,3,2,2,4,2,3,,5,3,2,3,1,1,2,1,,1
184,vt7_Porvoo_Uusikrouvi,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,2,,,,,,,,,,,
