"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
207,vt8_Pori,2020/05/01,1,"11 HA-PA",29,21,20,15,10,19,38,52,91,173,266,289,367,312,300,267,259,214,202,142,126,99,74,43
207,vt8_Pori,2020/05/01,1,"12 KAIP",,1,,,1,,,3,1,11,7,6,5,7,8,3,4,2,2,2,,3,1,1
207,vt8_Pori,2020/05/01,1,"13 Linja-autot",,,,,,,2,2,,3,3,1,,4,,,,,1,,1,,,
207,vt8_Pori,2020/05/01,1,"14 KAPP",,,1,,,,,2,,8,,3,,1,1,,,1,,,,1,1,
207,vt8_Pori,2020/05/01,1,"15 KATP",6,4,2,1,2,1,4,3,1,8,2,7,5,1,4,7,5,4,1,4,5,4,3,
207,vt8_Pori,2020/05/01,1,"16 HA + PK",1,1,,,,,2,3,9,11,24,19,18,16,9,14,8,10,6,6,4,,1,1
207,vt8_Pori,2020/05/01,1,"17 HA + AV",,,,,,1,,,3,2,1,3,2,4,,1,2,1,2,1,1,1,,
207,vt8_Pori,2020/05/01,2,"11 HA-PA",48,23,19,12,9,25,45,41,42,89,156,182,269,287,298,313,265,240,201,186,166,112,82,53
207,vt8_Pori,2020/05/01,2,"12 KAIP",,,,,,1,1,,2,2,3,2,10,5,9,7,,5,2,4,4,,,1
207,vt8_Pori,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,,1,2,,2,,,1,,,,1
207,vt8_Pori,2020/05/01,2,"14 KAPP",,,1,,,1,,,1,,1,1,,1,1,,,1,,3,,,,
207,vt8_Pori,2020/05/01,2,"15 KATP",3,2,,2,4,3,6,1,5,7,5,9,5,1,3,7,4,7,3,4,5,2,3,1
207,vt8_Pori,2020/05/01,2,"16 HA + PK",,,,,1,1,1,,2,10,8,11,14,10,26,10,16,11,12,6,5,5,,1
207,vt8_Pori,2020/05/01,2,"17 HA + AV",,,,,,,,,1,,,,,6,2,4,4,1,2,,,,,1
207,vt8_Pori,2020/05/02,1,"11 HA-PA",37,33,16,13,10,25,41,55,105,171,264,369,410,428,431,357,290,240,204,148,107,90,51,37
207,vt8_Pori,2020/05/02,1,"12 KAIP",,1,1,,2,,4,3,6,7,7,4,7,5,4,5,4,7,1,4,1,,1,
207,vt8_Pori,2020/05/02,1,"13 Linja-autot",1,,,,,,,,,1,2,3,3,,,1,1,,,,,,,
207,vt8_Pori,2020/05/02,1,"14 KAPP",,,,,,,,,2,3,2,,,,1,,,1,,,,2,,
207,vt8_Pori,2020/05/02,1,"15 KATP",1,2,1,2,1,2,2,3,3,2,4,6,2,6,4,2,11,3,8,3,2,2,,3
207,vt8_Pori,2020/05/02,1,"16 HA + PK",,,,,,2,1,,8,9,23,29,27,25,20,19,20,12,11,5,6,2,,1
207,vt8_Pori,2020/05/02,1,"17 HA + AV",,,,,,,,,,3,,3,3,1,4,2,3,1,2,1,1,,,
207,vt8_Pori,2020/05/02,2,"11 HA-PA",47,29,16,15,20,27,51,61,123,185,272,347,296,313,326,330,339,295,293,230,194,135,87,57
207,vt8_Pori,2020/05/02,2,"12 KAIP",,1,1,,1,1,2,3,5,9,10,7,4,3,3,4,10,3,3,5,,,1,
207,vt8_Pori,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,1,,,1,,,,
207,vt8_Pori,2020/05/02,2,"14 KAPP",1,,,1,,,,2,,,2,1,,,1,,1,,,1,1,,,
207,vt8_Pori,2020/05/02,2,"15 KATP",1,,,1,1,2,4,,5,8,9,2,4,6,5,6,5,6,6,3,3,9,4,1
207,vt8_Pori,2020/05/02,2,"16 HA + PK",,,,,,,4,3,4,11,22,17,26,34,23,13,17,20,16,11,15,6,1,1
207,vt8_Pori,2020/05/02,2,"17 HA + AV",,,,,1,,,1,2,2,1,3,2,5,2,3,1,1,2,2,,1,,1
207,vt8_Pori,2020/05/03,1,"11 HA-PA",35,25,19,13,11,15,37,53,85,154,243,310,357,342,325,353,318,284,257,166,115,92,46,13
207,vt8_Pori,2020/05/03,1,"12 KAIP",1,1,,,,1,2,,,2,3,3,4,4,1,1,2,1,2,1,1,,,1
207,vt8_Pori,2020/05/03,1,"13 Linja-autot",1,,,,1,,,1,,,1,1,,1,1,,,1,,,,,1,
207,vt8_Pori,2020/05/03,1,"14 KAPP",,,,,,,,,2,1,2,,3,3,4,2,2,3,4,5,2,,,
207,vt8_Pori,2020/05/03,1,"15 KATP",2,,1,,,1,2,2,5,5,5,5,4,13,6,7,6,14,3,12,5,3,3,3
207,vt8_Pori,2020/05/03,1,"16 HA + PK",1,,1,1,,,4,5,14,22,24,21,25,15,23,26,13,12,17,12,5,3,1,2
207,vt8_Pori,2020/05/03,1,"17 HA + AV",,,,,,,1,,,1,2,1,3,,4,2,1,2,1,1,1,3,2,
207,vt8_Pori,2020/05/03,2,"11 HA-PA",28,16,23,11,19,24,41,36,50,77,175,247,364,413,441,488,522,532,421,369,247,181,63,32
207,vt8_Pori,2020/05/03,2,"12 KAIP",,,,,1,,2,1,1,2,5,4,5,2,5,2,7,4,6,3,3,2,1,
207,vt8_Pori,2020/05/03,2,"13 Linja-autot",,,,,,,,,1,2,,1,1,,,1,,,,,,1,,
207,vt8_Pori,2020/05/03,2,"14 KAPP",,1,,,,,,,1,,,,1,,,1,3,1,1,,3,,1,
207,vt8_Pori,2020/05/03,2,"15 KATP",1,2,,2,3,4,3,3,3,4,8,3,4,3,2,8,6,10,12,8,10,7,5,6
207,vt8_Pori,2020/05/03,2,"16 HA + PK",2,,,,,3,,2,5,7,13,30,43,16,42,32,61,44,28,34,18,15,8,1
207,vt8_Pori,2020/05/03,2,"17 HA + AV",,,,,,,,,,1,1,,2,6,3,3,4,3,3,3,4,3,,2
207,vt8_Pori,2020/05/04,1,"11 HA-PA",19,8,7,10,17,69,206,186,215,238,271,277,302,333,420,589,572,375,273,200,134,104,77,24
207,vt8_Pori,2020/05/04,1,"12 KAIP",1,,1,2,4,4,15,13,21,19,12,14,11,14,16,11,7,7,7,2,6,,2,1
207,vt8_Pori,2020/05/04,1,"13 Linja-autot",,,1,,,2,2,4,4,1,,2,6,1,1,2,3,,,1,,,,
