"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
244,vt1_Paimio_Vista,2020/05/01,1,"11 HA-PA",44,14,16,17,8,8,43,51,56,123,199,285,317,306,311,275,260,236,229,176,138,97,75,48
244,vt1_Paimio_Vista,2020/05/01,1,"12 KAIP",5,,1,2,1,1,,1,1,1,1,3,2,5,1,5,2,7,1,1,1,1,2,1
244,vt1_Paimio_Vista,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,1,,,,2,1,,1,,,1,,,
244,vt1_Paimio_Vista,2020/05/01,1,"14 KAPP",,2,2,,,1,4,2,2,5,,3,2,,5,6,3,3,5,1,1,2,,3
244,vt1_Paimio_Vista,2020/05/01,1,"15 KATP",3,8,8,7,2,3,1,8,3,4,2,3,4,7,4,2,1,6,5,5,5,5,1,4
244,vt1_Paimio_Vista,2020/05/01,1,"16 HA + PK",,,,1,,,1,1,,2,12,11,11,7,8,9,10,5,5,4,4,2,2,2
244,vt1_Paimio_Vista,2020/05/01,1,"17 HA + AV",,,1,,,,,1,1,4,2,,1,,1,2,2,1,1,,,,,
244,vt1_Paimio_Vista,2020/05/01,2,"11 HA-PA",25,23,16,15,12,17,28,44,91,135,197,263,265,294,286,250,230,197,175,156,132,82,56,45
244,vt1_Paimio_Vista,2020/05/01,2,"12 KAIP",1,1,2,,,,2,2,3,4,5,9,4,5,6,3,3,6,3,1,1,,2,
244,vt1_Paimio_Vista,2020/05/01,2,"13 Linja-autot",,,,,,,,1,,,,1,1,1,,,,,1,,,,,
244,vt1_Paimio_Vista,2020/05/01,2,"14 KAPP",1,,1,1,1,2,2,7,30,7,9,2,3,2,1,1,3,,1,5,47,5,,
244,vt1_Paimio_Vista,2020/05/01,2,"15 KATP",3,1,3,1,1,,2,14,14,3,2,6,7,6,5,6,6,4,3,4,23,4,,
244,vt1_Paimio_Vista,2020/05/01,2,"16 HA + PK",,,,,,1,,,3,9,13,6,4,10,10,4,6,9,3,6,2,3,,1
244,vt1_Paimio_Vista,2020/05/01,2,"17 HA + AV",,,,,,,,1,,2,1,3,1,1,1,1,3,4,1,,1,,,
244,vt1_Paimio_Vista,2020/05/02,1,"11 HA-PA",28,19,21,13,5,13,48,54,67,127,215,310,335,317,297,321,284,248,237,211,147,105,77,49
244,vt1_Paimio_Vista,2020/05/02,1,"12 KAIP",,,1,,,1,2,1,3,3,2,2,4,7,2,2,5,6,3,2,1,,1,1
244,vt1_Paimio_Vista,2020/05/02,1,"13 Linja-autot",,,,,,,,,,1,2,,1,,1,1,,1,,1,1,,,
244,vt1_Paimio_Vista,2020/05/02,1,"14 KAPP",,3,,,,1,1,,2,2,3,4,7,4,4,2,4,9,5,4,8,6,3,
244,vt1_Paimio_Vista,2020/05/02,1,"15 KATP",1,2,4,2,1,2,4,3,4,7,4,7,1,5,7,7,10,9,7,1,3,1,1,2
244,vt1_Paimio_Vista,2020/05/02,1,"16 HA + PK",1,,,,,,,1,1,3,11,13,17,12,15,10,13,5,6,1,5,1,1,
244,vt1_Paimio_Vista,2020/05/02,1,"17 HA + AV",,,,,,,1,1,3,1,3,1,1,7,,1,,,3,,,,,1
244,vt1_Paimio_Vista,2020/05/02,2,"11 HA-PA",32,16,9,7,11,16,31,51,86,168,180,285,293,321,347,372,327,275,254,182,126,99,55,49
244,vt1_Paimio_Vista,2020/05/02,2,"12 KAIP",1,1,,,,1,2,4,6,4,7,8,6,1,,2,6,2,3,2,1,3,,
244,vt1_Paimio_Vista,2020/05/02,2,"13 Linja-autot",,,,,,,,,2,,,,1,,,1,1,1,,1,,,,
244,vt1_Paimio_Vista,2020/05/02,2,"14 KAPP",,,,1,,,3,12,10,3,5,3,2,5,3,,,1,1,14,22,,,
244,vt1_Paimio_Vista,2020/05/02,2,"15 KATP",1,,4,,2,5,3,8,7,2,4,7,7,4,8,7,1,2,2,2,5,,,
244,vt1_Paimio_Vista,2020/05/02,2,"16 HA + PK",1,,,,,1,,3,8,9,8,10,12,7,11,23,14,12,7,4,6,1,,
244,vt1_Paimio_Vista,2020/05/02,2,"17 HA + AV",,,,,,,,2,1,,3,2,3,1,2,4,,2,1,2,,,1,
244,vt1_Paimio_Vista,2020/05/03,1,"11 HA-PA",31,33,11,7,13,12,45,44,73,95,166,277,320,305,343,362,391,390,429,351,258,166,91,47
244,vt1_Paimio_Vista,2020/05/03,1,"12 KAIP",2,,,,,1,1,,,2,2,2,2,2,2,4,,4,10,5,7,,,4
244,vt1_Paimio_Vista,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,1,,,1,1,1,2,3,,,3,,,
244,vt1_Paimio_Vista,2020/05/03,1,"14 KAPP",2,,,1,,3,,1,3,2,1,2,,3,6,6,8,16,8,5,8,14,3,4
244,vt1_Paimio_Vista,2020/05/03,1,"15 KATP",1,,1,,,1,3,2,5,2,4,1,4,4,2,7,8,8,9,7,6,5,4,5
244,vt1_Paimio_Vista,2020/05/03,1,"16 HA + PK",,,,,,,,2,3,4,5,13,7,13,10,18,14,9,8,4,11,2,1,1
244,vt1_Paimio_Vista,2020/05/03,1,"17 HA + AV",,,,,,,,1,1,,1,,,1,1,1,,,4,1,1,,1,1
244,vt1_Paimio_Vista,2020/05/03,2,"11 HA-PA",29,14,17,7,8,5,28,45,76,121,229,332,402,461,530,572,627,615,600,482,348,187,72,33
244,vt1_Paimio_Vista,2020/05/03,2,"12 KAIP",,,,,1,,,,4,1,2,6,6,1,5,5,7,9,9,6,4,5,3,3
244,vt1_Paimio_Vista,2020/05/03,2,"13 Linja-autot",,,,,,,,,,1,,,,2,,,,2,1,,1,3,,2
244,vt1_Paimio_Vista,2020/05/03,2,"14 KAPP",,,,1,,,,9,2,3,,2,4,1,2,2,2,5,5,15,31,5,1,
244,vt1_Paimio_Vista,2020/05/03,2,"15 KATP",,,,,1,,3,6,11,7,10,5,8,7,6,12,7,18,9,27,26,5,4,5
244,vt1_Paimio_Vista,2020/05/03,2,"16 HA + PK",,,,,,,,1,5,3,10,11,14,13,14,17,16,19,15,20,15,5,3,
244,vt1_Paimio_Vista,2020/05/03,2,"17 HA + AV",,,,,,,,,,2,4,4,3,2,5,2,2,4,1,2,6,4,,
244,vt1_Paimio_Vista,2020/05/04,1,"11 HA-PA",20,14,8,6,20,138,457,415,314,209,239,212,257,267,245,306,390,300,217,187,132,111,60,49
244,vt1_Paimio_Vista,2020/05/04,1,"12 KAIP",2,3,3,1,3,4,13,9,13,9,6,12,17,12,13,10,16,18,7,6,4,2,1,1
244,vt1_Paimio_Vista,2020/05/04,1,"13 Linja-autot",1,,,,,,3,3,1,,2,,,,3,1,3,1,1,1,1,,,
244,vt1_Paimio_Vista,2020/05/04,1,"14 KAPP",4,4,2,5,2,10,12,25,16,39,20,28,29,26,28,28,38,38,29,17,20,12,5,2
244,vt1_Paimio_Vista,2020/05/04,1,"15 KATP",5,6,4,9,3,7,10,8,15,16,23,29,17,18,26,32,35,38,35,18,15,14,17,12
244,vt1_Paimio_Vista,2020/05/04,1,"16 HA + PK",1,,,,,2,5,4,5,9,9,7,7,13,4,7,9,9,8,3,1,3,,
244,vt1_Paimio_Vista,2020/05/04,1,"17 HA + AV",,,,,,,2,,2,1,,4,4,2,3,5,2,2,,1,,,1,
244,vt1_Paimio_Vista,2020/05/04,2,"11 HA-PA",13,14,11,9,50,152,255,382,254,188,178,223,238,263,352,486,478,320,283,188,160,101,52,31
244,vt1_Paimio_Vista,2020/05/04,2,"12 KAIP",2,2,2,1,5,7,8,19,17,10,20,15,6,18,18,19,16,17,7,7,5,7,1,3
244,vt1_Paimio_Vista,2020/05/04,2,"13 Linja-autot",,,,,,1,,4,2,1,2,1,2,2,1,2,1,,1,,1,1,,
244,vt1_Paimio_Vista,2020/05/04,2,"14 KAPP",2,,3,2,8,3,13,20,50,30,21,29,25,8,18,20,10,13,10,14,18,4,6,1
244,vt1_Paimio_Vista,2020/05/04,2,"15 KATP",1,4,1,3,11,20,24,27,39,31,32,27,28,23,19,32,23,21,16,18,22,21,7,6
244,vt1_Paimio_Vista,2020/05/04,2,"16 HA + PK",,,,,1,4,7,10,9,6,6,7,8,4,7,7,12,19,11,4,9,3,1,2
244,vt1_Paimio_Vista,2020/05/04,2,"17 HA + AV",1,,,,3,,1,3,7,2,2,4,2,3,4,6,2,1,2,,2,1,1,
244,vt1_Paimio_Vista,2020/05/05,1,"11 HA-PA",23,8,12,5,12,120,430,357,278,272,225,258,261,257,274,329,429,320,234,210,144,113,66,52
244,vt1_Paimio_Vista,2020/05/05,1,"12 KAIP",1,4,2,3,2,4,7,15,7,11,10,9,8,11,7,16,13,8,5,1,3,2,3,2
244,vt1_Paimio_Vista,2020/05/05,1,"13 Linja-autot",,,,,,,3,2,,,1,,1,1,3,1,1,1,,,2,,,
244,vt1_Paimio_Vista,2020/05/05,1,"14 KAPP",5,6,2,6,2,3,11,10,21,17,25,26,13,22,17,23,30,26,21,12,22,7,8,5
244,vt1_Paimio_Vista,2020/05/05,1,"15 KATP",8,12,14,6,11,7,13,22,14,19,18,21,16,17,19,33,21,25,23,27,19,8,9,16
244,vt1_Paimio_Vista,2020/05/05,1,"16 HA + PK",1,,,,,1,9,3,4,7,6,6,5,8,3,5,9,9,3,13,5,4,1,2
