"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
254,st180_Kuusisto,2020/05/01,1,"11 HA-PA",36,9,15,17,7,13,33,62,81,145,237,341,295,307,315,300,253,196,184,117,83,64,39,29
254,st180_Kuusisto,2020/05/01,1,"12 KAIP",,,,,,,1,,3,1,,,1,2,,,,1,1,1,,,,
254,st180_Kuusisto,2020/05/01,1,"13 Linja-autot",,,,,,,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
254,st180_Kuusisto,2020/05/01,1,"14 KAPP",,,1,,,1,,,1,1,1,1,,,1,,,,,,1,,,1
254,st180_Kuusisto,2020/05/01,1,"15 KATP",,,,,,1,2,2,4,,1,2,1,1,,1,,1,,1,1,,2,1
254,st180_Kuusisto,2020/05/01,1,"16 HA + PK",,,,,,,1,3,1,9,14,15,13,18,10,6,11,2,6,8,2,,,
254,st180_Kuusisto,2020/05/01,1,"17 HA + AV",,,,,,,,,2,1,2,1,2,1,,,,,,,,,,
254,st180_Kuusisto,2020/05/01,2,"11 HA-PA",26,25,10,7,11,13,47,41,50,90,114,165,232,306,269,266,237,188,209,203,104,71,52,34
254,st180_Kuusisto,2020/05/01,2,"12 KAIP",,,,,,1,,,,1,3,3,1,3,,,,2,,,,,,
254,st180_Kuusisto,2020/05/01,2,"13 Linja-autot",1,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
254,st180_Kuusisto,2020/05/01,2,"14 KAPP",1,,,,1,,,2,,1,2,,1,2,,,,,1,,,1,,
254,st180_Kuusisto,2020/05/01,2,"15 KATP",,,,,,,,,2,2,2,3,,1,1,,,2,1,,,1,1,1
254,st180_Kuusisto,2020/05/01,2,"16 HA + PK",1,,,,,,,1,,6,3,9,11,9,5,13,6,7,6,7,5,,,
254,st180_Kuusisto,2020/05/01,2,"17 HA + AV",,,,,,,,,,,2,,,1,1,,,,1,,,,,
254,st180_Kuusisto,2020/05/02,1,"11 HA-PA",17,9,9,5,4,15,28,55,73,125,212,278,319,370,366,344,305,239,193,143,90,73,58,32
254,st180_Kuusisto,2020/05/02,1,"12 KAIP",,1,,1,,,,5,3,3,3,4,1,2,2,1,3,2,,,,,,
254,st180_Kuusisto,2020/05/02,1,"13 Linja-autot",,,,,,,1,3,2,2,2,3,2,3,2,2,2,2,3,2,1,1,1,1
254,st180_Kuusisto,2020/05/02,1,"14 KAPP",,,1,,1,,,,1,1,,1,,,1,,1,,1,,,,1,
254,st180_Kuusisto,2020/05/02,1,"15 KATP",,,,,,1,,1,,1,2,,2,,,,1,,,2,,,,
254,st180_Kuusisto,2020/05/02,1,"16 HA + PK",,,,,,1,1,,1,7,14,18,20,11,17,10,12,5,7,4,2,3,,
254,st180_Kuusisto,2020/05/02,1,"17 HA + AV",,,,,,,,,,1,,1,,,1,1,,1,,,,,,
254,st180_Kuusisto,2020/05/02,2,"11 HA-PA",9,21,9,4,9,16,52,46,72,138,242,294,347,354,321,284,283,268,199,187,131,93,65,39
254,st180_Kuusisto,2020/05/02,2,"12 KAIP",,,,,1,,,,3,1,4,2,3,3,,,2,4,2,2,1,,,
254,st180_Kuusisto,2020/05/02,2,"13 Linja-autot",1,,,,,,,2,2,3,2,3,2,3,3,2,3,3,2,2,1,1,1,1
254,st180_Kuusisto,2020/05/02,2,"14 KAPP",1,,,,,1,,1,,,1,1,1,,1,,,1,,,,1,,
254,st180_Kuusisto,2020/05/02,2,"15 KATP",1,,,,,,,1,1,,,2,1,,3,,,,,,1,,,
254,st180_Kuusisto,2020/05/02,2,"16 HA + PK",1,,,,,,,2,3,5,13,17,17,12,12,15,10,5,9,3,5,1,1,
254,st180_Kuusisto,2020/05/02,2,"17 HA + AV",,,,,,,,,,,1,2,1,1,,2,,2,,,,,,
254,st180_Kuusisto,2020/05/03,1,"11 HA-PA",19,20,7,5,6,4,33,43,97,183,288,364,379,401,331,329,273,223,185,149,113,81,33,18
254,st180_Kuusisto,2020/05/03,1,"12 KAIP",,1,1,,,,,,,1,,1,2,,1,2,,1,2,1,,,,
254,st180_Kuusisto,2020/05/03,1,"13 Linja-autot",,,,,,,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1
254,st180_Kuusisto,2020/05/03,1,"14 KAPP",,,,,,,,,,,,1,,,,,,3,,,1,1,,
254,st180_Kuusisto,2020/05/03,1,"15 KATP",,,,,,,1,,2,,,2,,,2,1,2,5,,2,1,2,1,2
254,st180_Kuusisto,2020/05/03,1,"16 HA + PK",,,,,1,,1,9,4,5,13,15,14,10,16,3,15,3,14,11,6,1,1,
254,st180_Kuusisto,2020/05/03,1,"17 HA + AV",,,,,,,,2,,,1,4,1,1,,1,1,2,2,,,,,
254,st180_Kuusisto,2020/05/03,2,"11 HA-PA",28,19,7,8,6,12,31,25,42,90,187,240,369,409,489,551,628,593,562,433,356,156,68,15
254,st180_Kuusisto,2020/05/03,2,"12 KAIP",,,,,,,1,1,1,,1,1,2,,1,1,1,2,2,1,1,1,1,
254,st180_Kuusisto,2020/05/03,2,"13 Linja-autot",1,,,,,,,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1
254,st180_Kuusisto,2020/05/03,2,"14 KAPP",,,,,,,,,,,,,,,1,1,,,,,,,,
254,st180_Kuusisto,2020/05/03,2,"15 KATP",,,,,,,,3,,2,1,,,,1,1,1,1,2,2,,1,,
254,st180_Kuusisto,2020/05/03,2,"16 HA + PK",,,,,,2,,,2,6,14,15,21,27,24,26,32,34,32,38,29,9,3,2
254,st180_Kuusisto,2020/05/03,2,"17 HA + AV",,,,,1,1,,,,,2,1,1,1,5,1,,4,1,1,4,1,1,
254,st180_Kuusisto,2020/05/04,1,"11 HA-PA",9,5,4,2,9,55,221,262,257,193,197,251,294,302,346,487,541,400,283,201,139,110,47,28
254,st180_Kuusisto,2020/05/04,1,"12 KAIP",1,2,1,1,,4,6,13,17,12,14,14,8,7,11,7,9,3,4,3,1,1,,1
254,st180_Kuusisto,2020/05/04,1,"13 Linja-autot",,,,,1,2,3,3,2,1,2,2,2,4,2,3,2,2,2,2,2,1,1,1
254,st180_Kuusisto,2020/05/04,1,"14 KAPP",,,,,,1,3,5,5,3,7,6,5,4,5,4,2,4,4,2,,,,
254,st180_Kuusisto,2020/05/04,1,"15 KATP",1,1,,,,3,12,4,7,12,9,5,12,9,16,9,5,2,4,5,1,2,3,2
254,st180_Kuusisto,2020/05/04,1,"16 HA + PK",,,,,,,3,6,13,15,17,12,8,14,22,8,11,21,13,11,6,5,1,
254,st180_Kuusisto,2020/05/04,1,"17 HA + AV",,,,,,,,3,,3,1,2,1,,1,,3,3,,,1,1,,
254,st180_Kuusisto,2020/05/04,2,"11 HA-PA",7,4,4,6,17,76,288,400,284,245,245,299,253,301,356,451,434,327,275,219,181,104,57,36
254,st180_Kuusisto,2020/05/04,2,"12 KAIP",1,,1,,1,,5,8,13,6,7,16,10,12,15,13,10,2,2,1,3,1,1,
254,st180_Kuusisto,2020/05/04,2,"13 Linja-autot",1,,,,,2,4,2,3,2,2,3,2,2,2,2,2,4,3,2,2,1,1,1
254,st180_Kuusisto,2020/05/04,2,"14 KAPP",,,,,1,,,3,3,6,6,4,6,4,4,9,3,3,4,1,8,,,
254,st180_Kuusisto,2020/05/04,2,"15 KATP",1,,,1,,1,4,12,11,8,9,11,5,10,8,8,12,10,5,7,3,2,,
254,st180_Kuusisto,2020/05/04,2,"16 HA + PK",,,,,,2,4,11,12,11,11,14,8,14,14,16,17,20,18,12,5,2,4,
254,st180_Kuusisto,2020/05/04,2,"17 HA + AV",,,,,,1,2,2,,,1,2,,2,,1,3,1,,,,,,
254,st180_Kuusisto,2020/05/05,1,"11 HA-PA",12,4,5,3,2,60,232,298,270,266,291,345,326,344,337,501,576,401,276,206,160,82,57,28
254,st180_Kuusisto,2020/05/05,1,"12 KAIP",,2,,1,2,3,10,5,11,13,9,13,8,13,5,8,7,2,2,3,1,1,1,1
254,st180_Kuusisto,2020/05/05,1,"13 Linja-autot",,,,,1,2,3,3,2,1,2,2,2,3,2,3,2,2,2,2,1,2,1,1
254,st180_Kuusisto,2020/05/05,1,"14 KAPP",,,,,,,1,2,2,7,4,3,3,4,7,3,2,,1,,3,1,,
254,st180_Kuusisto,2020/05/05,1,"15 KATP",1,1,1,1,5,2,10,9,7,12,9,19,12,14,8,8,6,7,3,8,5,1,1,4
254,st180_Kuusisto,2020/05/05,1,"16 HA + PK",,,,,1,1,1,12,18,17,21,15,16,13,15,12,18,17,11,11,7,4,2,
254,st180_Kuusisto,2020/05/05,1,"17 HA + AV",,,,,,,,1,,,1,2,,,,,1,2,,,,,,
254,st180_Kuusisto,2020/05/05,2,"11 HA-PA",9,3,2,8,13,82,286,392,240,216,234,275,256,270,343,490,479,365,305,252,232,125,66,27
254,st180_Kuusisto,2020/05/05,2,"12 KAIP",,,1,,1,2,6,10,7,7,6,20,11,9,21,9,7,2,3,2,1,1,,1
254,st180_Kuusisto,2020/05/05,2,"13 Linja-autot",1,,,,,2,2,2,3,2,1,3,2,2,2,2,2,3,2,2,2,1,1,1
254,st180_Kuusisto,2020/05/05,2,"14 KAPP",,,,,,,,1,6,2,7,3,2,,6,6,1,4,,,,,,
254,st180_Kuusisto,2020/05/05,2,"15 KATP",1,2,1,1,,3,9,8,9,9,9,8,13,21,12,12,7,5,8,3,2,5,2,
254,st180_Kuusisto,2020/05/05,2,"16 HA + PK",,,,,,1,2,6,8,8,13,8,11,9,14,12,26,11,17,13,14,3,3,1
254,st180_Kuusisto,2020/05/05,2,"17 HA + AV",,,,,,,1,,1,1,1,,,2,,,2,1,1,,,,,
254,st180_Kuusisto,2020/05/06,1,"11 HA-PA",18,4,7,4,6,58,231,284,261,268,269,271,319,336,375,469,591,403,323,215,182,101,62,29
254,st180_Kuusisto,2020/05/06,1,"12 KAIP",,1,1,1,1,6,11,9,19,8,12,11,7,9,6,11,5,4,1,1,3,1,,
254,st180_Kuusisto,2020/05/06,1,"13 Linja-autot",,,,,1,3,2,3,2,3,2,2,2,3,2,3,3,2,2,2,1,1,1,1
254,st180_Kuusisto,2020/05/06,1,"14 KAPP",,,,,,,2,4,4,2,4,4,5,5,,3,,2,,2,,1,,
254,st180_Kuusisto,2020/05/06,1,"15 KATP",,2,,,,10,11,7,11,10,9,15,13,8,10,9,9,9,7,3,1,1,2,1
254,st180_Kuusisto,2020/05/06,1,"16 HA + PK",,,,,,,3,16,16,15,12,13,17,13,12,16,19,13,12,5,10,,1,
