"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
3,kt51_Kivenlahti,2020/05/01,1,"11 HA-PA",176,137,103,68,62,70,177,194,293,437,714,994,1115,1195,1189,1121,932,872,717,539,435,361,256,185
3,kt51_Kivenlahti,2020/05/01,1,"12 KAIP",2,,2,,,1,,1,3,4,6,2,4,4,5,5,5,1,2,2,4,1,,1
3,kt51_Kivenlahti,2020/05/01,1,"13 Linja-autot",2,2,,,,8,11,8,5,8,8,8,6,9,7,8,8,8,8,7,6,6,6,4
3,kt51_Kivenlahti,2020/05/01,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,,1
3,kt51_Kivenlahti,2020/05/01,1,"15 KATP",,,,,,,,,1,,,,1,,,1,,,1,,,,1,
3,kt51_Kivenlahti,2020/05/01,1,"16 HA + PK",1,,,,1,,1,2,3,5,9,3,16,10,10,5,6,5,3,2,,1,,
3,kt51_Kivenlahti,2020/05/01,1,"17 HA + AV",1,,,,,,,1,,,1,2,3,,1,,3,1,1,,,1,,
3,kt51_Kivenlahti,2020/05/01,2,"11 HA-PA",101,61,69,62,39,62,177,119,160,269,407,555,706,774,838,843,863,756,647,542,406,287,178,148
3,kt51_Kivenlahti,2020/05/01,2,"12 KAIP",2,1,,,,,5,3,2,5,4,6,3,5,4,4,2,3,2,2,3,1,3,1
3,kt51_Kivenlahti,2020/05/01,2,"13 Linja-autot",3,3,2,,,,,,1,,,1,1,2,1,1,,2,,1,,1,1,9
3,kt51_Kivenlahti,2020/05/01,2,"14 KAPP",,2,,,,,,,,,,,1,,,,,,,,,1,,
3,kt51_Kivenlahti,2020/05/01,2,"15 KATP",,,1,,,,1,,2,,1,,1,,,,,1,,,,1,,
3,kt51_Kivenlahti,2020/05/01,2,"16 HA + PK",,,,,,,,1,4,6,5,5,5,8,7,6,4,3,3,3,,3,1,
3,kt51_Kivenlahti,2020/05/01,2,"17 HA + AV",1,1,,,,,,,,,1,3,2,1,1,1,3,1,,,,,,
3,kt51_Kivenlahti,2020/05/02,1,"11 HA-PA",149,115,71,36,36,35,137,168,255,510,790,939,1184,1312,1289,1297,1042,968,747,485,391,324,229,156
3,kt51_Kivenlahti,2020/05/02,1,"12 KAIP",,,,2,,1,6,8,9,5,7,4,6,5,4,4,5,2,5,,1,4,2,2
3,kt51_Kivenlahti,2020/05/02,1,"13 Linja-autot",3,1,,,,6,13,9,6,8,7,8,8,8,6,9,8,5,11,7,5,7,5,4
3,kt51_Kivenlahti,2020/05/02,1,"14 KAPP",,,,,1,,1,1,1,,1,1,,,,,1,,,,,,,
3,kt51_Kivenlahti,2020/05/02,1,"15 KATP",,,,1,,,,,,,1,2,1,1,1,,1,,,,,,,
3,kt51_Kivenlahti,2020/05/02,1,"16 HA + PK",,,,,,,,2,1,8,10,12,10,10,10,11,11,10,6,5,1,2,,1
3,kt51_Kivenlahti,2020/05/02,1,"17 HA + AV",,,,,,1,,1,1,1,,2,1,,1,,1,1,1,1,,,1,
3,kt51_Kivenlahti,2020/05/02,2,"11 HA-PA",86,63,56,29,20,55,112,128,187,443,630,871,915,1029,1093,1032,938,747,516,402,288,209,145,94
3,kt51_Kivenlahti,2020/05/02,2,"12 KAIP",1,,,1,1,1,3,4,5,11,9,7,8,8,7,7,4,3,5,3,2,2,2,1
3,kt51_Kivenlahti,2020/05/02,2,"13 Linja-autot",4,3,2,,,,,,,,,1,,,1,,,,,,,1,1,11
3,kt51_Kivenlahti,2020/05/02,2,"14 KAPP",,,,,,,,,,,2,1,,1,,,,,,,,,,
