"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
404,vt9_Kangasala_Suinula,2020/05/01,1,"11 HA-PA",17,14,8,11,7,17,40,90,95,228,354,376,384,356,338,293,232,185,135,97,82,63,34,27
404,vt9_Kangasala_Suinula,2020/05/01,1,"12 KAIP",3,1,,,1,,1,3,4,3,3,6,1,6,4,3,2,1,,1,,2,,
404,vt9_Kangasala_Suinula,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,1,,,1,
404,vt9_Kangasala_Suinula,2020/05/01,1,"14 KAPP",2,2,,,1,1,,,1,3,2,1,2,1,,,1,,,1,,,1,2
404,vt9_Kangasala_Suinula,2020/05/01,1,"15 KATP",9,1,6,4,4,2,6,4,4,3,7,2,7,6,3,5,1,1,3,2,6,6,7,2
404,vt9_Kangasala_Suinula,2020/05/01,1,"16 HA + PK",,,,,1,,3,4,9,15,25,24,18,13,12,11,10,9,6,9,1,2,,
404,vt9_Kangasala_Suinula,2020/05/01,1,"17 HA + AV",,,,,,,1,,4,,3,6,6,4,3,3,1,,1,1,,,,1
404,vt9_Kangasala_Suinula,2020/05/01,2,"11 HA-PA",24,16,13,5,8,16,30,27,42,74,110,150,191,215,210,240,242,220,207,153,123,79,60,55
404,vt9_Kangasala_Suinula,2020/05/01,2,"12 KAIP",1,1,,,,1,2,2,,1,3,1,1,4,5,5,1,,3,3,,,,
404,vt9_Kangasala_Suinula,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,1,,,,,1,,1,,1,,,,
404,vt9_Kangasala_Suinula,2020/05/01,2,"14 KAPP",1,2,2,1,,,,,,,4,2,1,3,2,,1,,,,,,,
404,vt9_Kangasala_Suinula,2020/05/01,2,"15 KATP",3,8,9,9,4,5,2,1,3,8,4,2,8,5,3,8,9,5,3,3,,1,1,1
404,vt9_Kangasala_Suinula,2020/05/01,2,"16 HA + PK",1,1,,,1,,,1,2,8,5,7,10,11,18,11,6,10,7,13,8,2,,
404,vt9_Kangasala_Suinula,2020/05/01,2,"17 HA + AV",1,,,,,,1,1,,1,3,3,,1,4,4,,1,3,1,5,,,
404,vt9_Kangasala_Suinula,2020/05/02,1,"11 HA-PA",13,12,9,6,9,14,29,55,110,213,271,276,276,314,267,238,201,199,167,116,65,60,50,30
404,vt9_Kangasala_Suinula,2020/05/02,1,"12 KAIP",1,1,,,2,,1,,4,1,4,3,4,5,3,1,2,3,3,1,2,,,
404,vt9_Kangasala_Suinula,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,2,2,,1,,,,,,1,,,,
404,vt9_Kangasala_Suinula,2020/05/02,1,"14 KAPP",,1,,,1,,,2,1,1,,,,,4,,,,1,,,1,,1
