"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
465,vt3_Hämeenlinna_E,2020/05/01,1,"11 HA-PA",49,39,30,26,12,35,66,85,173,357,524,704,706,645,568,471,444,336,316,271,225,160,92,72
465,vt3_Hämeenlinna_E,2020/05/01,1,"12 KAIP",3,,2,2,,2,1,2,1,2,12,,9,3,3,5,7,6,4,1,1,3,1,1
465,vt3_Hämeenlinna_E,2020/05/01,1,"13 Linja-autot",,,1,,,,,,1,1,,,1,,,,1,1,1,1,,1,,
465,vt3_Hämeenlinna_E,2020/05/01,1,"14 KAPP",4,,1,1,1,1,1,1,,1,2,6,2,5,4,1,4,1,,4,,5,,2
465,vt3_Hämeenlinna_E,2020/05/01,1,"15 KATP",16,10,3,7,5,5,2,4,4,8,5,11,13,10,8,5,8,5,6,12,9,5,3,5
465,vt3_Hämeenlinna_E,2020/05/01,1,"16 HA + PK",1,,,,1,,,4,7,22,26,27,28,20,15,10,17,12,12,10,7,,1,1
465,vt3_Hämeenlinna_E,2020/05/01,1,"17 HA + AV",,,,,1,,,2,4,2,1,4,5,2,2,2,1,1,1,2,,,,
465,vt3_Hämeenlinna_E,2020/05/01,2,"11 HA-PA",38,39,37,21,23,56,46,87,87,165,268,358,442,465,503,509,460,370,305,243,251,185,101,68
465,vt3_Hämeenlinna_E,2020/05/01,2,"12 KAIP",3,3,1,1,,1,4,,4,2,2,3,1,6,4,3,7,6,3,2,3,,1,2
465,vt3_Hämeenlinna_E,2020/05/01,2,"13 Linja-autot",,,,,,,,,1,2,,,1,1,1,,1,,,2,,,,
465,vt3_Hämeenlinna_E,2020/05/01,2,"14 KAPP",1,2,1,2,1,1,4,1,4,6,1,6,5,5,2,2,1,,4,,3,4,1,3
465,vt3_Hämeenlinna_E,2020/05/01,2,"15 KATP",9,17,8,5,8,7,8,11,6,7,2,8,9,4,7,6,6,4,8,4,1,7,5,1
465,vt3_Hämeenlinna_E,2020/05/01,2,"16 HA + PK",,,1,,,,1,2,4,8,15,13,17,13,16,16,14,10,11,6,6,5,4,
465,vt3_Hämeenlinna_E,2020/05/01,2,"17 HA + AV",,,,,,,,,1,2,2,1,2,2,3,1,4,3,2,,1,,,
465,vt3_Hämeenlinna_E,2020/05/02,1,"11 HA-PA",40,40,29,18,15,41,66,103,205,381,571,654,668,585,646,500,504,412,379,266,198,140,103,51
465,vt3_Hämeenlinna_E,2020/05/02,1,"12 KAIP",,,,3,2,,2,8,2,5,1,11,7,4,5,3,9,3,1,1,,3,,1
465,vt3_Hämeenlinna_E,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,,,,1,2,1,,1,,1,,,,1
465,vt3_Hämeenlinna_E,2020/05/02,1,"14 KAPP",3,1,3,1,1,,,3,2,3,4,5,2,7,1,3,2,4,2,1,,,,
465,vt3_Hämeenlinna_E,2020/05/02,1,"15 KATP",7,4,4,4,3,,4,3,2,6,5,5,10,10,6,10,9,12,8,3,,,,2
465,vt3_Hämeenlinna_E,2020/05/02,1,"16 HA + PK",1,,,1,,,2,3,7,24,29,24,21,29,20,23,9,18,14,10,3,4,1,
465,vt3_Hämeenlinna_E,2020/05/02,1,"17 HA + AV",,,,,,,,,,6,1,6,5,2,2,2,2,1,,2,,,1,
465,vt3_Hämeenlinna_E,2020/05/02,2,"11 HA-PA",49,43,30,17,16,58,50,78,122,248,385,518,616,672,688,647,679,586,438,315,280,166,113,54
465,vt3_Hämeenlinna_E,2020/05/02,2,"12 KAIP",,2,1,1,,1,2,5,5,7,5,5,3,5,4,6,7,4,2,5,4,1,,3
