"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
503,vt26_Saaramaa,2020/05/01,1,"11 HA-PA",2,2,,,,3,3,5,18,27,50,79,75,53,62,48,42,28,28,18,9,7,5,4
503,vt26_Saaramaa,2020/05/01,1,"12 KAIP",,,1,,,,1,,1,,,,,1,,,1,,,,1,,,
503,vt26_Saaramaa,2020/05/01,1,"14 KAPP",1,,2,1,,1,1,1,2,3,2,,,1,1,2,1,2,2,2,1,1,,1
503,vt26_Saaramaa,2020/05/01,1,"15 KATP",2,2,3,1,,,,2,1,2,1,2,1,2,3,1,3,1,2,2,1,,1,
503,vt26_Saaramaa,2020/05/01,1,"16 HA + PK",,,,,,,1,2,2,2,10,1,6,4,3,1,3,1,1,,2,,,
503,vt26_Saaramaa,2020/05/01,1,"17 HA + AV",,,,,,,,1,,,,,1,,,1,,,,,,,,
503,vt26_Saaramaa,2020/05/01,2,"11 HA-PA",,1,,1,,2,3,5,6,11,17,28,36,33,29,31,22,26,25,22,8,4,4,2
503,vt26_Saaramaa,2020/05/01,2,"12 KAIP",,,,1,,,,,,1,,,1,,1,1,,,,,,1,,
503,vt26_Saaramaa,2020/05/01,2,"14 KAPP",1,,,1,,,2,2,2,,2,,2,1,2,3,2,2,1,1,2,3,1,
503,vt26_Saaramaa,2020/05/01,2,"15 KATP",1,1,1,,3,,,3,2,,,2,2,1,1,,2,3,,1,2,,1,
503,vt26_Saaramaa,2020/05/01,2,"16 HA + PK",,,,,,,,,,2,2,1,3,1,1,2,,3,,,1,,,
503,vt26_Saaramaa,2020/05/02,1,"11 HA-PA",2,,,2,,,1,7,15,25,47,53,45,45,41,36,52,32,23,12,16,5,6,3
503,vt26_Saaramaa,2020/05/02,1,"12 KAIP",1,,,,,,,,,1,1,1,,,,1,1,,,,,,,
503,vt26_Saaramaa,2020/05/02,1,"14 KAPP",1,2,,,,,,1,,2,,,1,1,,1,1,2,,1,1,,2,
503,vt26_Saaramaa,2020/05/02,1,"15 KATP",,,,1,1,,1,1,2,2,5,5,2,1,5,1,1,2,1,1,,,,
503,vt26_Saaramaa,2020/05/02,1,"16 HA + PK",,,,,,,,2,2,5,6,7,2,2,2,2,8,3,2,,1,,1,
503,vt26_Saaramaa,2020/05/02,1,"17 HA + AV",,,,,,,,,,2,1,,1,,,,,1,1,,,,,1
503,vt26_Saaramaa,2020/05/02,2,"11 HA-PA",2,3,1,,1,3,7,4,8,20,26,45,36,35,52,38,45,45,52,21,14,12,6,4
503,vt26_Saaramaa,2020/05/02,2,"12 KAIP",,,,,,,,,,,1,,2,,,1,,1,1,,,,,
503,vt26_Saaramaa,2020/05/02,2,"14 KAPP",,,,,,,2,,,1,1,2,,2,1,,1,2,1,4,,1,,
503,vt26_Saaramaa,2020/05/02,2,"15 KATP",,1,1,,,1,1,4,4,7,3,1,4,2,2,2,1,2,,1,1,1,,1
503,vt26_Saaramaa,2020/05/02,2,"16 HA + PK",,,,,,,1,,,4,5,2,2,1,3,6,2,1,2,3,2,1,1,
503,vt26_Saaramaa,2020/05/02,2,"17 HA + AV",,,,,,,,,,,,,,1,1,1,,,,1,,,,
503,vt26_Saaramaa,2020/05/03,1,"11 HA-PA",1,1,2,,,,2,2,3,21,23,28,38,53,31,35,33,39,38,24,17,11,10,
503,vt26_Saaramaa,2020/05/03,1,"12 KAIP",,,,,,,,,,,,,1,,2,,1,1,1,1,,,,
503,vt26_Saaramaa,2020/05/03,1,"14 KAPP",,,1,,,1,1,,,1,,,,3,1,4,2,,,1,,1,,
503,vt26_Saaramaa,2020/05/03,1,"15 KATP",,,1,2,,,1,,2,,2,1,5,3,5,3,2,5,4,4,2,2,,2
503,vt26_Saaramaa,2020/05/03,1,"16 HA + PK",,,,,,,,,,2,1,3,4,1,1,3,2,,1,2,1,,1,
503,vt26_Saaramaa,2020/05/03,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,1,
503,vt26_Saaramaa,2020/05/03,2,"11 HA-PA",5,1,1,2,,2,1,4,4,17,38,70,93,114,125,130,153,130,105,60,44,16,6,8
503,vt26_Saaramaa,2020/05/03,2,"12 KAIP",,,,1,,,,,,,2,,2,,,,1,1,,1,,,,
503,vt26_Saaramaa,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
503,vt26_Saaramaa,2020/05/03,2,"14 KAPP",1,,,1,,3,,,,,1,3,1,1,2,3,4,1,2,4,,,1,2
503,vt26_Saaramaa,2020/05/03,2,"15 KATP",,,,,,1,1,,,1,4,5,5,5,5,5,6,7,5,4,,1,5,2
