"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
574,vt7_Kyminlinna,2020/05/01,1,"11 HA-PA",89,82,65,41,49,82,167,156,172,294,454,627,704,710,645,631,556,454,437,368,277,248,197,108
574,vt7_Kyminlinna,2020/05/01,1,"12 KAIP",2,,2,2,,3,1,2,1,4,2,2,4,5,1,4,1,7,5,3,,1,1,
574,vt7_Kyminlinna,2020/05/01,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,1,,2,,1,,1,
574,vt7_Kyminlinna,2020/05/01,1,"14 KAPP",6,1,1,1,1,,2,2,4,3,5,10,6,3,2,3,4,4,2,2,2,,2,13
574,vt7_Kyminlinna,2020/05/01,1,"15 KATP",7,5,4,4,4,1,1,4,5,6,8,9,6,10,6,11,9,8,3,2,1,2,2,4
574,vt7_Kyminlinna,2020/05/01,1,"16 HA + PK",2,1,,,2,1,,3,5,16,9,20,19,14,10,11,6,11,8,2,1,,1,1
574,vt7_Kyminlinna,2020/05/01,1,"17 HA + AV",,,1,,,1,,,,,1,,1,,1,,,,,1,,,,1
574,vt7_Kyminlinna,2020/05/01,2,"11 HA-PA",85,83,55,45,36,108,158,115,125,189,308,434,551,580,545,571,462,456,404,329,312,230,159,110
574,vt7_Kyminlinna,2020/05/01,2,"12 KAIP",,,,1,1,,1,4,4,2,1,2,,4,6,3,1,2,6,,2,3,,
574,vt7_Kyminlinna,2020/05/01,2,"13 Linja-autot",,,1,,,1,,,,1,,,,,,,,,,,,,,
574,vt7_Kyminlinna,2020/05/01,2,"14 KAPP",2,3,1,2,,,2,1,4,3,3,3,4,8,4,5,3,3,8,3,4,4,,4
574,vt7_Kyminlinna,2020/05/01,2,"15 KATP",1,,1,1,1,4,2,5,4,10,5,5,4,7,7,7,1,5,3,2,3,1,,1
574,vt7_Kyminlinna,2020/05/01,2,"16 HA + PK",,,,,1,,,1,2,5,13,10,14,6,11,3,7,6,6,6,3,1,,1
574,vt7_Kyminlinna,2020/05/01,2,"17 HA + AV",,,,,,,,,,,2,1,2,2,,,,,,,,,,
574,vt7_Kyminlinna,2020/05/02,1,"11 HA-PA",93,57,51,28,36,67,145,177,235,492,712,807,877,856,781,714,583,547,429,335,272,244,171,138
574,vt7_Kyminlinna,2020/05/02,1,"12 KAIP",,,,,1,1,2,1,,10,6,4,10,6,4,6,5,3,4,2,2,3,3,
574,vt7_Kyminlinna,2020/05/02,1,"13 Linja-autot",,,,,1,,,,1,1,,,4,,,,,3,2,,1,,,
574,vt7_Kyminlinna,2020/05/02,1,"14 KAPP",15,2,,1,1,,,1,9,10,9,6,4,5,4,6,6,3,2,2,1,,,11
574,vt7_Kyminlinna,2020/05/02,1,"15 KATP",6,4,,3,1,4,5,4,6,11,9,16,8,6,11,6,7,5,11,5,2,,1,
574,vt7_Kyminlinna,2020/05/02,1,"16 HA + PK",,,1,1,1,1,1,1,14,23,33,35,41,30,30,16,14,8,6,6,2,,2,
574,vt7_Kyminlinna,2020/05/02,1,"17 HA + AV",,,,,,,1,1,,1,1,2,,,1,1,1,1,,1,,,,
574,vt7_Kyminlinna,2020/05/02,2,"11 HA-PA",97,69,45,35,30,98,174,147,225,335,532,674,694,768,708,624,609,549,455,387,316,253,171,110
574,vt7_Kyminlinna,2020/05/02,2,"12 KAIP",,,,1,4,,7,4,1,3,15,7,2,3,6,2,2,7,,2,1,4,,
574,vt7_Kyminlinna,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,1,,,2,,,
574,vt7_Kyminlinna,2020/05/02,2,"14 KAPP",3,,1,2,1,1,3,2,1,2,5,2,7,13,9,3,4,5,18,4,10,4,5,1
574,vt7_Kyminlinna,2020/05/02,2,"15 KATP",2,1,4,1,1,2,3,4,2,9,11,4,7,10,6,6,2,8,5,3,3,1,1,
574,vt7_Kyminlinna,2020/05/02,2,"16 HA + PK",,,,,1,,,1,7,19,23,24,45,23,19,11,14,16,9,6,2,1,1,
574,vt7_Kyminlinna,2020/05/02,2,"17 HA + AV",,,,,,,,,,1,,1,,2,1,,,,1,,,,,
574,vt7_Kyminlinna,2020/05/03,1,"11 HA-PA",87,55,58,31,29,62,103,121,81,212,384,516,698,730,671,679,604,561,501,459,334,272,133,91
574,vt7_Kyminlinna,2020/05/03,1,"12 KAIP",,,,,,1,1,,,3,5,3,5,4,4,4,3,10,5,4,1,5,2,3
574,vt7_Kyminlinna,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,2,,1,,3,2,2,1,,,,,
574,vt7_Kyminlinna,2020/05/03,1,"14 KAPP",,,2,,1,,1,,4,2,1,6,6,23,7,8,3,6,4,2,5,3,,3
574,vt7_Kyminlinna,2020/05/03,1,"15 KATP",2,1,2,1,1,1,2,2,4,3,6,5,9,10,8,8,4,7,10,7,9,3,2,4
574,vt7_Kyminlinna,2020/05/03,1,"16 HA + PK",1,,,,,,,1,6,6,13,15,29,17,18,14,17,15,18,5,1,5,1,3
574,vt7_Kyminlinna,2020/05/03,1,"17 HA + AV",,,,,,,1,,1,,1,,2,,,1,,1,,1,,2,,
574,vt7_Kyminlinna,2020/05/03,2,"11 HA-PA",78,59,46,28,27,56,126,88,105,190,346,503,714,840,895,898,888,804,662,539,408,271,151,90
574,vt7_Kyminlinna,2020/05/03,2,"12 KAIP",1,,1,,,,1,,2,5,5,6,3,7,4,6,2,8,2,6,5,3,3,3
574,vt7_Kyminlinna,2020/05/03,2,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,1,,,,
574,vt7_Kyminlinna,2020/05/03,2,"14 KAPP",3,2,,1,1,2,3,2,11,5,3,5,9,14,10,6,10,18,12,13,11,6,1,11
574,vt7_Kyminlinna,2020/05/03,2,"15 KATP",2,,,,1,1,2,2,5,3,4,8,8,10,8,7,6,8,11,8,11,3,4,7
574,vt7_Kyminlinna,2020/05/03,2,"16 HA + PK",,,,,,1,1,2,3,6,8,20,26,26,17,29,30,25,22,16,11,3,1,1
574,vt7_Kyminlinna,2020/05/03,2,"17 HA + AV",,,,,,,,,1,,2,2,1,1,,,,,1,1,2,,,
574,vt7_Kyminlinna,2020/05/04,1,"11 HA-PA",51,32,20,18,28,182,740,842,602,687,763,847,909,954,1014,1450,1165,808,640,472,393,355,170,85
574,vt7_Kyminlinna,2020/05/04,1,"12 KAIP",2,,,,1,10,19,28,30,28,33,28,29,40,24,28,25,12,7,6,3,5,3,1
574,vt7_Kyminlinna,2020/05/04,1,"13 Linja-autot",,,,,,1,,2,,2,2,1,,,1,,2,2,,,1,,,
574,vt7_Kyminlinna,2020/05/04,1,"14 KAPP",3,,3,3,1,6,10,24,22,34,29,54,25,33,36,45,38,17,26,6,6,1,3,5
574,vt7_Kyminlinna,2020/05/04,1,"15 KATP",5,3,3,6,1,5,28,40,37,36,43,54,57,46,43,40,43,38,31,27,14,16,5,14
574,vt7_Kyminlinna,2020/05/04,1,"16 HA + PK",,1,1,,1,1,6,15,20,17,39,29,32,22,26,38,41,25,16,11,8,2,2,
574,vt7_Kyminlinna,2020/05/04,1,"17 HA + AV",2,,,,,,1,4,3,2,3,5,5,3,4,14,6,4,2,1,1,2,,
574,vt7_Kyminlinna,2020/05/04,2,"11 HA-PA",50,28,18,17,65,399,828,882,656,613,682,764,780,841,899,1132,1047,768,614,448,358,261,160,73
574,vt7_Kyminlinna,2020/05/04,2,"12 KAIP",,2,1,3,4,7,22,34,30,32,30,27,23,38,28,32,21,11,11,3,7,3,1,5
574,vt7_Kyminlinna,2020/05/04,2,"13 Linja-autot",,,,,,,,1,,,,,,1,1,,,1,2,,,1,,
574,vt7_Kyminlinna,2020/05/04,2,"14 KAPP",5,4,5,6,14,11,19,29,32,32,34,29,30,24,41,23,20,21,10,6,6,5,2,2
574,vt7_Kyminlinna,2020/05/04,2,"15 KATP",6,4,3,6,7,23,46,25,57,43,41,39,39,46,29,43,35,30,28,17,17,17,10,11
574,vt7_Kyminlinna,2020/05/04,2,"16 HA + PK",,1,,,,2,6,12,14,16,30,17,10,28,18,22,25,26,13,11,3,5,,
574,vt7_Kyminlinna,2020/05/04,2,"17 HA + AV",,,,,,,1,4,4,2,,2,2,3,5,1,2,2,3,,1,,,1
574,vt7_Kyminlinna,2020/05/05,1,"11 HA-PA",62,52,14,15,30,181,751,808,665,694,750,820,898,911,1018,1432,1185,768,726,479,393,368,186,81
574,vt7_Kyminlinna,2020/05/05,1,"12 KAIP",2,1,,3,2,5,18,33,29,30,33,24,44,33,33,37,19,16,10,7,5,5,2,1
574,vt7_Kyminlinna,2020/05/05,1,"13 Linja-autot",,,,,,,2,,,2,2,,1,,1,3,2,,2,1,,,,
574,vt7_Kyminlinna,2020/05/05,1,"14 KAPP",,3,1,1,7,13,14,18,19,30,27,27,38,27,31,27,27,19,15,10,9,6,2,9
574,vt7_Kyminlinna,2020/05/05,1,"15 KATP",7,13,5,5,6,13,32,32,46,42,45,37,42,38,53,41,38,41,25,19,25,14,13,9
574,vt7_Kyminlinna,2020/05/05,1,"16 HA + PK",1,,,,1,3,14,10,16,20,29,23,32,26,30,24,31,21,17,10,2,1,4,1
574,vt7_Kyminlinna,2020/05/05,1,"17 HA + AV",,,,,,,2,,3,3,4,3,2,4,3,6,5,4,1,3,1,1,,
574,vt7_Kyminlinna,2020/05/05,2,"11 HA-PA",55,38,25,28,66,330,818,864,625,674,645,700,739,864,830,1130,1094,787,637,503,404,241,169,67
574,vt7_Kyminlinna,2020/05/05,2,"12 KAIP",1,,2,2,,3,18,25,29,29,35,20,23,33,32,24,17,9,10,8,3,2,3,2
574,vt7_Kyminlinna,2020/05/05,2,"13 Linja-autot",,,,,,1,,1,1,,2,,1,1,2,,1,2,1,1,,,,
574,vt7_Kyminlinna,2020/05/05,2,"14 KAPP",3,2,1,3,8,9,16,14,29,30,31,27,32,34,35,30,31,12,12,8,5,7,4,6
574,vt7_Kyminlinna,2020/05/05,2,"15 KATP",10,7,4,10,13,29,44,34,41,34,38,32,40,41,35,35,34,33,21,29,15,18,14,11
574,vt7_Kyminlinna,2020/05/05,2,"16 HA + PK",,,,,,1,7,12,17,15,16,23,14,22,20,21,23,22,16,14,4,3,2,3
574,vt7_Kyminlinna,2020/05/05,2,"17 HA + AV",,,,,,,4,1,1,1,2,3,1,3,1,,1,3,2,3,,1,,
574,vt7_Kyminlinna,2020/05/06,1,"11 HA-PA",62,40,24,19,30,184,743,834,608,695,751,831,899,922,1054,1402,1196,811,663,539,356,371,174,85
574,vt7_Kyminlinna,2020/05/06,1,"12 KAIP",1,2,,,2,8,22,32,36,33,35,29,36,37,37,33,25,11,10,5,3,2,3,1
574,vt7_Kyminlinna,2020/05/06,1,"13 Linja-autot",1,1,,,,,,2,,1,3,2,1,2,4,1,4,2,,2,2,1,,
574,vt7_Kyminlinna,2020/05/06,1,"14 KAPP",9,2,1,2,4,9,10,18,25,18,23,26,19,29,25,37,15,29,13,8,9,3,3,6
574,vt7_Kyminlinna,2020/05/06,1,"15 KATP",12,11,5,8,10,10,32,40,27,41,45,39,46,60,38,40,34,37,25,20,24,17,5,14
574,vt7_Kyminlinna,2020/05/06,1,"16 HA + PK",,,,,,3,6,16,20,31,21,29,26,35,26,29,31,31,22,14,6,5,2,
574,vt7_Kyminlinna,2020/05/06,1,"17 HA + AV",,,,,,,5,2,4,8,9,3,1,5,3,10,4,1,2,1,1,,,
574,vt7_Kyminlinna,2020/05/06,2,"11 HA-PA",57,38,16,37,49,342,815,872,625,634,629,748,743,872,866,1160,975,827,716,478,363,258,170,71
574,vt7_Kyminlinna,2020/05/06,2,"12 KAIP",1,,3,2,6,6,26,40,30,39,18,30,31,29,18,29,23,6,11,5,1,4,3,3
574,vt7_Kyminlinna,2020/05/06,2,"13 Linja-autot",,,,,,1,,1,,1,1,,,3,,,,3,1,,,,,
574,vt7_Kyminlinna,2020/05/06,2,"14 KAPP",2,,4,2,7,13,25,20,13,35,29,32,33,25,30,26,25,21,13,5,4,8,2,5
574,vt7_Kyminlinna,2020/05/06,2,"15 KATP",7,10,3,12,8,27,35,30,48,37,50,31,40,41,39,42,22,29,29,24,13,15,12,4
