"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
632,vt14_Hevonpäänniemi,2020/05/01,1,"11 HA-PA",29,25,13,6,12,9,31,43,47,111,155,195,176,199,208,182,168,140,137,125,94,72,43,46
632,vt14_Hevonpäänniemi,2020/05/01,1,"12 KAIP",2,1,,,,,,,,,,1,2,1,1,,2,,1,,2,,,
632,vt14_Hevonpäänniemi,2020/05/01,1,"14 KAPP",,,1,,,,,1,1,,,,,,,1,,,,,1,,,
632,vt14_Hevonpäänniemi,2020/05/01,1,"15 KATP",,3,2,1,,,4,2,3,1,1,,1,,,1,,2,1,1,,1,1,1
632,vt14_Hevonpäänniemi,2020/05/01,1,"16 HA + PK",,,,,,,,1,7,3,6,12,8,9,6,5,7,4,5,,,,,
632,vt14_Hevonpäänniemi,2020/05/01,1,"17 HA + AV",,,,,,,,,1,2,1,1,2,,2,1,2,,,1,,,,
632,vt14_Hevonpäänniemi,2020/05/01,2,"11 HA-PA",23,36,23,13,11,9,54,44,57,89,140,165,175,209,216,178,164,171,163,140,118,89,50,42
632,vt14_Hevonpäänniemi,2020/05/01,2,"12 KAIP",2,,,,,,,1,1,1,2,1,4,2,,3,2,,2,,,,,
632,vt14_Hevonpäänniemi,2020/05/01,2,"13 Linja-autot",,,,,,,,,,1,,1,1,1,2,,1,1,1,,,,2,
632,vt14_Hevonpäänniemi,2020/05/01,2,"14 KAPP",,,,,,,,,,,,,,2,,,,,1,,,,,
632,vt14_Hevonpäänniemi,2020/05/01,2,"15 KATP",1,,,1,3,,,1,2,1,,1,1,,1,,1,2,1,1,1,,,
632,vt14_Hevonpäänniemi,2020/05/01,2,"16 HA + PK",,,,1,,2,2,2,4,5,6,8,5,5,4,4,3,8,3,,1,1,,
632,vt14_Hevonpäänniemi,2020/05/01,2,"17 HA + AV",,,,,,,,,,1,,1,,2,1,1,1,,,,,,,
632,vt14_Hevonpäänniemi,2020/05/02,1,"11 HA-PA",27,28,14,6,8,22,26,47,116,186,237,300,240,261,240,196,171,152,153,105,96,80,57,38
632,vt14_Hevonpäänniemi,2020/05/02,1,"12 KAIP",,,,,,,,1,,2,2,3,2,2,1,1,2,1,,2,1,,1,
632,vt14_Hevonpäänniemi,2020/05/02,1,"13 Linja-autot",,,,,,,,,1,,,,,,,1,,,,,,,,
632,vt14_Hevonpäänniemi,2020/05/02,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,,,
632,vt14_Hevonpäänniemi,2020/05/02,1,"15 KATP",2,1,2,3,1,,,1,3,1,2,,3,2,,,,2,,,1,2,1,
632,vt14_Hevonpäänniemi,2020/05/02,1,"16 HA + PK",,,,,,,1,1,4,11,29,18,17,19,12,7,3,9,11,4,4,1,,1
632,vt14_Hevonpäänniemi,2020/05/02,1,"17 HA + AV",,,,,,,,,,2,,1,1,,,2,,1,1,,,,,1
632,vt14_Hevonpäänniemi,2020/05/02,2,"11 HA-PA",25,27,14,12,12,12,46,47,56,169,236,219,349,297,285,249,233,219,171,118,120,86,71,39
632,vt14_Hevonpäänniemi,2020/05/02,2,"12 KAIP",1,,,,,,,2,1,4,4,1,5,1,1,1,1,,,1,,,,1
632,vt14_Hevonpäänniemi,2020/05/02,2,"13 Linja-autot",,,,,1,1,,,1,2,1,2,1,1,1,,1,2,,,3,,,
632,vt14_Hevonpäänniemi,2020/05/02,2,"14 KAPP",,,,,,,,,,,,,1,,,,,1,,,,,,
632,vt14_Hevonpäänniemi,2020/05/02,2,"15 KATP",,,1,,,2,,1,4,,2,1,3,,,,1,2,1,2,1,,,
632,vt14_Hevonpäänniemi,2020/05/02,2,"16 HA + PK",1,,,,,1,2,2,6,6,19,20,23,14,21,12,11,12,5,4,,1,,
632,vt14_Hevonpäänniemi,2020/05/02,2,"17 HA + AV",,,,,,2,,,,1,2,2,2,,,1,1,,2,,,,,
632,vt14_Hevonpäänniemi,2020/05/03,1,"11 HA-PA",29,20,10,4,5,10,23,36,36,75,107,164,182,195,212,227,182,211,149,131,99,71,20,12
632,vt14_Hevonpäänniemi,2020/05/03,1,"12 KAIP",,1,,,,,,,,,,2,1,,,2,,1,1,2,1,,,1
632,vt14_Hevonpäänniemi,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,1,,,
632,vt14_Hevonpäänniemi,2020/05/03,1,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,2,,1,
632,vt14_Hevonpäänniemi,2020/05/03,1,"15 KATP",,,,,1,,,,,1,1,,,1,,,1,,,3,,3,,1
632,vt14_Hevonpäänniemi,2020/05/03,1,"16 HA + PK",,,,,,,,1,2,3,5,3,10,8,5,5,5,3,4,4,3,1,,
632,vt14_Hevonpäänniemi,2020/05/03,1,"17 HA + AV",,,,,,,,,,,2,,,,,,,,1,2,,,,
