"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
821,vt9_Suonenjoki,2020/05/01,1,"11 HA-PA",5,6,8,5,2,6,12,10,23,42,58,76,97,83,110,110,119,85,76,64,44,37,24,10
821,vt9_Suonenjoki,2020/05/01,1,"12 KAIP",1,,,,2,,,1,1,,1,1,2,1,,,,2,1,1,,,,1
821,vt9_Suonenjoki,2020/05/01,1,"13 Linja-autot",,,,1,,,,,,,,,,,,,2,,,,,,,
821,vt9_Suonenjoki,2020/05/01,1,"14 KAPP",,,,,1,,1,,1,,,,2,,1,,,1,1,,,,,
821,vt9_Suonenjoki,2020/05/01,1,"15 KATP",6,7,3,6,6,3,4,2,1,1,1,2,4,1,2,4,2,1,1,1,1,1,1,3
821,vt9_Suonenjoki,2020/05/01,1,"16 HA + PK",,1,,,,,,1,3,5,5,6,3,8,8,4,6,3,3,4,1,5,,
821,vt9_Suonenjoki,2020/05/01,1,"17 HA + AV",,,,1,,,,,,,,,1,,2,2,2,1,,,,,1,
821,vt9_Suonenjoki,2020/05/01,2,"11 HA-PA",7,9,3,4,7,7,9,28,47,82,108,98,126,125,101,82,57,64,60,38,36,14,11,7
821,vt9_Suonenjoki,2020/05/01,2,"12 KAIP",1,2,,,,2,,2,,1,,2,,3,,1,,,1,,1,,,
821,vt9_Suonenjoki,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,2,,,,,,1,,,,,
821,vt9_Suonenjoki,2020/05/01,2,"14 KAPP",,,1,,,1,,,2,,1,1,,1,,,,1,,,,,1,
821,vt9_Suonenjoki,2020/05/01,2,"15 KATP",1,,,3,,1,1,1,3,1,3,1,1,2,,1,,1,1,5,,,2,2
821,vt9_Suonenjoki,2020/05/01,2,"16 HA + PK",,,,1,,,2,1,8,5,7,5,11,3,3,6,4,1,3,5,2,2,1,2
821,vt9_Suonenjoki,2020/05/01,2,"17 HA + AV",,,,,,,,1,,1,,1,1,,2,,1,1,1,,,,,
821,vt9_Suonenjoki,2020/05/02,1,"11 HA-PA",1,8,4,1,2,9,17,21,28,65,98,127,122,108,118,133,149,122,96,87,47,33,24,9
821,vt9_Suonenjoki,2020/05/02,1,"12 KAIP",,,,,1,,,,,1,1,1,1,1,,2,2,1,,1,,,1,
821,vt9_Suonenjoki,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,1,,,,,,,
821,vt9_Suonenjoki,2020/05/02,1,"14 KAPP",,,,,,1,2,,,2,1,,,,,,,1,,1,,,,1
821,vt9_Suonenjoki,2020/05/02,1,"15 KATP",,,4,,,,,1,2,,1,1,4,2,,3,4,1,2,,,,1,
821,vt9_Suonenjoki,2020/05/02,1,"16 HA + PK",1,,,,,,,,2,5,8,15,8,5,9,7,10,5,12,10,4,3,,
821,vt9_Suonenjoki,2020/05/02,1,"17 HA + AV",,,,,,,,,1,1,,2,1,,1,1,1,2,,2,2,,,
821,vt9_Suonenjoki,2020/05/02,2,"11 HA-PA",4,9,5,2,2,3,13,31,63,89,104,133,136,140,140,136,115,112,80,40,25,23,17,16
821,vt9_Suonenjoki,2020/05/02,2,"12 KAIP",,,,,,2,,,1,1,1,,,1,3,,2,2,,,,,2,
821,vt9_Suonenjoki,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
821,vt9_Suonenjoki,2020/05/02,2,"14 KAPP",,,,,,,2,,,,,1,,,1,2,,,,,,,,
821,vt9_Suonenjoki,2020/05/02,2,"15 KATP",1,2,,2,,,2,,1,3,,,3,4,2,3,2,2,2,,1,2,,1
821,vt9_Suonenjoki,2020/05/02,2,"16 HA + PK",1,,,,,1,1,1,2,4,10,11,9,5,13,11,7,8,7,2,1,,,
821,vt9_Suonenjoki,2020/05/02,2,"17 HA + AV",,,,,,1,,1,1,,,,,2,2,,,1,,,,,,
821,vt9_Suonenjoki,2020/05/03,1,"11 HA-PA",6,8,3,4,4,1,5,15,11,42,61,94,117,136,132,163,167,173,156,126,103,69,27,6
821,vt9_Suonenjoki,2020/05/03,1,"12 KAIP",,,,,,,,,1,1,,,,,,,,1,1,,1,2,,
821,vt9_Suonenjoki,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,3,,,1,,,,
821,vt9_Suonenjoki,2020/05/03,1,"14 KAPP",1,,,,,,,1,,,,,1,1,,,,3,,1,2,,1,
821,vt9_Suonenjoki,2020/05/03,1,"15 KATP",,,3,1,,,,,,3,,,2,6,3,2,2,3,7,8,2,7,4,3
821,vt9_Suonenjoki,2020/05/03,1,"16 HA + PK",,1,1,,,,2,,1,2,10,3,15,10,11,13,6,9,7,5,2,,2,1
821,vt9_Suonenjoki,2020/05/03,1,"17 HA + AV",,,,,,,,,1,,,,,1,2,,2,1,2,,,,1,
821,vt9_Suonenjoki,2020/05/03,2,"11 HA-PA",4,4,3,3,3,5,12,25,26,47,80,138,156,204,198,221,170,173,103,60,40,24,16,6
